Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.93,0.92,NO,N/A,56.96%,71.83%,132.3%,60.14%,100.58,0.4691,1.1545,0.194,0.544,0.789,0.388
3,0.92,0.84,NO,N/A,42.13%,61.24%,108.12%,51.88%,84.47,0.3806,0.9453,0.142,0.424,0.845,0.514
4,0.9,0.77,NO,N/A,27.31%,43.71%,107.68%,31.48%,85.61,0.2658,0.7875,0.077,0.425,0.915,0.516
5,0.94,0.79,NO,N/A,15.7%,29.0%,113.61%,15.23%,91.69,0.1971,0.8471,0.036,0.468,0.96,0.471
6*,1.0,1.0,YES,Most Stab Sigs,7.02%,19.03%,57.2%,10.11%,43.25,0.1217,0.4085,0.008,0.096,0.991,0.89
7,0.73,-0.87,NO,N/A,6.98%,18.93%,57.19%,9.97%,44.48,0.1225,0.4176,0.008,0.1,0.991,0.886
8,0.57,-0.72,NO,N/A,6.73%,18.63%,55.59%,9.13%,42.16,0.123,0.4182,0.008,0.093,0.992,0.893
9,0.41,-0.73,NO,N/A,6.73%,19.32%,54.96%,9.21%,37.23,0.1209,0.3957,0.007,0.068,0.992,0.926
10,0.31,-0.79,NO,N/A,6.57%,18.88%,52.85%,9.05%,42.95,0.1216,0.38,0.007,0.093,0.992,0.894
11,0.25,-0.78,NO,N/A,6.53%,18.2%,53.84%,8.56%,41.06,0.1217,0.3785,0.007,0.088,0.992,0.899
12,0.18,-0.7,NO,N/A,6.95%,19.32%,59.87%,8.75%,39.07,0.1233,0.394,0.007,0.069,0.992,0.923
13,0.22,-0.71,NO,N/A,6.43%,17.62%,50.09%,8.22%,33.27,0.1172,0.3542,0.005,0.055,0.994,0.938
14,0.13,-0.78,NO,N/A,6.34%,18.66%,54.5%,8.85%,37.75,0.1212,0.3634,0.006,0.072,0.994,0.918
15,0.11,-0.83,NO,N/A,5.97%,17.81%,59.54%,8.49%,39.23,0.1156,0.3898,0.005,0.068,0.995,0.928
16,0.08,-0.86,NO,N/A,5.91%,17.32%,54.96%,8.11%,33.22,0.1199,0.4019,0.005,0.056,0.995,0.936
17,0.06,-0.85,NO,N/A,6.49%,18.23%,49.44%,8.57%,31.28,0.119,0.3457,0.005,0.048,0.994,0.947
18,0.06,-0.82,NO,N/A,6.06%,17.03%,53.99%,7.89%,37.13,0.1141,0.3796,0.005,0.063,0.995,0.932
19,0.01,-0.78,NO,N/A,5.8%,16.36%,43.93%,7.8%,25.14,0.1137,0.367,0.004,0.023,0.996,0.975
20,0.06,-0.72,NO,N/A,5.6%,16.13%,48.93%,7.04%,29.16,0.1042,0.3246,0.004,0.029,0.996,0.969
