NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	52.781	19.754	12.072	11.974	0.118	0.99	40000.0
2	48.781	18.224	11.009	10.922	0.12	0.992	40000.0
3	49.994	18.88	11.75	11.845	0.116	0.989	50000.0
4	55.26	20.737	12.953	12.724	0.124	0.989	60000.0
5	53.32	20.081	12.869	12.473	0.12	0.989	50000.0
6	53.346	20.3	12.78	12.514	0.128	0.989	50000.0
7	51.329	19.211	12.078	12.002	0.114	0.99	40000.0
8	49.834	18.927	11.613	12.038	0.12	0.989	30000.0
9	50.588	19.284	11.37	11.654	0.123	0.99	50000.0
10	54.658	20.834	13.137	13.143	0.131	0.987	50000.0
