NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	56.255	22.069	13.395	15.302	0.113	0.983	50000.0
2	56.611	21.962	13.228	14.721	0.105	0.986	60000.0
3	57.413	22.869	13.541	15.59	0.116	0.983	50000.0
4	55.795	21.885	12.984	14.582	0.106	0.985	80000.0
5	59.513	23.109	14.426	16.0	0.112	0.983	70000.0
6	57.42	22.245	13.613	14.853	0.11	0.986	60000.0
7	57.786	22.753	13.327	14.848	0.112	0.985	40000.0
8	58.984	23.302	14.465	15.997	0.111	0.982	50000.0
9	56.34	21.86	13.312	14.81	0.112	0.984	50000.0
10	56.318	21.966	13.172	14.805	0.116	0.985	40000.0
