Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V27	517	0.796	321.463	62.179%	99.088	61.567%	0.29321	0.764
V28	587	0.625	624.053	106.312%	171.259	81.213%	0.77972	0.58
V29	115	0.69	83.203	72.35%	25.19	79.938%	0.45087	0.633
V30	414	0.856	260.491	62.921%	96.943	52.188%	0.25336	0.846
V31	220	0.664	193.261	87.846%	78.94	74.792%	0.53968	0.64
V32	568	0.794	406.026	71.483%	123.521	64.337%	0.37291	0.77
V33	126	0.958	55.706	44.211%	11.881	28.765%	0.29043	0.952
V34	139	0.69	148.532	106.858%	53.156	73.821%	0.82178	0.675
V35	325	0.889	230.747	70.999%	103.555	56.416%	0.35889	0.893
V36	435	0.717	395.954	91.024%	120.114	70.772%	0.59684	0.689
V37	79	0.732	62.603	79.244%	17.913	71.086%	0.58689	0.694
V38	392	0.79	334.206	85.257%	114.873	61.497%	0.5007	0.777
V39	419	0.787	242.274	57.822%	80.231	64.474%	0.26112	0.752
V40	478	0.859	358.472	74.994%	123.085	53.257%	0.37886	0.852
V41	293	0.633	247.387	84.432%	76.237	82.715%	0.56999	0.578
V42	285	0.908	178.431	62.607%	55.019	47.292%	0.32896	0.906
V43	126	0.754	91.612	72.708%	34.089	65.824%	0.44579	0.732
V44	398	0.814	296.395	74.471%	92.488	58.476%	0.37432	0.797
V45	167	0.938	75.386	45.141%	21.342	34.589%	0.18521	0.932
V46	50	0.7	53.351	106.702%	18.269	71.437%	0.85405	0.682
V47	243	0.885	123.419	50.79%	39.659	47.17%	0.26645	0.872
V48	321	0.891	189.413	59.007%	48.653	45.594%	0.29541	0.877
V49	477	0.657	403.926	84.681%	114.881	81.223%	0.48846	0.599
V50	373	0.716	257.976	69.162%	112.587	70.125%	0.49001	0.692
V51	445	0.897	249.985	56.176%	67.871	44.769%	0.26146	0.885
V52	558	0.821	439.5	78.763%	166.719	58.531%	0.48838	0.813
V53	544	0.517	592.358	108.889%	173.305	89.806%	0.75328	0.453
V54	312	0.657	270.764	86.783%	74.058	82.47%	0.52382	0.598
V55	169	0.782	133.966	79.27%	57.107	63.495%	0.46962	0.772
V56	98	0.823	73.668	75.171%	21.312	56.918%	0.50394	0.805
V57	481	0.95	191.38	39.788%	49.866	31.534%	0.1699	0.944
V58	286	0.855	176.919	61.86%	55.801	52.433%	0.36966	0.84
V59	385	0.912	228.207	59.275%	78.927	43.971%	0.2678	0.908
V60	517	0.862	440.405	85.185%	211.879	63.082%	0.47933	0.869
V61	158	0.632	192.909	122.094%	77.387	77.832%	0.97522	0.617
V62	338	0.811	196.768	58.215%	66.852	58.606%	0.29779	0.785
V63	344	0.805	209.425	60.879%	64.487	61.559%	0.27917	0.775
V64	77	0.803	63.93	83.026%	21.577	61.349%	0.56873	0.792
V65	341	0.882	258.192	75.716%	77.878	51.536%	0.40183	0.878
V66	342	0.779	205.769	60.166%	80.849	63.067%	0.28195	0.755
V67	109	0.755	95.935	88.014%	28.072	65.64%	0.64288	0.731
V68	636	0.872	376.881	59.258%	118.564	48.995%	0.23647	0.859
V69	192	0.781	147.921	77.042%	47.001	62.729%	0.45783	0.76
V70	314	0.666	310.55	98.901%	119.648	75.282%	0.68721	0.647
V71	44	0.678	38.275	86.989%	17.079	74.047%	0.69331	0.66
V72	149	0.783	95.1	63.826%	42.74	62.738%	0.33208	0.768
V73	503	0.929	196.627	39.091%	52.746	41.937%	0.1445	0.915
V74	189	0.783	130.64	69.122%	47.675	62.284%	0.33083	0.763
V75	307	0.945	128.276	41.784%	35.889	32.766%	0.19457	0.94
V76	800	0.671	759.298	94.912%	207.369	76.967%	0.64341	0.627
V77	105	0.562	102.238	97.37%	34.251	87.422%	0.71481	0.514
V78	57	0.868	36.698	64.382%	10.74	50.461%	0.46588	0.855
V79	95	0.879	52.938	55.724%	17.934	47.914%	0.30927	0.868
V80	325	0.931	118.259	36.387%	38.879	36.762%	0.13898	0.922
V81	572	0.695	545.428	95.355%	229.51	73.764%	0.63241	0.682
V82	584	0.888	311.993	53.423%	93.354	46.578%	0.25906	0.875
V83	94	0.899	64.1	68.191%	18.696	48.73%	0.39873	0.895
V84	296	0.872	180.268	60.901%	60.892	51.024%	0.33182	0.862
V85	248	0.676	274.554	110.707%	135.536	76.022%	0.80521	0.669
V86	291	0.507	348.621	119.801%	93.099	90.86%	0.9837	0.441
V87	291	0.706	200.597	68.934%	65.349	74.198%	0.41121	0.657
V88	200	0.92	127.731	63.866%	49.286	48.896%	0.3083	0.923
V89	203	0.861	133.414	65.721%	35.78	51.256%	0.35609	0.844
V90	336	0.908	187.295	55.743%	52.361	42.243%	0.27735	0.899
V91	183	0.698	152.31	83.23%	61.06	72.035%	0.54157	0.676
V92	453	0.563	572.942	126.477%	235.444	82.689%	0.97975	0.543
V93	315	0.77	236.974	75.23%	109.056	64.76%	0.36835	0.759
V94	233	0.764	169.27	72.648%	59.758	64.706%	0.40728	0.741
V95	466	0.763	389.052	83.488%	124.765	64.787%	0.42731	0.743
V96	229	0.698	186.718	81.536%	52.555	76.375%	0.50311	0.65
V97	162	0.767	173.876	107.331%	60.237	67.355%	0.89322	0.76
V98	68	0.68	68.465	100.684%	23.624	73.538%	0.73432	0.658
V99	83	0.656	69.052	83.195%	22.083	77.07%	0.59937	0.609
V100	113	0.848	93.41	82.664%	32.906	57.748%	0.55632	0.845
