Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
V1	117	0.808	91.697	78.374%	28.48	58.989%	0.49872	0.791
V2	256	0.697	227.115	88.717%	93.394	71.731%	0.55434	0.679
V3	515	0.936	239.982	46.598%	72.607	38.718%	0.20903	0.932
V4	185	0.9	102.414	55.359%	27.926	44.529%	0.30555	0.888
V5	134	0.926	67.604	50.451%	17.606	38.53%	0.25651	0.917
V6	51	0.357	68.224	133.773%	16.534	111.22%	1.38438	0.246
V7	427	0.892	302.377	70.814%	130.574	55.374%	0.32076	0.896
V8	317	0.679	250.677	79.078%	70.693	83.574%	0.49213	0.62
V9	245	0.651	245.422	100.172%	91.28	76.18%	0.63315	0.628
V10	549	0.631	454.712	82.826%	132.095	91.492%	0.45746	0.564
V11	104	0.855	76.292	73.358%	24.28	52.315%	0.42813	0.845
V12	496	0.861	462.433	93.232%	152.736	57.63%	0.57108	0.86
V13	225	0.778	212.905	94.624%	84.519	65.032%	0.6137	0.77
V14	730	0.861	357.519	48.975%	113.064	53.773%	0.17397	0.839
V15	171	0.755	165.302	96.668%	58.647	68.384%	0.72054	0.746
V16	153	0.876	116.682	76.263%	43.899	55.163%	0.41394	0.876
V17	288	0.593	297.794	103.401%	104.072	81.401%	0.69975	0.559
V18	464	0.884	359.154	77.404%	104.9	50.155%	0.45761	0.879
V19	186	0.753	168.698	90.698%	67.451	66.617%	0.62936	0.742
V20	647	0.767	505.758	78.17%	160.281	64.229%	0.41318	0.743
V21	215	0.698	186.302	86.652%	53.958	75.967%	0.52376	0.658
V22	582	0.836	377.955	64.941%	106.616	54.935%	0.29079	0.814
V23	435	0.574	457.449	105.161%	129.383	90.27%	0.77497	0.519
V24	113	0.616	101.491	89.815%	32.588	80.446%	0.59144	0.567
V25	216	0.724	172.02	79.639%	50.465	72.359%	0.43743	0.686
V26	582	0.791	394.066	67.709%	133.543	61.284%	0.33841	0.768
