Samples	ID1	ID2	ID8	ID9	ID83C	ID83D
V1	86	0	219	131	0	306
V2	333	0	0	0	0	0
V3	0	149	0	0	164	83
V4	11	0	0	0	0	4
V5	0	0	267	0	0	229
V6	0	155	60	0	26	23
V7	34	68	0	72	0	170
V8	113	33	0	167	86	36
V9	0	0	0	108	32	0
V10	0	65	0	222	60	36
V11	189	115	255	105	214	0
V12	0	0	0	34	8	0
V13	20	0	191	0	0	0
V14	0	0	210	0	0	141
V15	27	0	0	81	58	143
V16	0	0	395	113	0	42
V17	0	0	59	28	0	49
V18	0	190	0	120	0	0
V19	0	18	42	0	31	17
V20	0	170	397	0	0	0
V21	16	15	60	57	0	33
V22	42	0	220	0	0	32
V23	0	78	0	0	0	0
V24	0	124	0	130	0	162
V25	0	149	0	0	0	21
V26	26	0	0	0	0	280
V27	0	0	129	176	0	0
V28	39	77	0	0	87	63
V29	0	0	0	18	38	0
V30	83	62	119	0	86	196
V31	0	0	263	51	0	0
V32	49	21	85	0	60	48
V33	0	0	322	193	0	0
V34	0	0	208	0	65	47
V35	28	0	0	317	66	28
V36	0	17	44	0	67	36
V37	8	3	0	6	6	0
V38	49	0	69	0	50	0
V39	39	0	0	48	0	37
V40	74	16	34	0	32	0
V41	35	0	30	23	53	0
V42	33	0	183	73	47	38
V43	17	0	46	0	0	0
V44	149	0	0	209	0	28
V45	40	0	24	0	82	0
V46	28	49	0	0	12	0
V47	0	0	0	164	50	0
V48	0	68	616	0	138	0
V49	189	0	0	0	0	70
V50	34	87	61	0	162	0
V51	0	0	119	0	203	0
V52	0	0	136	0	38	0
V53	0	0	41	66	0	42
V54	256	0	170	0	216	0
V55	82	0	53	107	0	54
V56	0	127	0	0	83	42
V57	51	0	224	0	0	128
V58	94	0	121	0	57	354
V59	23	18	186	55	0	0
V60	0	0	56	0	0	9
V61	46	0	62	0	117	0
V62	0	0	465	0	0	0
V63	0	54	355	167	70	0
V64	22	110	31	0	38	34
V65	11	0	0	123	0	0
V66	25	90	0	0	0	141
V67	39	0	0	0	0	23
V68	0	0	0	0	472	55
V69	0	0	0	0	86	45
V70	0	7	0	12	20	26
V71	119	0	218	371	0	0
V72	14	24	81	0	105	21
V73	0	39	0	0	113	0
V74	18	4	0	20	12	14
V75	22	0	54	0	71	14
V76	249	0	159	157	0	0
V77	0	5	0	8	0	2
V78	26	113	0	0	50	0
V79	0	0	0	0	82	171
V80	0	102	47	118	0	0
V81	94	0	0	0	0	115
V82	63	56	106	0	123	68
V83	49	36	0	58	41	22
V84	0	265	166	0	0	0
V85	0	138	186	0	0	64
V86	36	0	14	0	20	0
V87	27	0	74	0	27	116
V88	0	216	0	0	180	113
V89	55	0	29	0	131	67
V90	0	55	0	269	0	0
V91	60	0	83	0	0	11
V92	42	0	141	108	26	0
V93	139	40	88	0	71	0
V94	8	6	0	34	15	15
V95	27	0	99	41	0	19
V96	68	0	46	33	65	56
V97	0	0	23	0	22	46
V98	89	0	0	115	242	32
V99	0	0	186	0	0	396
V100	83	0	0	99	0	0
