NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	131.174	45.855	40.874	32.827	0.276	0.937	40000.0
2	123.276	44.384	34.788	29.446	0.289	0.942	20000.0
3	130.338	46.251	38.242	31.637	0.291	0.939	30000.0
4	131.753	46.261	40.612	32.889	0.283	0.935	20000.0
5	131.209	47.321	40.08	34.409	0.294	0.915	30000.0
6	129.358	45.188	39.633	31.852	0.272	0.94	20000.0
7	130.279	45.894	39.686	32.328	0.276	0.937	30000.0
8	131.601	46.174	40.269	32.373	0.28	0.936	40000.0
9	128.789	45.353	39.465	32.208	0.277	0.936	30000.0
10	135.035	46.517	41.74	33.141	0.281	0.938	40000.0
