Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V71	1.80E+00	2.77E-01	2.58E+00	3.26E+00	1.15E+00	3.33E+00
V72	2.02E+00	1.71E+00	1.00E+00	3.59E-01	5.21E-01	0.00E+00
V73	2.02E+00	1.41E+00	1.33E-01	1.61E+00	0.00E+00	1.53E+00
V74	3.49E+00	1.85E+00	2.97E+00	5.31E+00	1.99E+00	3.54E+00
V75	1.14E+00	5.42E-01	1.23E+00	4.82E-01	0.00E+00	0.00E+00
V76	9.22E-01	1.65E+00	4.62E+00	4.31E+00	6.26E+00	4.11E+00
V77	6.67E-01	1.37E+00	1.02E+00	9.80E-01	8.03E-01	0.00E+00
V78	1.52E+00	2.37E+00	2.67E+00	2.54E+00	9.67E-01	4.06E+00
V79	2.49E+00	1.36E+00	1.49E+00	3.36E+00	1.67E-01	0.00E+00
V80	4.36E+00	3.58E+00	3.09E+00	2.32E+00	1.70E+00	1.99E+00
V81	2.01E+00	2.07E+00	1.60E+00	1.25E+00	0.00E+00	0.00E+00
V82	6.87E-01	3.59E-01	1.33E+00	2.03E+00	1.81E+00	6.53E-01
V83	2.24E+00	2.16E+00	1.08E+00	2.78E+00	1.40E+00	2.49E+00
V84	0.00E+00	0.00E+00	2.09E+00	1.04E+00	1.34E+00	1.69E+00
V85	7.27E-01	2.34E+00	3.62E+00	2.99E+00	2.34E+00	3.32E+00
V86	1.57E+00	2.08E+00	2.09E+00	2.91E+00	1.22E+00	2.93E+00
V87	2.50E+00	3.27E+00	4.10E+00	2.30E+00	1.95E+00	4.02E+00
V88	1.25E+00	2.60E-01	1.77E+00	1.20E+00	5.73E-01	1.92E+00
V89	2.26E+00	2.56E+00	1.65E+00	1.56E+00	2.84E+00	2.83E+00
V90	2.91E+00	4.35E+00	2.72E+00	2.52E+00	1.31E+00	3.62E+00
V91	8.46E-01	6.16E-01	4.05E+00	1.44E+00	2.04E+00	3.30E+00
V92	2.01E+00	2.88E+00	1.33E-01	0.00E+00	1.55E+00	8.09E-01
V93	1.66E+00	2.76E+00	6.05E-01	2.42E+00	0.00E+00	0.00E+00
V94	3.11E+00	8.67E-01	4.01E+00	2.92E+00	3.10E+00	5.01E+00
V95	1.25E+00	1.39E+00	4.00E+00	2.01E+00	3.13E+00	2.06E+00
V96	2.73E+00	5.37E-01	2.08E+00	1.22E+00	7.37E-01	3.20E+00
V97	3.72E+00	2.63E+00	3.06E+00	1.56E+00	1.33E+00	3.14E-01
V98	4.00E+00	2.09E+00	2.77E-01	2.65E+00	1.57E+00	0.00E+00
V99	3.35E-01	3.05E+00	7.63E-01	3.26E+00	5.33E-01	1.24E+00
V100	4.27E+00	9.20E-01	2.96E+00	3.41E+00	6.90E-01	0.00E+00
