MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
5:Ins:R:3	0.00008644	0.00038008	0.00010575	0.00000003	0.00000010	0.00000000
5:Ins:R:4	0.00000000	0.00074084	0.00018754	0.00000004	0.00000000	0.00000219
5:Ins:R:5	0.00214660	0.00038457	0.00000000	0.00015081	0.00000006	0.03082535
2:Del:M:1	0.00029442	0.00081283	0.00047529	0.00152709	0.00533851	0.00142459
3:Del:M:1	0.00072971	0.00025231	0.00000000	0.00424258	0.00877375	0.00279100
3:Del:M:2	0.00106680	0.00178303	0.00176605	0.00069071	0.00154516	0.00133246
4:Del:M:1	0.00000000	0.00000002	0.18651407	0.00033435	0.01035069	0.00006912
4:Del:M:2	0.00019404	0.00039942	0.03761703	0.00276525	0.00083352	0.00169921
4:Del:M:3	0.00016789	0.00015398	0.00105727	0.00135887	0.00230994	0.00050221
5:Del:M:1	0.00000013	0.00000030	0.00000039	0.00000050	0.33078348	0.00011453
5:Del:M:2	0.00020588	0.00003862	0.00023875	0.00000002	0.12786832	0.00207563
5:Del:M:3	0.00014655	0.00038563	0.00000000	0.00091373	0.05013686	0.00044593
5:Del:M:4	0.00000000	0.00122182	0.00018659	0.00000000	0.01901613	0.00084971
5:Del:M:5	0.00045232	0.00012760	0.00000000	0.00002542	0.01676375	0.00109392
