Samples	ID83A	ID83B	ID83C
V1	9	41	29
V2	335	0	0
V3	98	13	30
V4	65	2	54
V5	269	69	29
V6	65	373	0
V7	32	43	82
V8	9	4	64
V9	162	46	32
V10	71	1	250
V11	155	97	10
V12	49	1	322
V13	156	47	45
V14	37	137	106
V15	164	19	156
V16	116	163	23
V17	126	178	19
V18	35	110	163
V19	179	15	16
V20	94	289	11
V21	493	176	88
V22	79	39	3
V23	57	89	129
V24	326	0	0
V25	72	3	87
V26	78	56	8
V27	275	21	72
V28	216	59	0
V29	0	68	130
V30	55	126	270
V31	21	88	134
V32	0	615	188
V33	93	45	4
V34	0	0	563
V35	33	18	256
V36	3	188	0
V37	184	2	117
V38	142	13	41
V39	189	37	58
V40	98	71	4
V41	11	35	55
V42	113	109	79
V43	10	1	50
V44	39	21	0
V45	26	53	8
V46	30	22	146
V47	55	56	29
V48	62	47	159
V49	25	91	16
V50	20	28	6
V51	2	50	317
V52	40	43	21
V53	20	111	42
V54	123	60	92
V55	112	32	20
V56	20	223	0
V57	20	15	7
V58	169	195	10
V59	59	65	8
V60	142	0	20
V61	34	0	25
V62	290	131	0
V63	0	14	305
V64	140	50	66
V65	96	51	34
V66	0	225	24
V67	9	5	8
V68	167	73	130
V69	128	47	38
V70	10	37	33
V71	25	15	1
V72	136	97	22
V73	164	21	2
V74	123	18	4
V75	49	28	70
V76	274	0	47
V77	83	0	69
V78	138	60	75
V79	108	316	54
V80	174	7	24
V81	18	72	0
V82	55	0	89
V83	120	0	163
V84	9	1	71
V85	45	186	2
V86	154	56	0
V87	110	11	19
V88	51	45	13
V89	77	70	8
V90	0	140	7
V91	136	5	230
V92	0	528	0
V93	71	33	0
V94	28	60	99
V95	65	13	13
V96	7	147	32
V97	0	531	0
V98	31	5	18
V99	59	115	28
V100	290	59	26
