Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	0	191	0	3	7	0	3	8	2	5	0	0	21	3	0	0	0	1
V2	421	11	15	0	0	83	0	140	0	139	76	60	0	0	0	11	0	9
V3	25	52	16	36	23	0	5	0	23	5	24	0	11	1	5	0	0	8
V4	13	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0
V5	17	10	0	0	10	59	1	0	16	0	8	0	0	11	0	0	0	0
V6	34	0	9	0	0	69	10	30	0	40	11	61	0	18	0	17	0	0
V7	76	2	15	96	0	0	107	6	0	2	31	0	0	43	0	0	0	16
V8	9	143	14	33	16	0	0	49	9	86	0	8	0	27	32	18	0	0
V9	143	0	98	0	3	175	3	0	4	0	20	0	1	2	40	0	0	7
V10	0	14	104	4	42	39	0	5	41	12	19	35	0	0	12	4	0	0
V11	78	0	0	2	0	17	21	10	0	0	18	0	12	6	0	0	0	0
V12	1	32	0	0	13	0	0	19	0	0	0	0	0	0	0	2	0	1
V13	47	0	0	35	2	16	68	12	1	4	14	0	28	37	1	7	4	0
V14	2	30	2	1	48	0	6	0	30	14	3	0	16	0	0	3	13	0
V15	47	7	0	7	0	0	0	7	0	17	0	30	5	1	2	5	0	4
V16	16	22	250	0	0	0	0	0	13	0	0	0	0	1	0	0	17	2
V17	1	52	1	20	33	0	0	2	17	2	1	0	20	16	5	0	0	2
V18	0	0	0	13	81	0	2	0	67	15	0	0	0	9	4	6	5	0
V19	1	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0
V20	21	87	8	19	0	0	24	0	0	0	0	0	28	2	0	10	1	1
V21	37	105	35	0	46	0	1	0	50	2	6	5	0	0	0	0	17	7
V22	3	0	20	6	0	0	3	1	0	4	6	0	41	3	0	0	0	3
V23	164	0	9	136	0	0	66	0	0	0	22	0	36	7	0	0	0	17
V24	7	7	68	0	35	0	0	8	30	9	4	0	0	0	0	8	13	0
V25	80	13	3	0	0	25	16	0	0	0	10	3	0	5	0	0	0	3
V26	9	0	35	171	6	15	63	0	2	0	0	0	0	19	0	0	0	0
V27	127	0	8	0	0	155	1	0	0	0	16	0	0	0	0	0	0	8
V28	15	10	13	0	12	0	2	0	0	0	0	28	0	0	1	0	6	8
V29	0	30	58	0	3	2	0	6	15	0	2	0	1	5	13	12	10	0
V30	4	1	23	0	58	16	5	4	7	1	3	1	0	0	0	0	0	0
V31	4	106	68	0	0	0	0	0	2	0	0	0	0	0	19	0	1	1
V32	248	8	0	0	0	13	0	0	0	0	85	0	0	0	0	0	0	2
V33	16	8	16	0	0	6	3	0	19	0	17	9	0	0	0	0	0	0
V34	5	27	0	0	39	0	0	8	17	14	0	0	0	0	3	15	14	0
V35	0	0	20	0	0	0	0	0	1	22	5	14	0	0	0	4	0	0
V36	6	77	2	0	38	7	7	0	68	0	0	0	0	0	8	3	3	0
V37	71	0	14	18	0	0	6	6	0	0	13	0	106	16	0	0	0	4
V38	166	2	12	0	0	0	3	11	0	8	65	0	0	0	0	4	7	0
V39	16	53	10	23	0	0	37	0	10	1	8	15	37	0	0	0	3	0
V40	2	54	33	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
V41	46	0	101	59	0	0	20	0	0	0	0	0	0	22	0	0	0	11
V42	132	32	39	0	0	32	0	17	0	17	22	0	0	0	0	0	0	8
V43	27	25	1	9	1	0	0	16	0	15	0	0	0	3	0	0	0	0
V44	13	0	1	0	75	3	20	0	43	0	31	5	0	0	0	0	13	0
V45	20	37	3	0	21	31	1	0	7	0	5	0	0	0	14	0	0	3
V46	79	0	8	15	0	35	68	7	0	4	11	0	7	32	0	0	0	9
V47	172	12	10	4	0	71	3	0	0	0	46	0	33	0	0	0	0	1
V48	333	0	110	0	0	23	7	0	0	0	53	0	0	0	0	0	0	46
V49	57	175	0	0	15	51	3	78	19	53	0	83	0	1	6	39	1	1
V50	69	54	22	13	0	1	22	0	0	0	26	1	0	5	0	0	0	8
V51	21	24	12	8	23	0	4	10	11	0	33	10	0	0	5	5	10	0
V52	0	8	13	75	9	0	0	12	0	13	0	8	0	12	13	33	0	0
V53	48	9	0	80	0	0	50	0	0	2	0	0	19	11	0	0	0	6
V54	199	146	5	1	0	26	10	15	0	0	43	0	26	5	0	10	0	31
V55	9	42	0	0	7	8	20	5	4	0	8	17	0	0	2	0	0	0
V56	25	2	7	0	1	0	0	49	13	22	0	25	0	0	17	0	0	0
V57	3	19	68	5	0	0	7	2	4	41	0	0	0	0	2	0	28	7
V58	125	260	4	15	0	0	45	3	0	3	36	0	30	20	0	0	0	8
V59	48	118	86	13	0	1	19	0	0	0	5	0	43	0	8	0	0	15
V60	17	4	9	0	4	15	0	0	5	19	1	16	0	0	0	2	0	3
V61	0	84	0	4	141	1	4	0	151	0	8	0	0	10	17	0	48	2
V62	0	9	18	4	12	0	1	0	0	24	3	17	3	8	0	0	0	0
V63	7	9	63	34	76	0	40	33	66	42	4	70	20	0	0	0	66	0
V64	81	3	17	81	0	0	63	0	0	3	17	9	0	7	2	0	0	26
V65	63	1	17	0	0	18	4	0	0	6	19	16	0	0	3	0	0	2
V66	27	8	17	0	1	0	1	0	0	12	13	7	0	0	0	0	0	0
V67	0	48	6	5	44	0	9	56	95	58	27	10	0	0	40	0	18	0
V68	42	23	0	7	0	0	0	8	0	0	0	3	23	0	0	8	0	5
V69	44	12	50	0	0	31	1	5	0	3	15	0	0	0	10	0	0	4
V70	53	92	34	12	0	10	32	0	0	0	14	0	0	19	6	0	1	7
V71	15	0	36	65	0	4	23	41	6	22	0	10	3	14	0	5	0	0
V72	0	2	1	12	1	0	2	8	4	0	0	13	0	0	0	0	0	0
V73	148	1	147	0	0	43	2	0	0	0	21	0	0	0	9	0	0	0
V74	0	0	5	8	0	26	1	17	4	7	0	5	0	4	0	0	0	1
V75	81	0	4	3	5	27	8	49	10	10	16	3	1	5	0	0	1	0
V76	41	84	46	4	0	0	8	2	0	0	0	23	48	23	1	0	11	5
V77	50	12	110	6	0	0	0	0	0	0	6	0	3	0	17	0	5	7
V78	34	3	6	26	0	24	0	20	0	12	13	0	0	13	0	0	0	2
V79	66	4	2	0	0	13	1	13	0	6	25	0	0	0	0	0	0	0
V80	12	15	0	28	103	59	32	11	30	0	0	9	0	18	2	0	32	0
V81	6	90	14	0	0	17	0	0	8	0	0	74	0	0	17	29	0	0
V82	257	66	7	16	0	14	10	41	0	0	55	0	8	0	0	0	0	23
V83	6	10	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
V84	0	32	11	58	0	0	28	32	0	21	0	14	0	1	0	9	0	0
V85	2	0	0	17	0	0	2	0	7	15	3	7	0	0	0	6	0	2
V86	59	0	10	0	0	1	19	84	3	40	32	0	14	0	0	0	0	0
V87	0	2	0	0	40	31	0	60	27	45	2	0	0	4	30	0	0	0
V88	0	214	21	183	0	0	45	0	0	0	0	0	83	12	0	0	0	13
V89	11	77	5	24	0	0	6	0	0	0	0	0	67	9	2	0	0	3
V90	0	0	40	0	32	0	5	133	30	66	0	26	0	3	0	13	0	0
V91	117	1	44	64	41	27	1	0	14	0	0	0	88	0	8	0	0	1
V92	46	21	3	55	16	0	26	31	6	12	0	74	0	6	0	85	0	2
V93	3	58	0	9	70	0	52	80	98	103	0	62	0	41	38	38	23	0
V94	21	107	6	0	9	0	0	2	12	0	9	0	1	0	11	1	1	0
