Samples	ID83A	ID83B	ID83C
V1	5.75E+00	3.70E+00	5.69E+00
V2	3.07E+01	2.19E+01	3.52E+01
V3	8.22E+00	6.83E+00	4.32E+00
V4	1.27E+01	1.13E+01	7.55E+00
V5	8.75E+00	9.58E+00	5.12E+00
V6	1.27E+01	8.01E+00	1.40E+01
V7	5.47E+00	5.88E+00	3.62E+00
V8	1.87E+01	1.58E+01	1.11E+01
V9	1.09E+01	6.95E+00	8.71E+00
V10	1.72E+00	2.07E+00	2.30E+00
V11	1.40E+01	1.18E+01	9.23E+00
V12	1.20E+01	1.34E+01	9.08E+00
V13	2.72E+01	2.21E+01	1.73E+01
V14	1.33E+01	1.15E+01	7.85E+00
V15	7.28E+00	6.57E+00	2.89E+00
V16	6.40E+00	4.41E+00	6.81E+00
V17	8.86E+01	9.89E+01	1.93E+01
V18	1.21E+01	1.61E+01	8.15E+00
V19	1.71E+01	1.01E+01	1.07E+01
V20	7.77E+00	4.57E+00	7.74E+00
V21	2.61E+01	2.29E+01	1.61E+01
V22	1.21E+01	1.50E+01	1.26E+01
V23	6.11E+00	5.33E+00	1.44E+00
V24	1.44E+01	1.57E+01	2.26E+00
V25	7.17E+00	5.25E+00	4.75E+00
V26	2.62E+01	2.76E+01	1.82E+01
V27	1.71E+01	1.46E+01	6.05E+00
V28	3.69E+00	3.71E+00	2.69E+00
V29	3.51E+01	2.86E+01	2.16E+01
V30	2.44E+01	2.34E+01	2.04E+01
V31	7.44E+00	7.81E+00	5.54E+00
V32	7.34E+00	5.35E+00	4.16E+00
V33	7.64E+00	6.38E+00	4.33E+00
V34	1.30E+01	1.06E+01	7.80E+00
V35	1.76E+01	1.68E+01	1.17E+01
V36	1.41E+01	1.64E+01	1.05E+01
V37	1.22E+01	1.07E+01	7.93E+00
V38	4.76E+00	2.50E+00	3.01E+00
V39	1.19E+01	1.02E+01	4.46E+00
V40	2.43E+01	2.66E+01	3.24E+00
V41	8.28E+00	9.81E+00	6.89E+00
V42	3.62E+01	3.42E+01	4.57E+00
V43	6.22E+00	5.78E+00	2.97E+00
V44	6.81E+00	6.88E+00	5.20E+00
V45	1.14E+01	8.15E+00	8.85E+00
V46	3.28E+00	4.02E+00	4.67E+00
V47	1.78E+01	1.43E+01	1.15E+01
V48	2.73E+01	2.78E+01	3.37E+01
V49	1.59E+01	1.37E+01	1.06E+01
V50	1.07E+01	1.03E+01	5.98E+00
V51	1.86E+01	1.47E+01	1.17E+01
V52	8.15E+00	9.93E+00	2.08E+00
V53	1.27E+01	9.34E+00	1.10E+01
V54	3.18E+00	3.57E+00	2.69E+00
V55	1.96E+01	1.42E+01	2.05E+01
V56	2.50E+01	2.50E+01	1.94E+00
V57	3.82E+01	3.31E+01	1.88E+01
V58	1.67E+01	1.72E+01	3.33E+00
V59	3.35E+00	3.11E+00	3.79E+00
V60	2.37E+01	1.35E+01	1.83E+01
V61	1.33E+01	1.04E+01	9.90E+00
V62	1.13E+00	1.29E+00	1.08E+00
V63	1.71E+01	1.76E+01	7.53E+00
V64	8.97E+00	1.03E+01	4.38E+00
V65	6.46E-01	4.48E-01	5.97E-01
V66	4.84E+01	3.96E+01	2.75E+01
V67	1.45E+01	1.27E+01	1.05E+01
V68	1.95E+01	1.45E+01	1.32E+01
V69	1.20E+00	1.55E+00	1.47E+00
V70	2.57E+01	1.86E+01	1.81E+01
V71	1.26E+01	1.31E+01	1.71E+00
V72	4.95E+01	4.17E+01	2.88E+01
V73	2.90E+01	2.52E+01	1.20E+01
V74	8.65E+00	7.26E+00	4.50E+00
V75	2.11E+00	2.21E+00	1.80E+00
V76	1.16E+01	3.74E+00	1.11E+01
V77	1.18E+01	1.34E+01	1.09E+01
V78	1.48E+01	1.53E+01	1.88E+00
V79	2.01E+00	8.23E-01	1.79E+00
V80	4.19E+01	3.20E+01	2.42E+01
V81	2.26E+01	1.55E+01	2.45E+01
V82	5.46E+01	4.95E+01	3.64E+01
V83	5.18E+01	3.91E+01	3.71E+01
V84	4.08E+00	3.29E+00	2.75E+00
V85	3.14E+01	3.08E+01	1.48E+00
V86	1.81E+01	1.55E+01	1.00E+01
V87	2.51E+01	2.62E+01	3.04E+01
V88	3.84E+01	3.66E+01	8.71E+00
V89	1.74E+01	1.91E+01	5.94E+00
V90	2.82E+01	2.75E+01	1.38E+01
V91	1.30E+01	1.83E+01	9.13E+00
V92	2.90E+01	2.79E+01	1.76E+01
V93	2.61E+01	1.77E+01	2.73E+01
V94	4.49E+00	5.81E+00	3.55E+00
V95	5.82E+00	4.81E+00	3.88E+00
V96	1.72E+01	1.01E+01	1.24E+01
V97	2.09E+01	2.00E+01	1.45E+01
V98	1.04E+01	1.05E+01	3.64E+00
V99	1.96E+00	7.33E-01	1.51E+00
V100	2.69E+01	2.56E+01	1.85E+01
