MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.14E-03	1.79E-03	0.00E+00	1.81E-03	1.24E-03
1:Del:C:1	3.63E-04	1.48E-03	5.43E-04	1.60E-03	5.31E-04
1:Del:C:2	6.11E-05	2.17E-04	1.46E-08	4.43E-04	4.34E-09
1:Del:C:3	2.48E-04	2.87E-04	3.41E-04	7.72E-04	4.08E-04
1:Del:C:4	2.46E-04	4.40E-04	2.96E-04	1.50E-04	3.98E-04
1:Del:C:5	2.51E-05	0.00E+00	2.66E-04	3.50E-04	1.16E-03
1:Del:T:0	1.18E-03	1.83E-03	8.09E-04	2.24E-03	1.16E-03
1:Del:T:1	2.24E-04	1.10E-03	4.67E-04	8.99E-04	5.13E-04
1:Del:T:2	2.27E-04	1.03E-03	5.66E-04	5.64E-04	1.06E-03
1:Del:T:3	6.32E-04	1.42E-03	1.11E-03	9.05E-04	1.02E-03
1:Del:T:4	6.42E-04	1.98E-03	7.14E-04	6.97E-04	2.26E-03
1:Del:T:5	4.85E-08	1.40E-46	1.68E-07	9.94E-08	4.23E-03
1:Ins:C:0	2.46E-06	1.51E-04	2.50E-06	1.93E-04	1.26E-04
1:Ins:C:1	6.54E-08	6.87E-05	8.31E-05	2.18E-04	1.44E-04
1:Ins:C:2	5.82E-05	1.31E-04	4.39E-09	2.14E-04	2.96E-05
1:Ins:C:3	1.94E-05	9.38E-05	1.02E-04	3.99E-08	6.37E-09
1:Ins:C:4	8.37E-05	0.00E+00	1.10E-04	2.43E-04	2.13E-04
1:Ins:C:5	1.29E-04	2.54E-04	5.70E-04	0.00E+00	7.89E-04
1:Ins:T:0	5.58E-09	4.22E-04	3.20E-04	7.83E-04	4.15E-04
1:Ins:T:1	6.18E-05	4.35E-04	1.44E-08	5.83E-04	3.85E-09
1:Ins:T:2	1.02E-08	2.55E-04	2.92E-06	2.92E-04	8.61E-05
1:Ins:T:3	1.03E-08	2.55E-04	3.80E-04	4.93E-04	8.14E-05
1:Ins:T:4	4.21E-05	0.00E+00	8.64E-04	4.50E-04	6.65E-04
1:Ins:T:5	8.56E-08	1.34E-03	3.47E-03	2.38E-03	1.14E-07
2:Del:R:0	2.35E-04	7.62E-04	3.68E-04	8.33E-04	2.40E-04
2:Del:R:1	2.68E-04	3.84E-04	1.13E-04	7.71E-04	9.72E-04
2:Del:R:2	3.24E-05	7.81E-05	1.33E-04	1.45E-04	1.12E-04
2:Del:R:3	1.70E-06	1.42E-04	4.37E-05	2.44E-05	1.32E-04
