Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	2.59E+00	1.86E+00	3.37E+00	7.29E+00	7.67E+00	4.42E-01	4.02E+00	3.00E-01	6.40E-01	1.00E-01	1.50E+00	2.47E+00	0.00E+00	4.67E-01	0.00E+00	9.43E-01	1.33E+00
V2	9.07E-01	3.71E-01	1.87E+00	1.65E+00	3.94E-01	5.33E-01	0.00E+00	1.61E+00	1.74E+00	3.04E+00	2.60E+00	1.89E+00	1.81E+00	9.17E-01	5.86E-01	4.16E-01	2.13E-01
V3	1.35E+00	0.00E+00	1.76E+00	6.12E+00	3.65E-01	1.29E+00	8.06E-01	1.67E+00	1.17E+00	1.90E+00	1.30E+00	1.85E+00	7.22E+00	2.86E+00	2.06E+00	1.00E+00	1.18E+00
V4	2.41E+00	6.74E-01	4.34E+00	2.04E+00	8.62E-01	6.16E+00	6.33E-01	5.25E+00	5.13E+00	2.37E+00	3.15E+00	4.09E+00	3.20E+00	6.51E-01	3.00E+00	1.33E+00	8.57E-01
V5	3.00E-01	1.11E+01	5.10E+00	9.88E+00	2.77E-01	4.07E-01	7.16E-01	1.00E-01	0.00E+00	4.85E+00	5.12E-01	4.58E+00	1.02E+01	2.93E+00	4.55E+00	1.14E+01	1.69E+00
V6	2.77E+00	2.21E-01	5.37E+00	7.71E+00	5.89E+00	0.00E+00	4.36E+00	7.42E-01	4.01E-01	4.00E-01	3.08E+00	4.54E+00	1.00E-01	0.00E+00	7.52E-01	0.00E+00	6.11E-01
V7	5.07E+00	7.06E-01	0.00E+00	8.26E+00	6.46E+00	2.31E+00	8.34E+00	4.76E+00	7.31E+00	1.46E+00	7.27E+00	2.00E-01	2.41E+00	2.13E-01	2.74E+00	3.15E+00	4.07E+00
V8	1.50E+01	0.00E+00	1.89E+00	2.08E+00	1.30E+00	0.00E+00	8.46E-01	1.04E+00	6.99E-01	1.40E+00	1.74E+01	1.65E+00	1.51E+00	1.20E+00	1.15E+00	6.00E-01	3.83E+00
V9	1.39E+00	3.36E+00	2.30E+00	1.58E+00	1.27E+00	1.58E+00	0.00E+00	3.45E+00	3.65E+00	1.22E+00	2.40E+00	2.31E+00	1.87E+00	1.04E+00	2.47E+00	3.66E+00	5.04E-01
V10	2.54E+00	7.71E+00	1.09E+01	2.23E+01	2.40E+01	2.59E+00	5.47E+00	4.35E+00	4.77E+00	1.13E+01	3.24E+00	1.07E+01	4.12E+00	3.83E+00	4.03E+00	1.16E+01	3.46E+00
V11	1.73E+01	1.64E+00	3.48E-01	1.20E+00	7.49E-01	1.58E+00	2.04E+00	8.19E-01	1.31E+00	8.95E-01	1.81E+01	2.13E-01	8.06E-01	3.00E-01	1.10E+00	1.51E+00	3.37E+00
V12	7.19E+00	1.39E+00	1.08E+01	2.61E+00	0.00E+00	2.40E+00	7.75E-01	1.79E+00	2.51E+00	2.92E+00	9.32E+00	9.61E+00	2.70E+00	1.88E+00	2.80E+00	2.35E+00	2.76E+00
V13	9.98E+00	1.83E+00	0.00E+00	7.30E-01	7.12E-01	1.33E-01	5.86E-01	1.15E+00	1.71E+00	4.82E-01	1.02E+01	0.00E+00	6.54E-01	1.33E-01	8.33E-01	1.98E+00	1.25E+00
V14	1.44E+00	2.00E+00	3.27E-01	1.46E+00	0.00E+00	9.24E-01	0.00E+00	3.40E+00	2.33E+00	4.24E+00	1.82E+00	1.11E+00	4.17E+00	4.01E+00	4.66E+00	3.36E+00	3.67E-01
V15	4.67E-01	2.34E+00	3.61E+00	7.46E-01	1.53E+00	3.14E-01	2.24E-01	0.00E+00	0.00E+00	1.33E-01	3.42E-01	4.63E+00	4.01E-01	4.67E-01	0.00E+00	1.49E+00	2.13E-01
V16	6.18E-01	1.22E+00	6.63E-01	7.12E-01	5.86E-01	3.23E+00	4.67E-01	4.54E+00	5.85E+00	2.40E+00	8.46E-01	2.00E-01	1.92E+00	1.45E+00	1.70E+00	2.74E+00	1.19E+00
V17	0.00E+00	6.99E-01	1.88E+01	1.35E+00	1.45E+00	5.86E-01	5.47E-01	0.00E+00	0.00E+00	8.54E-01	0.00E+00	1.93E+01	0.00E+00	0.00E+00	1.00E-01	0.00E+00	2.21E-01
V18	1.75E+00	2.58E-01	6.94E+00	4.44E+00	9.32E-01	3.35E-01	8.23E-01	6.00E-01	1.71E+00	1.65E+00	2.53E+00	6.94E+00	4.92E+00	3.88E+00	1.17E+00	1.00E-01	2.69E-01
V19	5.62E+00	0.00E+00	4.99E-01	7.58E+00	2.60E-01	0.00E+00	4.23E-01	1.00E-01	0.00E+00	1.66E+00	6.13E+00	9.17E-01	9.02E+00	5.13E+00	1.31E+00	0.00E+00	5.37E-01
V20	6.46E+00	5.31E+00	4.54E+00	3.40E+00	0.00E+00	3.80E+00	1.33E-01	6.39E+00	4.65E+00	4.14E+00	9.14E+00	4.43E+00	3.96E+00	2.59E+00	4.85E+00	7.99E+00	1.23E+00
V21	1.57E+00	5.05E+00	1.71E+00	3.72E+00	2.33E+00	1.62E+00	1.65E+00	1.53E+00	2.88E+00	5.10E+00	2.10E+00	4.00E-01	3.64E+00	3.45E+00	2.60E+00	4.80E+00	1.10E+00
V22	7.92E-01	1.32E+01	2.47E+00	4.87E+00	9.43E-01	1.64E+00	7.61E-01	5.28E+00	5.53E+00	9.44E+00	1.51E+00	2.50E+00	5.36E+00	5.95E+00	2.41E+00	1.52E+01	1.03E+00
V23	1.01E+00	5.09E+00	5.55E+00	4.94E+00	4.62E+00	2.97E+00	3.84E+00	4.56E+00	2.27E+00	4.46E+00	2.66E+00	6.17E+00	7.32E+00	3.78E+00	1.45E+00	7.13E+00	2.07E+00
V24	3.00E-01	5.34E+00	0.00E+00	3.49E+00	1.82E+00	1.04E+01	1.29E+00	1.30E+01	1.27E+01	4.15E+00	1.20E+00	0.00E+00	5.04E+00	2.80E+00	4.97E+00	1.51E+01	3.07E-01
V25	1.15E+00	5.39E-01	0.00E+00	1.59E+00	1.41E+00	5.06E+00	6.63E-01	5.35E+00	7.42E+00	1.15E+00	1.02E+00	6.00E-01	1.93E+00	5.00E-01	2.86E+00	4.98E+00	2.13E-01
V26	1.15E+00	1.14E+01	3.40E+00	1.00E+00	9.36E-01	1.37E+00	7.06E-01	1.41E+00	2.38E+00	6.00E-01	1.67E+00	2.64E+00	6.70E-01	3.26E+00	9.29E-01	1.50E+01	2.24E+00
V27	1.19E+00	7.67E-01	1.18E+01	1.37E+00	2.79E+00	6.47E+00	1.29E+00	4.58E+00	5.44E+00	1.66E+00	5.00E-01	1.16E+01	1.80E+00	8.00E-01	8.03E-01	8.00E+00	4.00E-01
V28	3.40E+00	2.21E-01	1.94E+00	4.58E+00	3.76E+00	1.17E+00	4.10E+00	2.58E+00	2.59E+00	2.20E+00	3.52E+00	0.00E+00	4.34E+00	3.00E+00	3.09E+00	1.07E+00	1.66E+00
V29	1.16E+01	0.00E+00	0.00E+00	3.00E-01	5.86E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01	1.28E+01	0.00E+00	9.31E-01	4.16E-01	4.07E-01	0.00E+00	3.33E+00
V30	5.61E+00	6.53E-01	8.00E-01	1.68E+00	1.85E+00	0.00E+00	1.78E+00	0.00E+00	7.00E-01	1.50E+00	6.23E+00	0.00E+00	8.95E-01	1.43E+00	1.67E+00	2.00E-01	1.13E+00
V31	2.15E+00	3.35E-01	2.69E+00	4.23E+00	0.00E+00	7.00E-01	5.97E-01	1.00E-01	2.24E-01	6.87E+00	1.80E+00	2.33E+00	9.58E+00	8.80E+00	3.24E+00	3.00E-01	3.42E-01
V32	2.69E+00	2.28E+00	6.67E+00	1.64E+00	1.15E+00	1.11E+00	8.59E-01	2.00E-01	6.11E-01	1.25E+00	2.62E+00	7.32E+00	1.33E-01	1.08E+00	7.02E-01	3.31E+00	9.94E-01
V33	2.89E+00	4.07E-01	2.83E+00	1.33E-01	4.67E-01	1.12E+00	3.94E-01	1.86E+00	1.10E+00	0.00E+00	2.40E+00	2.86E+00	1.09E+00	2.69E-01	1.33E+00	4.00E-01	3.00E-01
V34	5.22E-01	8.20E+00	5.81E+00	3.33E+00	5.25E+00	3.14E-01	4.03E+00	0.00E+00	0.00E+00	3.79E+00	3.40E-01	7.31E+00	7.89E+00	4.13E+00	4.11E+00	1.01E+01	1.24E+00
V35	1.87E+01	2.10E+00	6.33E-01	5.40E+00	4.70E+00	9.12E-01	3.82E+00	2.87E+00	1.48E+00	3.42E-01	2.11E+01	2.00E-01	1.76E+00	3.67E-01	1.95E+00	1.54E+00	6.22E+00
V36	9.15E+00	3.98E+00	0.00E+00	2.36E+00	1.72E+00	8.69E+00	1.10E+00	1.12E+01	1.07E+01	5.94E+00	1.57E+01	3.60E+00	5.41E+00	1.72E+00	1.01E+01	6.12E+00	2.62E+00
V37	3.93E+00	1.00E+01	2.18E+00	3.95E+00	9.83E-01	1.22E+00	1.18E+00	0.00E+00	9.04E-01	7.68E+00	4.56E+00	1.82E+00	3.06E+00	1.65E+00	3.25E+00	1.38E+01	7.33E-01
V38	6.14E+00	2.60E-01	7.06E-01	5.09E+00	4.04E+00	0.00E+00	4.25E+00	1.04E+00	3.06E-01	4.73E-01	5.98E+00	2.00E-01	1.18E+00	1.43E+00	3.79E-01	0.00E+00	2.13E+00
