NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	164.396	65.331	61.461	50.384	0.374	0.839	30000.0
2	143.142	58.321	48.275	44.905	0.388	0.859	20000.0
3	143.371	58.339	47.681	44.802	0.387	0.858	20000.0
4	142.029	58.454	48.372	45.137	0.398	0.856	30000.0
5	165.437	65.351	61.858	50.484	0.373	0.838	30000.0
6	165.863	67.068	61.796	52.324	0.406	0.818	30000.0
7	166.826	66.48	62.393	51.137	0.383	0.834	30000.0
8	141.099	57.715	47.398	44.605	0.391	0.859	20000.0
9	141.876	57.857	47.673	44.071	0.387	0.861	20000.0
10	165.475	65.277	61.739	50.446	0.376	0.838	20000.0
