NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	42.519	19.601	10.089	11.404	0.116	0.987	50000.0
2	49.142	22.099	11.757	12.9	0.121	0.988	40000.0
3	45.243	20.331	10.514	11.732	0.112	0.989	60000.0
4	44.725	19.96	10.584	11.554	0.109	0.99	80000.0
5	45.764	20.939	10.746	11.971	0.115	0.989	70000.0
6	44.497	19.887	10.549	11.344	0.112	0.99	30000.0
7	43.325	19.49	9.998	11.198	0.109	0.99	50000.0
8	45.353	19.398	10.736	10.876	0.105	0.992	40000.0
9	44.273	19.559	10.295	11.05	0.108	0.991	60000.0
10	45.115	20.528	10.58	11.806	0.12	0.99	50000.0
