Samples	ID1	ID2	ID8	ID9	ID83A	ID83D
V1	0	212	0	135	28	0
V2	0	0	157	77	0	85
V3	31	15	0	22	32	33
V4	0	81	0	0	85	0
V5	279	0	112	0	193	0
V6	0	0	47	130	0	230
V7	37	54	0	61	0	91
V8	97	0	0	0	0	647
V9	128	185	0	100	89	0
V10	39	126	64	0	0	97
V11	28	143	0	75	0	0
V12	10	11	25	0	27	0
V13	0	14	19	25	39	0
V14	55	40	0	103	231	0
V15	25	0	0	21	40	0
V16	36	92	56	45	0	0
V17	226	0	93	107	146	0
V18	127	48	85	0	151	0
V19	37	43	0	97	302	0
V20	50	0	0	0	209	152
V21	0	62	0	123	0	28
V22	206	112	0	0	206	0
V23	41	47	369	0	206	0
V24	53	15	0	110	0	49
V25	154	45	144	148	368	0
V26	8	5	8	0	0	6
V27	0	0	153	177	0	0
V28	193	29	92	170	0	180
V29	184	67	196	0	0	159
V30	0	9	0	0	13	0
V31	33	0	33	44	99	0
V32	228	144	0	0	236	0
V33	139	16	0	0	0	131
V34	0	59	0	0	21	0
V35	22	0	71	0	102	0
V36	0	93	0	30	14	0
V37	0	52	0	144	0	77
V38	9	57	0	0	0	41
V39	129	70	117	0	82	0
V40	18	0	90	0	108	0
V41	33	0	0	78	0	118
V42	67	0	60	0	0	21
V43	0	26	64	0	103	0
V44	90	37	0	0	0	0
V45	36	57	67	161	174	0
V46	0	0	0	96	0	168
V47	85	144	63	276	0	0
V48	0	50	0	150	195	0
V49	0	0	87	0	166	0
V50	428	0	0	0	114	0
V51	48	0	29	48	85	0
V52	33	0	280	0	0	0
V53	0	48	0	0	0	106
V54	58	129	0	356	213	318
V55	79	24	56	51	0	17
V56	105	0	48	0	0	84
V57	153	141	57	0	285	0
V58	78	20	32	0	0	139
V59	36	0	0	174	229	0
V60	0	77	34	51	55	0
V61	345	116	0	0	0	94
V62	0	51	148	0	0	51
V63	58	0	114	74	28	0
V64	48	0	102	0	0	223
V65	146	0	58	119	0	23
V66	0	27	89	0	108	0
V67	478	0	0	0	0	208
V68	149	0	0	63	0	0
V69	0	35	0	0	307	0
V70	21	0	79	44	0	128
V71	94	0	0	40	11	0
V72	3	16	0	0	22	15
V73	9	36	23	0	71	0
V74	0	0	0	0	786	0
V75	0	337	0	0	0	0
V76	0	37	0	62	0	131
V77	0	0	517	0	350	0
V78	0	144	84	0	165	0
V79	0	9	0	100	0	22
V80	52	37	0	0	71	0
V81	54	80	41	0	0	84
V82	0	0	233	40	35	0
V83	0	82	26	0	93	0
V84	177	0	0	0	168	0
V85	77	0	87	254	202	0
V86	21	30	0	0	0	144
V87	0	0	82	23	0	37
V88	12	8	0	0	0	45
V89	135	0	132	289	226	0
V90	0	44	0	76	0	0
V91	0	0	241	0	36	0
V92	141	63	117	105	37	0
V93	0	79	0	0	0	266
V94	14	10	0	0	0	50
V95	0	0	0	430	0	156
V96	44	0	0	0	0	113
V97	77	0	0	197	0	63
V98	125	0	0	0	24	0
V99	201	160	86	0	0	180
V100	0	0	0	235	0	0
