Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	26	83	247	0	109
V2	393	79	100	8	7
V3	0	634	141	0	66
V4	174	6	10	0	20
V5	52	98	6	27	8
V6	25	89	8	291	265
V7	45	1	0	23	51
V8	77	349	1	28	6
V9	0	34	57	4	102
V10	190	1	10	0	0
V11	90	62	14	0	57
V12	10	27	381	19	1
V13	44	450	134	41	4
V14	0	204	83	0	43
V15	169	45	10	144	2
V16	7	184	47	21	1
V17	26	7	3	222	27
V18	58	5	0	57	17
V19	110	6	8	364	24
V20	3	16	54	30	43
V21	131	8	688	66	131
V22	36	36	130	30	20
V23	6	6	1	1	20
V24	32	32	0	210	18
V25	61	133	564	21	23
V26	76	64	37	63	67
V27	29	0	384	10	1
V28	172	6	14	223	253
V29	5	42	5	2	101
V30	52	4	144	30	87
V31	142	154	0	54	41
V32	8	1	68	24	0
V33	31	10	13	94	0
V34	21	102	1	3	127
V35	39	307	4	0	102
V36	12	186	74	44	65
V37	35	106	8	134	470
V38	9	350	101	191	286
V39	5	296	262	51	3
V40	247	7	80	25	63
V41	289	269	6	98	8
V42	199	16	8	62	0
V43	110	19	55	145	29
V44	214	37	134	60	10
V45	69	163	310	189	39
V46	0	369	101	28	1
V47	49	1	24	79	10
V48	140	128	62	2	47
V49	419	265	18	2	63
V50	43	103	8	477	43
V51	41	200	8	37	94
V52	89	80	2	56	109
V53	0	28	29	4	4
V54	83	54	12	183	102
V55	0	0	1	4	302
V56	52	9	2	70	28
V57	120	2	7	135	11
V58	25	45	0	319	8
V59	250	124	39	114	175
V60	281	29	11	151	11
V61	62	70	58	108	17
V62	40	104	22	85	43
V63	0	3	170	0	41
V64	0	346	153	23	48
V65	111	6	57	299	73
V66	1	79	48	63	55
V67	88	35	1	5	96
V68	37	27	11	0	14
V69	181	16	2	0	17
V70	62	67	448	24	24
V71	57	52	1	17	46
V72	584	172	5	0	74
V73	86	189	84	34	20
V74	22	53	54	19	5
V75	16	432	0	0	6
V76	33	13	4	49	169
V77	69	21	200	0	123
V78	19	26	16	288	2
V79	27	24	1	65	2
V80	13	70	4	76	30
V81	135	15	0	0	69
V82	109	12	21	506	88
V83	71	41	76	0	52
V84	925	38	0	113	0
V85	187	262	0	0	290
V86	102	5	207	11	5
V87	457	44	361	86	32
V88	10	9	5	18	3
V89	19	83	41	227	29
V90	9	98	339	10	282
V91	99	3	14	0	5
V92	16	65	1	56	1
V93	22	269	60	44	29
V94	25	46	51	2	4
V95	4	13	1	39	46
V96	198	18	135	32	1
V97	129	1	172	143	92
V98	179	101	27	152	2
V99	10	0	0	5	9
V100	0	58	82	63	47
