NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	319.769	41.617	99.626	32.28	0.204	0.931	20000.0
2	326.968	40.842	101.474	33.498	0.211	0.932	20000.0
3	320.095	41.821	99.574	32.845	0.203	0.93	40000.0
4	313.663	42.27	82.262	30.719	0.219	0.938	40000.0
5	328.181	41.375	101.646	33.74	0.213	0.931	20000.0
6	310.715	41.987	81.208	30.705	0.215	0.938	30000.0
7	320.98	41.843	100.276	32.773	0.205	0.929	70000.0
8	326.577	40.775	101.969	33.352	0.21	0.932	20000.0
9	313.799	42.458	81.865	31.123	0.221	0.937	30000.0
10	313.195	42.258	81.992	30.841	0.222	0.937	50000.0
11	310.788	41.674	80.834	30.282	0.216	0.94	40000.0
12	314.343	42.643	82.363	31.257	0.225	0.935	70000.0
13	319.518	41.446	99.408	32.199	0.201	0.931	40000.0
14	323.379	42.145	99.636	32.221	0.205	0.93	20000.0
15	320.317	41.718	98.74	32.023	0.203	0.932	20000.0
16	327.746	41.237	103.36	34.243	0.212	0.929	30000.0
17	325.342	40.735	101.829	33.626	0.211	0.931	30000.0
18	320.221	41.76	99.173	32.173	0.203	0.93	80000.0
19	313.974	42.289	82.552	31.132	0.219	0.937	180000.0
20	320.25	41.483	99.68	32.302	0.203	0.931	50000.0
21	321.976	42.07	99.654	32.488	0.207	0.929	40000.0
22	328.786	41.451	103.394	34.455	0.211	0.929	30000.0
23	311.929	42.099	81.518	30.769	0.219	0.938	30000.0
24	323.417	42.012	100.327	32.231	0.203	0.93	20000.0
25	326.092	40.883	103.018	34.133	0.21	0.929	30000.0
