Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.69,0.68,NO,N/A,62.83%,79.93%,142.43%,63.46%,98.23,0.5264,1.2928,0.224,0.647,0.754,0.287
3,0.77,0.6,NO,N/A,45.32%,64.26%,110.38%,54.78%,82.79,0.4166,0.9186,0.152,0.416,0.831,0.571
4,0.78,0.57,NO,N/A,36.03%,52.53%,104.26%,42.19%,82.06,0.3206,0.9359,0.11,0.418,0.879,0.545
5,0.8,0.53,NO,N/A,22.24%,38.66%,124.71%,25.85%,88.24,0.2426,1.0216,0.058,0.513,0.935,0.435
6*,1.0,1.0,YES,Most Stab Sigs,13.31%,26.16%,59.3%,17.04%,45.05,0.1455,0.7698,0.02,0.099,0.977,0.885
7,0.8,-0.3,NO,N/A,11.88%,24.83%,62.94%,15.91%,44.02,0.147,0.7505,0.018,0.099,0.98,0.887
8,0.67,-0.52,NO,N/A,10.91%,24.03%,59.27%,15.22%,40.79,0.1423,0.7448,0.016,0.087,0.983,0.901
9,0.66,-0.55,NO,N/A,9.67%,22.3%,57.32%,13.88%,41.75,0.1407,0.7189,0.013,0.091,0.985,0.896
10,0.58,-0.46,NO,N/A,9.25%,20.43%,50.01%,12.14%,33.78,0.1306,0.595,0.011,0.058,0.988,0.934
11,0.57,-0.58,NO,N/A,8.02%,19.31%,47.07%,11.44%,35.56,0.1252,0.5708,0.008,0.064,0.991,0.926
12,0.54,-0.54,NO,N/A,7.38%,18.79%,46.74%,10.84%,32.07,0.1199,0.6049,0.007,0.053,0.992,0.94
13,0.48,-0.86,NO,N/A,7.58%,18.96%,46.05%,10.9%,33.82,0.1218,0.5344,0.008,0.058,0.992,0.936
14,0.45,-0.73,NO,N/A,6.31%,17.59%,41.53%,9.4%,29.27,0.1101,0.5188,0.005,0.043,0.995,0.951
15,0.51,-0.65,NO,N/A,4.84%,14.43%,42.25%,7.56%,28.99,0.1033,0.5525,0.004,0.043,0.996,0.951
16,0.51,-0.43,NO,N/A,4.73%,14.5%,41.57%,7.83%,30.41,0.1022,0.5569,0.004,0.047,0.996,0.947
17,0.42,-0.71,NO,N/A,4.81%,14.67%,48.65%,7.29%,31.82,0.1051,0.5759,0.004,0.052,0.996,0.941
18,0.43,-0.81,NO,N/A,4.43%,13.52%,44.81%,7.35%,29.65,0.1018,0.5529,0.003,0.045,0.996,0.949
19,0.4,-0.59,NO,N/A,4.07%,13.18%,44.78%,6.75%,32.77,0.0968,0.4713,0.003,0.053,0.997,0.94
20,0.44,-0.73,NO,N/A,3.78%,12.32%,39.49%,6.28%,29.28,0.0924,0.4754,0.003,0.043,0.997,0.951
