Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	40	71	0	0	85	2	16	11	49	10	0	0	0	0	0	0
V2	13	0	0	0	98	50	5	41	32	1	7	10	0	18	15	0
V3	11	11	6	2	0	30	3	0	0	0	0	10	2	27	0	9
V4	157	41	11	1	129	0	62	0	0	0	28	20	39	0	1	0
V5	121	200	20	43	0	52	45	0	0	0	4	28	0	0	0	0
V6	43	18	55	4	0	17	13	0	1	0	0	0	0	6	0	11
V7	0	0	36	3	0	40	4	7	16	0	20	0	0	0	0	0
V8	12	22	101	50	0	18	2	0	0	0	54	0	0	0	0	0
V9	51	12	8	24	104	0	31	5	0	0	0	0	21	0	6	0
V10	14	0	6	0	0	51	14	2	10	8	20	9	0	0	0	4
V11	19	193	54	44	0	0	7	0	0	0	8	0	5	0	19	0
V12	39	7	3	65	53	0	18	20	0	18	7	15	0	28	0	0
V13	7	4	0	101	0	0	4	0	0	0	0	0	9	0	2	3
V14	6	8	17	0	0	1	0	0	8	0	0	5	5	0	0	15
V15	4	152	0	69	0	0	3	3	0	0	0	11	0	0	31	0
V16	112	0	6	18	37	0	43	29	0	40	0	5	0	10	0	0
V17	26	140	0	7	5	6	2	112	0	5	18	7	47	11	0	0
V18	3	0	114	11	0	32	0	9	58	25	65	0	0	0	0	0
V19	2	0	18	94	0	99	1	23	28	1	21	6	0	0	5	0
V20	0	37	73	14	17	0	0	20	0	0	33	10	27	0	0	0
V21	9	1	9	132	38	131	4	0	181	0	23	36	12	3	6	0
V22	5	39	17	0	0	22	2	0	34	57	7	0	4	0	5	0
V23	42	135	9	0	0	38	18	16	23	15	2	53	0	24	4	0
V24	1	0	36	20	0	76	3	28	30	13	29	0	0	0	2	0
V25	73	132	143	0	13	5	28	0	0	0	10	4	3	6	5	10
V26	34	0	68	30	208	0	23	36	0	0	57	0	0	13	0	0
V27	128	2	43	24	0	29	45	11	73	0	0	7	0	17	0	20
V28	1	0	61	25	41	0	0	23	0	0	0	2	28	2	0	0
V29	116	2	127	59	0	0	40	0	0	0	0	0	0	0	0	24
V30	3	94	23	39	27	0	3	7	5	0	0	36	0	5	25	6
V31	178	5	0	0	129	15	95	14	0	3	0	8	0	22	0	0
V32	45	171	3	5	0	0	6	2	0	0	9	0	0	0	12	0
V33	12	0	6	0	100	39	9	0	0	0	12	0	23	29	5	0
V34	140	34	49	17	2	14	68	16	17	0	57	0	0	0	5	0
V35	19	3	0	4	0	3	10	4	4	0	0	0	0	4	11	0
V36	5	5	48	6	41	7	4	0	0	0	2	37	2	2	0	0
V37	14	4	48	156	61	0	0	53	0	0	25	0	16	2	0	0
V38	4	68	0	72	22	87	7	28	56	0	0	0	29	12	0	0
V39	28	23	0	14	0	0	28	0	8	0	0	0	2	18	0	0
V40	18	0	30	1	13	2	13	11	2	7	47	22	3	2	7	0
V41	14	465	1	23	10	78	13	6	37	0	0	46	42	0	23	3
V42	28	75	37	0	29	0	11	17	0	0	0	1	0	0	9	0
V43	20	37	22	20	61	0	9	35	0	38	0	0	0	0	16	0
V44	3	28	184	0	2	73	0	8	25	76	48	39	0	0	5	15
V45	12	0	32	44	107	2	29	64	0	70	24	0	40	5	0	0
V46	6	29	13	91	0	0	0	7	1	0	0	0	3	19	13	0
V47	15	6	6	76	112	0	15	39	0	0	0	23	23	6	0	0
V48	74	8	26	24	9	25	17	9	49	0	12	0	0	15	0	0
V49	0	0	4	0	0	19	2	1	0	5	3	0	0	0	0	0
V50	7	0	255	371	0	0	5	1	0	0	25	0	6	4	0	0
V51	66	96	35	0	0	0	29	16	0	0	0	0	7	0	10	1
V52	189	25	32	1	0	0	61	10	0	0	0	21	0	0	0	13
V53	15	0	179	152	213	0	10	10	0	0	73	0	37	6	0	0
V54	52	0	0	0	29	10	32	0	3	89	2	4	2	0	5	0
V55	0	0	73	0	3	56	13	9	14	6	17	0	0	30	0	0
V56	4	0	22	6	15	0	7	33	1	4	0	0	0	0	10	16
V57	79	15	5	59	0	0	18	0	20	0	0	5	0	32	7	0
V58	204	39	97	5	0	0	62	7	0	0	0	0	5	0	0	23
V59	43	3	0	0	116	10	22	24	8	202	0	5	1	24	0	0
V60	3	8	18	53	0	0	0	0	6	0	17	3	5	0	0	0
V61	0	150	180	13	0	37	1	1	12	0	17	5	0	0	24	7
V62	30	0	9	3	27	0	8	13	0	0	0	2	3	0	0	0
V63	59	191	171	61	0	15	8	13	9	0	52	0	34	0	17	0
V64	10	0	109	3	0	5	0	2	31	0	0	1	7	10	0	23
V65	2	21	4	263	0	0	8	1	40	0	4	8	0	0	9	0
V66	72	46	29	14	0	31	15	0	5	16	24	25	0	0	10	0
V67	32	3	46	9	0	0	17	0	0	0	0	0	0	0	0	4
V68	4	0	9	36	27	0	4	37	1	77	0	0	0	0	13	0
V69	37	42	2	13	0	0	13	0	0	0	0	0	0	0	2	0
V70	32	0	51	0	199	0	13	17	0	0	37	0	0	0	0	0
V71	3	0	1	0	11	144	2	24	31	54	22	17	29	0	0	0
V72	16	0	230	199	0	0	0	2	0	0	0	0	0	0	4	18
V73	49	67	0	84	113	13	19	0	0	0	1	1	24	14	11	0
V74	19	0	23	48	0	0	6	0	15	0	4	2	0	4	5	0
V75	12	81	0	19	0	0	0	16	0	0	1	12	0	6	16	5
V76	23	58	0	238	133	0	20	87	25	0	0	21	9	0	0	0
V77	12	5	7	73	64	50	4	34	12	0	0	0	4	0	27	0
V78	3	0	2	0	37	9	11	14	2	31	1	2	0	0	0	0
V79	1	0	3	0	6	158	5	0	68	43	0	20	0	41	1	17
V80	40	30	0	0	140	14	18	37	2	1	8	0	0	0	5	0
V81	6	7	0	0	4	2	0	0	3	36	0	0	0	9	0	0
V82	104	3	2	17	0	9	18	1	3	0	0	0	0	0	0	1
V83	30	0	72	8	0	0	0	21	17	39	0	0	9	5	0	11
V84	0	59	112	54	10	0	1	0	0	0	40	13	0	0	3	0
V85	19	0	34	11	198	1	20	0	13	0	3	0	16	6	4	0
V86	85	7	11	0	0	0	19	0	4	0	8	4	0	0	0	0
V87	0	5	7	59	12	22	0	9	1	0	19	0	10	0	6	0
V88	17	0	7	45	0	115	11	0	55	0	21	1	0	56	4	0
V89	3	3	3	8	53	3	4	14	5	58	7	0	10	0	1	2
V90	102	51	0	0	0	93	31	0	0	5	0	31	0	7	3	9
V91	43	17	1	67	0	63	28	48	48	0	0	0	9	18	6	11
V92	3	63	0	2	0	60	0	8	22	37	0	0	5	0	0	0
V93	52	0	20	4	72	84	28	47	0	0	3	15	18	14	0	0
V94	17	33	0	0	0	11	0	13	5	39	9	0	0	0	6	8
V95	206	41	15	3	1	0	68	8	0	0	0	0	3	0	0	0
V96	22	0	89	47	56	0	8	0	0	1	8	2	0	0	0	0
V97	54	0	22	0	76	0	19	8	0	0	0	20	5	0	0	0
