Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	4	53	0	103	25	20	14	36	33
V2	49	0	0	0	43	2	104	55	0
V3	47	14	0	43	0	0	85	0	66
V4	4	1	53	16	71	85	131	0	9
V5	0	24	2	150	19	29	0	5	43
V6	26	0	0	24	0	0	0	0	14
V7	81	9	77	0	12	25	3	40	2
V8	79	160	7	18	9	2	0	7	0
V9	132	9	0	17	0	3	0	0	66
V10	1	10	7	169	1	1	51	0	0
V11	8	0	37	31	77	33	12	32	62
V12	91	0	71	151	90	50	26	20	0
V13	16	106	18	5	11	38	24	0	0
V14	1	67	0	84	154	259	0	0	12
V15	75	14	75	2	3	0	13	23	1
V16	36	108	56	17	57	54	16	36	13
V17	5	0	0	48	83	38	25	178	13
V18	46	19	0	8	118	50	1	0	8
V19	28	23	13	4	70	63	7	28	19
V20	174	64	109	0	8	14	0	0	0
V21	0	0	3	86	25	43	126	40	24
V22	6	155	13	36	16	9	4	0	51
V23	5	5	14	3	63	92	4	0	13
V24	3	18	0	8	3	0	36	6	1
V25	93	33	10	12	6	13	0	28	2
V26	0	184	0	137	16	6	6	0	15
V27	11	0	103	3	5	0	13	13	0
V28	1	0	20	71	40	107	19	14	87
V29	1	0	0	0	137	59	27	96	0
V30	7	1	0	0	4	4	29	2	2
V31	189	5	377	31	17	0	0	51	6
V32	7	5	18	4	311	104	33	0	0
V33	2	50	0	9	13	0	41	71	14
V34	4	194	0	18	9	10	0	0	35
V35	266	36	22	8	8	52	125	0	4
V36	161	19	114	2	4	0	5	0	7
V37	11	0	256	3	0	0	54	17	4
V38	47	32	12	10	37	38	19	0	0
V39	80	10	0	21	36	51	98	113	0
V40	28	6	0	7	10	23	11	25	0
V41	70	58	17	0	17	0	130	19	4
V42	177	67	156	15	5	11	111	11	56
V43	2	53	0	93	55	16	76	36	0
V44	105	138	0	112	0	11	47	42	37
V45	90	1	78	0	39	70	2	40	0
V46	0	12	5	118	0	1	1	11	7
V47	11	78	0	3	117	227	4	0	4
V48	203	58	11	13	36	4	20	4	29
V49	7	0	0	158	20	13	69	120	17
V50	29	0	50	51	13	6	13	0	47
V51	20	3	0	0	190	68	3	4	2
V52	0	33	23	4	64	194	6	4	0
V53	570	37	0	17	4	2	35	24	16
V54	46	1	0	85	43	110	11	0	15
V55	42	290	0	6	31	26	5	12	9
V56	0	0	78	256	0	6	54	0	380
V57	11	0	178	0	4	8	9	65	1
V58	2	21	86	12	5	12	4	0	0
V59	0	0	0	277	0	0	0	0	284
V60	5	43	10	25	1	0	10	7	0
V61	52	2	60	6	2	21	3	48	14
V62	1	67	0	56	8	0	14	18	11
V63	33	211	0	2	18	58	48	0	0
V64	46	21	284	102	0	6	0	41	49
V65	0	0	24	28	1	0	8	19	0
V66	1	0	0	26	7	0	80	57	0
V67	7	0	0	2	41	53	1	11	3
V68	192	184	10	61	14	22	21	14	43
V69	13	9	100	31	13	15	0	0	47
V70	2	96	22	0	0	4	2	23	5
V71	16	110	0	0	90	30	22	0	5
V72	2	10	140	0	23	39	36	50	12
V73	25	0	7	2	15	0	87	47	18
V74	56	10	0	131	0	0	104	0	64
V75	0	0	0	0	3	0	12	45	0
V76	106	35	49	10	10	5	17	25	13
V77	94	14	6	17	74	69	53	0	0
V78	14	0	86	6	12	10	0	31	6
V79	106	83	60	0	27	47	0	25	0
V80	0	14	0	3	38	25	20	4	0
V81	0	0	0	0	0	1	0	4	3
V82	0	6	0	7	12	7	1	0	16
V83	6	5	7	26	7	0	78	26	5
V84	6	80	0	11	15	16	24	8	0
V85	111	1	6	1	1	0	3	0	6
V86	2	13	31	13	64	1	34	42	9
V87	0	437	0	52	0	2	3	7	11
V88	15	31	54	24	49	3	22	18	0
V89	28	75	73	11	11	5	6	53	10
V90	73	150	36	0	9	0	4	9	1
V91	70	23	37	0	74	28	110	0	0
V92	0	0	29	12	29	36	32	0	19
V93	2	0	24	18	32	10	12	20	2
V94	11	0	13	2	10	16	121	54	9
V95	61	39	20	2	2	3	0	25	10
V96	57	0	32	1	22	202	0	0	0
V97	32	78	126	8	8	0	20	17	1
V98	12	34	4	59	76	75	12	33	24
V99	4	17	56	33	32	40	6	0	32
V100	3	34	75	27	1	5	13	2	0
