NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	219.206	80.908	78.458	63.5	0.531	0.739	20000.0
2	228.371	83.133	80.703	66.854	0.56	0.734	40000.0
3	218.85	80.904	77.615	63.387	0.532	0.739	30000.0
4	221.108	81.591	79.454	64.448	0.541	0.733	20000.0
5	221.878	81.685	78.416	63.833	0.533	0.738	40000.0
6	219.618	81.288	78.047	63.698	0.536	0.738	30000.0
7	219.351	80.78	78.647	63.625	0.533	0.739	40000.0
8	219.69	80.764	78.538	63.244	0.535	0.742	20000.0
9	217.688	80.896	78.402	63.82	0.535	0.738	20000.0
10	218.958	80.986	77.943	63.774	0.531	0.736	20000.0
