Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	4.87E+00	4.40E+00	7.27E-01	1.69E+00	4.24E+00
V2	2.74E+00	1.24E+00	2.45E+00	1.09E+00	1.63E-01
V3	0.00E+00	3.26E+00	6.67E-01	3.59E+00	3.35E-01
V4	8.70E-01	7.95E-01	0.00E+00	7.12E-01	2.21E-01
V5	2.26E+00	4.73E-01	3.48E-01	1.77E+00	1.61E+00
V6	2.76E+00	2.92E+00	3.28E+00	3.51E+00	2.06E+00
V7	9.91E-01	4.44E+00	0.00E+00	2.76E+00	2.43E+00
V8	1.58E+00	3.35E+00	4.29E+00	1.31E+00	4.00E-01
V9	4.16E+00	2.16E+00	9.94E-01	4.33E+00	7.33E-01
V10	1.56E+00	3.28E+00	2.25E+00	2.36E+00	1.49E+00
V11	0.00E+00	2.24E-01	3.14E-01	9.19E-01	8.84E-01
V12	1.85E+00	1.07E+00	1.03E+00	1.22E+00	4.53E-01
V13	2.60E-01	5.97E-01	7.57E-01	1.48E+00	1.36E+00
V14	6.77E+00	0.00E+00	5.93E-01	3.06E+00	4.83E+00
V15	1.78E+00	1.75E+00	2.37E+00	1.34E+00	1.53E+00
V16	5.16E-01	1.73E+00	4.67E-01	1.35E+00	8.03E-01
V17	3.59E+00	1.71E+00	1.19E+00	4.15E+00	2.21E-01
V18	1.71E+00	1.65E+00	9.67E-01	2.04E+00	1.62E+00
V19	1.96E+00	3.38E+00	2.18E+00	4.16E-01	9.40E-01
V20	4.48E+00	4.99E-01	1.70E+00	4.02E+00	5.37E-01
V21	2.17E+00	0.00E+00	2.55E+00	5.39E-01	8.56E-01
V22	4.76E-01	3.35E+00	0.00E+00	3.35E+00	0.00E+00
V23	2.28E+00	2.03E+00	1.65E+00	9.55E-01	2.49E-01
V24	7.06E-01	1.41E+00	9.07E-01	1.35E+00	0.00E+00
V25	2.03E+00	1.69E+00	2.11E-01	1.36E+00	6.46E-01
V26	8.79E-01	3.27E+00	3.48E+00	2.85E+00	4.61E+00
V27	2.54E+00	2.47E+00	1.24E+00	1.07E+00	8.97E-01
V28	1.80E+00	2.45E+00	2.13E+00	2.13E+00	1.32E+00
V29	2.67E+00	7.64E-01	2.15E+00	2.13E+00	2.08E+00
V30	4.99E-01	5.04E-01	0.00E+00	3.96E-01	0.00E+00
V31	4.82E-01	1.95E+00	2.80E+00	1.27E+00	2.13E+00
V32	2.74E+00	3.61E+00	8.36E-01	7.61E-01	1.21E+00
V33	2.25E+00	8.60E-01	1.99E+00	0.00E+00	1.28E+00
V34	1.80E+00	1.62E+00	1.19E+00	3.05E+00	5.22E-01
V35	3.18E+00	3.12E+00	1.93E+00	5.36E+00	2.65E+00
V36	1.89E+00	6.50E-01	0.00E+00	1.94E+00	4.76E-01
V37	1.15E+00	1.15E+00	4.67E-01	5.97E-01	1.60E+00
V38	1.76E+00	2.24E+00	1.05E+00	3.67E-01	2.70E+00
V39	2.54E+00	3.53E+00	1.96E+00	3.33E+00	0.00E+00
V40	2.41E+00	2.39E+00	4.16E-01	0.00E+00	1.46E+00
V41	2.85E+00	3.37E+00	1.47E+00	3.26E+00	0.00E+00
V42	1.81E+00	2.40E+00	1.76E+00	2.77E+00	2.10E+00
V43	1.28E+00	4.16E-01	2.23E+00	1.58E+00	1.29E+00
V44	8.33E-01	2.11E+00	4.07E-01	0.00E+00	2.28E+00
V45	3.05E+00	3.40E+00	1.62E+00	5.94E+00	4.57E+00
V46	2.07E+00	3.27E+00	2.86E+00	1.13E+00	0.00E+00
V47	1.10E+00	2.75E+00	1.08E+00	4.28E+00	2.10E+00
V48	2.27E+00	3.36E+00	2.32E+00	3.83E+00	1.40E+00
V49	7.33E-01	3.57E+00	1.27E+00	3.38E+00	0.00E+00
V50	4.33E+00	2.58E+00	5.14E+00	1.23E+00	4.47E+00
V51	1.90E+00	2.22E+00	3.14E+00	8.33E-01	4.28E-01
V52	7.37E-01	3.51E+00	2.07E+00	1.93E+00	1.98E+00
V53	2.08E+00	3.35E+00	6.96E-01	2.43E+00	4.52E-01
V54	6.53E-01	1.25E+00	7.27E-01	6.00E-01	0.00E+00
V55	1.19E+00	1.02E+00	8.70E-01	1.55E+00	7.46E-01
V56	6.46E-01	1.42E+00	0.00E+00	1.14E+00	2.02E+00
V57	4.11E+00	2.81E+00	6.37E-01	1.65E+00	5.70E+00
V58	3.79E+00	2.92E+00	1.66E+00	3.67E-01	1.62E+00
V59	6.36E-01	2.87E+00	3.75E+00	2.96E+00	9.92E-01
V60	2.23E+00	1.79E+00	1.50E+00	2.73E+00	1.22E+00
