NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	167.117	50.752	59.83	39.144	0.317	0.899	30000.0
2	168.638	51.367	60.177	39.213	0.322	0.896	30000.0
3	201.524	60.54	78.117	47.005	0.345	0.869	30000.0
4	176.609	53.496	63.026	40.706	0.327	0.895	20000.0
5	168.561	50.944	60.062	38.881	0.319	0.9	30000.0
6	176.266	53.347	62.579	40.577	0.321	0.899	20000.0
7	167.8	51.598	59.309	39.286	0.322	0.896	20000.0
8	169.751	51.46	59.732	38.956	0.316	0.903	20000.0
9	168.783	51.461	60.371	39.535	0.325	0.898	30000.0
10	177.951	53.67	64.168	41.294	0.321	0.895	20000.0
