Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	53	4	18	0	15	138	26	0	7	0
V2	24	8	9	13	0	9	4	0	1	0
V3	2	13	55	4	9	0	4	21	22	18
V4	4	18	2	74	80	0	155	49	0	4
V5	137	49	0	49	70	0	4	94	4	65
V6	96	0	27	0	7	7	11	10	14	23
V7	65	30	374	33	9	54	23	0	62	0
V8	23	60	123	17	8	56	24	0	18	12
V9	181	32	12	25	104	45	36	0	4	118
V10	13	33	25	13	16	42	26	40	11	0
V11	59	0	47	0	0	11	12	0	49	0
V12	18	97	24	58	0	52	51	0	12	0
V13	4	12	13	72	5	88	11	0	2	0
V14	23	1	5	168	41	16	21	170	0	4
V15	114	1	28	0	3	0	0	5	18	10
V16	208	0	0	0	33	0	1	40	0	16
V17	4	0	57	0	50	0	0	0	43	4
V18	0	14	54	2	104	0	8	0	52	0
V19	0	3	68	3	32	34	19	0	0	30
V20	0	12	30	287	60	0	4	0	5	40
V21	42	185	13	33	0	8	9	75	0	1
V22	1	64	1	5	0	6	1	4	1	0
V23	183	142	1	39	18	43	20	0	0	0
V24	30	24	46	24	2	50	59	0	2	11
V25	23	0	106	1	3	0	0	0	5	0
V26	246	3	9	82	11	20	17	35	1	59
V27	12	0	46	0	57	0	0	0	40	14
V28	13	88	117	64	96	0	0	0	108	0
V29	6	10	0	1	9	0	0	2	0	0
V30	0	62	8	0	143	0	0	2	8	20
V31	13	0	0	104	6	15	11	89	7	39
V32	29	0	16	0	6	0	0	0	41	0
V33	2	88	17	13	0	10	15	0	16	0
V34	0	1	96	4	11	34	14	0	19	45
V35	12	10	55	0	13	0	4	0	22	0
V36	0	0	16	3	60	0	26	0	70	57
V37	0	82	9	0	75	0	16	3	6	40
V38	0	9	21	28	35	4	1	2	0	1
V39	27	114	52	14	17	0	0	0	11	0
V40	8	0	9	7	3	74	182	0	13	12
V41	0	30	25	63	2	1	26	31	0	5
V42	212	8	95	0	98	17	32	0	23	96
V43	17	60	5	4	63	0	0	11	1	0
V44	16	164	4	42	21	0	3	0	5	0
V45	24	0	9	1	10	33	14	0	8	8
V46	4	70	33	32	10	0	5	0	5	0
V47	6	7	13	15	0	1	7	1	17	1
V48	3	55	0	47	10	101	28	69	14	21
V49	1	16	105	0	32	0	0	0	49	0
V50	1	0	140	22	15	0	0	0	15	0
V51	0	33	88	6	1	25	22	2	12	4
V52	6	124	5	8	21	17	4	13	0	31
V53	196	3	10	4	44	0	7	10	0	0
V54	0	262	33	0	35	10	50	16	0	36
V55	22	36	16	11	0	0	3	4	5	0
V56	17	55	13	12	0	6	43	27	12	25
V57	0	112	1	10	41	64	20	0	0	0
V58	27	12	5	13	6	72	108	0	1	0
V59	0	6	0	21	17	89	3	16	8	9
V60	0	57	0	12	0	0	0	0	6	0
V61	0	41	206	16	54	1	21	61	24	12
V62	0	163	74	10	3	40	2	5	57	13
V63	153	3	121	36	0	30	59	32	74	0
V64	24	32	1	0	3	7	32	0	0	5
V65	7	4	98	46	0	0	3	55	19	0
V66	0	0	79	3	3	4	22	2	21	13
V67	6	0	5	3	3	1	0	1	5	0
V68	138	248	36	0	3	33	22	0	4	12
V69	28	1	1	20	58	22	6	25	0	45
V70	0	7	92	0	11	0	0	0	33	0
V71	1	3	89	0	154	0	1	0	89	0
V72	79	9	21	0	13	26	14	28	0	0
V73	0	22	21	0	92	0	1	0	3	16
V74	0	0	16	67	48	12	20	28	1	11
V75	45	36	8	194	1	0	1	0	5	14
V76	176	134	4	8	0	11	0	34	1	1
V77	70	1	8	0	9	0	1	0	0	13
V78	0	6	3	47	40	52	78	7	0	22
V79	8	19	35	0	89	0	1	0	30	0
V80	151	0	60	17	18	38	62	43	15	36
V81	3	35	0	139	8	0	0	113	7	6
V82	22	14	1	0	0	27	7	17	3	0
V83	791	330	0	46	64	65	106	9	7	41
V84	39	3	1	1	26	2	3	14	0	0
V85	33	5	31	25	0	0	0	16	14	0
V86	37	12	90	0	1	7	59	0	28	0
V87	10	25	0	178	44	0	2	0	3	12
V88	26	26	95	120	131	10	12	0	25	3
V89	3	136	7	92	29	4	4	50	5	0
V90	195	0	98	96	13	82	102	0	43	133
V91	20	4	0	39	116	63	38	0	4	0
V92	130	8	32	74	6	0	0	0	4	6
V93	0	32	14	15	9	104	22	41	12	0
V94	77	44	32	27	3	34	62	11	39	9
V95	10	79	2	10	0	3	14	95	0	9
V96	225	0	15	11	3	85	32	0	6	41
V97	81	17	11	4	24	7	0	0	0	0
V98	89	108	49	72	0	1	0	25	8	0
V99	11	91	30	11	5	120	44	81	13	0
V100	0	6	6	2	29	5	13	0	0	6
