NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	93.815	32.805	25.591	22.011	0.214	0.956	40000.0
2	95.409	33.515	25.901	22.255	0.215	0.958	20000.0
3	95.81	33.845	26.482	22.89	0.221	0.954	50000.0
4	94.699	33.127	25.164	21.84	0.217	0.958	20000.0
5	96.872	34.118	26.179	22.667	0.222	0.955	30000.0
6	95.12	33.379	25.912	22.281	0.216	0.957	30000.0
7	97.978	34.264	26.399	22.494	0.225	0.957	20000.0
8	95.821	33.847	25.644	22.295	0.219	0.958	30000.0
9	123.476	41.308	44.822	30.476	0.246	0.931	30000.0
10	94.955	33.257	25.387	21.679	0.216	0.959	20000.0
