Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	40	387	235	0	1126	49	0	512	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	73	37	25	13	14	27	41	4
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	70	215	0	148	15	37	60	31	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	354	281	0	136	475	34	69	157	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	56	69	10	125	3	4	61	46	1
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	184	160	0	99	12	57	28	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	1	321	9	130	16	36	34	12	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	141	413	0	176	14	29	4	69	37
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	92	87	47	8	16	135	91	108	33
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	24	101	247	49	31	68	88	22	81
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	90	333	128	138	21	28	55	0	18
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	612	211	0	203	25	268	40	69	10
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	13	171	159	66	24	44	17	146	4
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	7	136	0	6	19	34	78	83	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	8	139	139	58	23	24	48	89	6
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	30	67	0	44	6	9	44	85	18
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	74	104	0	24	694	99	0	174	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	0	198	81	139	7	56	41	41	12
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	139	192	0	62	24	22	30	172	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	83	140	0	43	18	33	23	40	7
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	164	244	0	143	9	35	11	24	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	84	220	210	84	20	68	48	18	14
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	41	71	0	6	8	27	72	84	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	486	490	0	255	27	72	57	88	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	2	171	141	28	16	21	59	0	64
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	461	433	0	108	6	72	99	122	2
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	39	253	0	134	8	68	28	12	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	186	122	0	136	16	58	21	7	34
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	83	153	20	0	10	36	44	91	18
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	73	20	12	77	12	21	62	44	0
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	0	153	81	27	470	7	120	6	1
