MutationType	ID83A	ID83B	ID83C
1:Del:C:0	3.53E-04	2.94E-02	1.79E-02
1:Del:C:1	4.33E-04	8.60E-03	5.75E-03
1:Del:C:2	6.93E-05	2.60E-04	1.37E-04
1:Del:C:3	2.89E-04	9.38E-04	4.77E-04
1:Del:C:4	2.82E-04	1.44E-03	7.22E-04
1:Del:C:5	1.07E-03	1.35E-03	2.47E-04
1:Del:T:0	5.21E-04	9.61E-03	5.42E-03
1:Del:T:1	2.30E-04	4.80E-03	2.80E-03
1:Del:T:2	4.38E-04	7.44E-03	4.82E-03
1:Del:T:3	6.04E-04	8.70E-03	5.07E-03
1:Del:T:4	9.95E-04	9.21E-03	5.43E-03
1:Del:T:5	3.89E-02	2.44E-03	3.23E-02
1:Ins:C:0	7.63E-05	1.39E-04	1.33E-04
1:Ins:C:1	1.07E-05	1.48E-04	1.34E-04
1:Ins:C:2	1.15E-04	1.42E-04	1.43E-04
1:Ins:C:3	2.86E-03	2.75E-04	1.45E-03
1:Ins:C:4	1.11E-02	7.88E-09	5.03E-03
1:Ins:C:5	3.07E-04	2.57E-04	6.08E-04
1:Ins:T:0	2.29E-04	8.28E-04	4.43E-04
1:Ins:T:1	9.24E-05	5.41E-04	3.17E-04
1:Ins:T:2	9.70E-05	2.21E-04	1.28E-04
1:Ins:T:3	1.43E-04	3.15E-04	3.25E-04
1:Ins:T:4	3.21E-04	3.62E-04	1.82E-04
1:Ins:T:5	2.04E-03	3.17E-03	1.66E-02
2:Del:R:0	4.18E-04	7.38E-04	5.66E-04
2:Del:R:1	2.69E-04	4.39E-04	5.13E-04
2:Del:R:2	1.99E-04	2.01E-04	1.60E-04
2:Del:R:3	1.47E-04	2.69E-05	9.05E-05
2:Del:R:4	3.63E-05	8.35E-05	4.93E-05
2:Del:R:5	4.22E-05	3.49E-05	2.06E-05
3:Del:R:0	2.33E-04	3.26E-04	4.47E-04
3:Del:R:1	4.22E-03	4.84E-03	3.84E-04
3:Del:R:2	1.47E-04	1.63E-04	1.16E-04
3:Del:R:3	6.72E-05	6.33E-05	2.07E-05
3:Del:R:4	7.69E-09	6.75E-09	1.19E-08
3:Del:R:5	7.69E-09	6.75E-09	1.19E-08
4:Del:R:0	1.99E-04	3.43E-04	2.80E-04
4:Del:R:1	2.02E-04	2.46E-04	2.34E-04
4:Del:R:2	5.82E-05	5.05E-05	5.50E-05
4:Del:R:3	5.42E-08	4.31E-05	4.18E-08
4:Del:R:4	7.69E-09	6.75E-09	1.19E-08
4:Del:R:5	3.96E-02	3.99E-02	1.71E-08
5:Del:R:0	3.75E-03	1.66E-02	1.33E-02
5:Del:R:1	1.31E-04	2.43E-04	1.35E-04
5:Del:R:2	8.10E-05	9.45E-05	2.68E-05
5:Del:R:3	2.14E-04	1.91E-04	4.43E-05
5:Del:R:4	2.36E-04	7.75E-05	1.32E-04
5:Del:R:5	7.69E-09	6.75E-09	1.19E-08
2:Ins:R:0	3.41E-04	1.34E-04	2.44E-04
2:Ins:R:1	5.96E-05	3.17E-04	2.97E-04
2:Ins:R:2	1.35E-03	4.69E-04	7.18E-04
2:Ins:R:3	1.60E-05	5.65E-05	6.79E-05
2:Ins:R:4	1.84E-04	2.22E-09	1.44E-04
2:Ins:R:5	7.59E-04	2.01E-04	6.63E-04
3:Ins:R:0	3.25E-05	7.86E-06	2.15E-05
3:Ins:R:1	6.51E-05	1.33E-04	1.06E-04
3:Ins:R:2	3.58E-05	1.80E-05	3.27E-05
3:Ins:R:3	7.69E-09	6.75E-09	1.19E-08
3:Ins:R:4	5.23E-05	6.54E-05	3.96E-05
3:Ins:R:5	1.20E-04	3.93E-05	1.72E-04
4:Ins:R:0	3.13E-05	8.99E-05	7.98E-05
4:Ins:R:1	1.30E-04	8.20E-05	1.09E-04
4:Ins:R:2	1.43E-05	3.06E-08	4.07E-05
4:Ins:R:3	7.69E-09	6.75E-09	1.19E-08
4:Ins:R:4	2.57E-05	4.67E-05	9.36E-05
4:Ins:R:5	1.04E-04	1.96E-04	9.12E-05
5:Ins:R:0	2.21E-08	3.42E-06	5.64E-05
5:Ins:R:1	3.12E-04	7.04E-04	5.95E-04
5:Ins:R:2	1.92E-05	7.61E-06	3.29E-08
5:Ins:R:3	7.69E-09	6.75E-09	1.19E-08
5:Ins:R:4	7.69E-09	6.75E-09	1.19E-08
5:Ins:R:5	2.03E-04	9.67E-05	1.02E-04
2:Del:M:1	1.03E-04	4.07E-04	3.04E-04
3:Del:M:1	2.00E-04	4.24E-04	4.20E-04
3:Del:M:2	1.59E-04	3.15E-04	3.62E-04
4:Del:M:1	2.32E-04	3.46E-04	3.46E-04
4:Del:M:2	5.29E-05	2.56E-04	1.44E-04
4:Del:M:3	5.18E-05	1.52E-04	1.57E-04
5:Del:M:1	3.48E-03	1.40E-02	1.12E-02
5:Del:M:2	1.72E-03	8.48E-03	6.30E-03
5:Del:M:3	8.06E-04	2.99E-03	2.50E-03
5:Del:M:4	3.22E-04	8.51E-04	6.05E-04
5:Del:M:5	3.24E-04	7.93E-04	8.17E-04
