Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	21	4	20	5	0	1	0	12	2	0	0	1	0	0	0	0	2	1	0	5
V2	5	71	86	41	8	14	9	4	0	2	22	18	10	0	2	20	0	4	24	14
V3	31	10	10	5	18	12	0	5	0	0	47	20	11	19	4	7	0	0	0	9
V4	8	21	105	10	14	31	16	36	12	1	0	0	1	0	7	1	7	0	16	0
V5	27	9	0	1	36	5	24	10	0	0	0	12	6	16	13	18	0	6	10	0
V6	7	2	23	92	54	33	19	31	89	42	0	2	30	4	23	0	0	1	0	0
V7	0	40	91	0	2	0	0	0	0	1	5	0	4	8	7	0	8	9	23	1
V8	30	0	41	0	8	0	30	1	5	7	0	2	13	4	13	2	5	0	6	0
V9	11	75	0	5	1	10	0	3	4	0	5	0	0	0	0	7	4	5	9	0
V10	0	12	220	19	0	6	26	16	0	0	2	0	0	10	2	7	30	35	36	0
V11	0	1	6	74	5	30	0	52	14	0	15	5	3	13	0	0	0	0	0	0
V12	35	5	4	24	0	11	0	5	2	1	0	0	1	0	2	0	5	0	0	0
V13	5	5	42	2	41	0	23	0	1	7	0	0	32	1	10	0	0	0	4	0
V14	0	17	88	85	117	106	114	33	59	166	0	4	0	0	50	2	0	0	0	0
V15	134	34	25	9	7	11	1	9	0	4	1	13	4	8	10	14	31	10	3	6
V16	25	17	0	0	8	0	8	0	7	17	8	0	9	0	11	0	0	1	0	0
V17	2	26	17	17	40	8	0	13	0	18	23	6	21	0	9	0	0	5	0	13
V18	12	14	1	59	0	15	0	33	9	0	2	1	0	0	1	0	3	0	0	0
V19	48	0	9	43	0	6	0	7	13	1	4	2	0	6	0	0	6	5	0	0
V20	4	3	15	7	11	1	44	3	0	5	52	11	4	0	21	1	0	0	0	0
V21	0	95	122	0	11	0	0	1	0	4	0	16	5	3	12	26	0	13	0	4
V22	1	5	40	68	24	19	10	68	6	27	0	1	26	1	40	1	0	3	0	0
V23	143	53	10	4	10	12	0	2	0	3	0	2	1	0	1	9	13	2	6	0
V24	39	12	115	11	3	11	1	3	4	7	0	0	5	0	2	2	0	0	0	0
V25	136	48	1	7	26	2	0	3	22	22	0	3	20	0	4	12	0	6	0	10
V26	3	0	56	14	4	8	16	4	14	5	0	1	0	0	0	0	5	0	0	0
V27	146	0	43	0	20	0	0	3	13	14	0	0	0	0	2	0	10	4	61	24
V28	33	6	5	8	3	1	0	1	1	0	2	1	0	4	0	2	9	2	0	9
V29	0	179	7	18	3	2	2	2	0	1	7	0	0	10	0	32	0	25	0	8
V30	0	202	74	6	2	0	12	2	0	3	28	101	0	0	0	32	1	11	0	12
V31	25	26	28	0	4	0	0	0	1	0	3	7	0	1	6	0	0	0	0	0
V32	94	21	0	36	9	22	3	23	3	1	0	5	0	3	3	1	9	7	3	1
V33	0	76	22	20	5	21	18	10	15	0	0	9	0	2	1	4	0	4	16	0
V34	27	13	0	4	36	0	2	2	15	18	23	36	3	84	33	0	15	1	20	0
V35	223	46	40	31	55	12	37	8	29	16	45	17	2	5	12	24	0	0	0	0
V36	157	3	3	27	0	7	22	27	28	22	5	0	5	0	40	0	19	2	0	0
