De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature ID1 (100.00%), 4.09,  0.80, 0.057, 1.00, 1.00
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature ID8 (100.00%), 14.71,  7.64, 0.043, 1.00, 1.00
Signature 83-E, Signature ID2 (100.00%), 6.93,  1.73, 0.312, 1.00, 1.00
Signature 83-F, Signature ID9 (100.00%), 14.07,  7.85, 0.099, 1.00, 1.00
