Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	184	132	45	293	86	2
V2	0	0	0	0	312	21
V3	0	0	160	82	8	146
V4	0	2	0	3	10	0
V5	196	11	41	194	31	23
V6	45	31	24	21	0	143
V7	1	66	17	162	33	65
V8	2	159	88	37	115	34
V9	14	86	27	6	4	3
V10	15	207	57	35	7	62
V11	222	117	211	21	191	116
V12	0	30	8	4	0	0
V13	139	37	0	9	20	6
V14	152	27	8	120	21	23
V15	0	78	59	144	28	0
V16	349	135	2	42	11	11
V17	52	30	0	48	6	0
V18	0	117	0	0	0	193
V19	37	3	31	18	1	18
V20	360	7	6	6	10	178
V21	51	56	10	32	17	15
V22	194	22	0	32	46	0
V23	0	0	0	6	0	72
V24	0	127	0	164	0	125
V25	4	13	12	18	1	122
V26	0	0	0	281	25	0
V27	107	166	12	1	9	10
V28	8	16	78	58	36	70
V29	5	14	34	3	0	0
V30	107	0	87	202	86	64
V31	231	65	0	0	18	0
V32	64	33	55	45	46	20
V33	283	204	16	1	8	3
V34	166	32	61	43	7	11
V35	2	302	66	29	29	11
V36	41	0	68	37	0	18
V37	0	5	5	2	8	3
V38	52	26	45	0	45	0
V39	0	47	0	38	39	0
V40	25	17	29	2	68	15
V41	26	23	52	5	35	0
V42	158	81	46	37	36	16
V43	36	6	2	2	16	1
V44	0	205	0	29	152	0
V45	22	0	83	0	41	0
V46	0	0	12	0	28	49
V47	0	162	52	0	0	0
V48	553	31	141	8	12	77
V49	0	33	0	61	165	0
V50	49	23	155	0	34	83
V51	106	0	205	0	11	0
V52	108	21	35	2	7	1
V53	35	65	2	41	5	1
V54	139	16	202	23	241	21
V55	44	100	15	52	80	5
V56	0	0	83	42	0	127
V57	181	27	18	119	51	7
V58	107	6	57	358	96	2
V59	167	66	0	0	28	21
V60	50	5	0	8	2	0
V61	52	14	114	0	45	0
V62	320	70	31	0	11	33
V63	321	183	72	1	9	60
V64	23	21	35	32	21	103
V65	11	112	0	0	11	0
V66	1	3	5	136	24	87
V67	0	0	0	23	39	0
V68	64	0	415	48	0	0
V69	0	0	83	44	4	0
V70	5	11	19	24	0	6
V71	190	371	22	0	125	0
V72	70	11	104	21	15	24
V73	24	0	95	0	0	33
V74	0	19	12	14	18	5
V75	42	13	66	13	21	6
V76	135	153	10	7	242	18
V77	0	6	2	2	0	5
V78	18	15	41	0	21	94
V79	0	33	71	149	0	0
V80	40	112	0	0	14	101
V81	0	0	0	116	93	0
V82	93	8	125	68	65	57
V83	0	55	42	23	49	37
V84	105	63	38	16	4	205
V85	116	58	35	49	24	106
V86	11	0	19	0	36	4
V87	57	27	26	107	27	0
V88	48	33	144	91	23	170
V89	24	8	130	65	54	1
V90	3	243	3	14	8	53
V91	62	16	7	10	55	4
V92	122	112	26	5	45	7
V93	68	33	66	6	127	38
V94	2	32	15	15	8	6
V95	84	44	0	19	28	11
V96	40	35	65	56	68	4
V97	20	0	22	44	5	0
V98	6	103	232	31	85	21
V99	151	46	1	374	2	8
V100	23	75	7	3	68	6
