Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	149	24	0	99	62	1	0	0	0	6	0	0	23	0	0	21	0	0	0
V2	0	61	0	99	13	0	118	5	0	0	6	45	24	6	0	0	0	0	0
V3	126	45	0	1	0	95	3	127	0	61	116	1	16	10	2	1	0	0	0
V4	1	60	160	5	1	0	10	0	36	17	0	49	5	0	0	0	0	0	0
V5	13	172	67	54	83	32	54	8	0	23	0	80	29	0	0	0	8	0	0
V6	1	30	0	18	0	8	0	8	12	0	6	0	0	12	3	0	0	1	0
V7	10	34	119	0	21	63	0	0	164	2	1	0	0	0	11	3	0	0	0
V8	20	0	1	0	0	12	74	12	0	20	36	0	30	22	2	0	0	6	0
V9	8	0	7	48	41	0	0	0	7	0	0	0	0	0	0	0	30	3	0
V10	11	14	31	42	9	18	9	54	0	32	33	0	12	0	17	4	0	15	0
V11	59	83	0	113	0	116	0	57	0	0	86	0	0	42	0	0	0	6	0
V12	215	0	27	9	0	0	56	3	0	22	0	0	40	17	0	6	2	0	0
V13	34	36	0	33	20	1	0	26	31	6	0	0	12	0	15	6	0	0	32
V14	21	0	23	20	33	8	1	17	27	0	0	0	0	0	0	0	0	21	0
V15	19	0	0	25	0	118	2	47	7	0	69	34	0	1	10	0	0	11	0
V16	45	11	0	39	87	0	3	7	0	0	3	0	0	0	6	6	0	1	0
V17	2	13	0	0	66	63	20	21	0	15	43	0	6	23	0	15	0	0	0
V18	14	0	0	0	5	0	0	0	0	15	0	0	0	0	0	0	0	0	0
V19	54	7	31	0	15	0	56	0	32	32	0	49	44	0	0	8	0	0	0
V20	390	156	11	153	28	24	0	7	70	132	0	0	0	0	0	0	0	0	0
V21	24	6	64	0	58	0	0	0	0	21	0	0	3	0	0	0	18	0	0
V22	5	0	0	30	26	1	39	3	0	3	0	34	69	0	3	0	0	0	0
V23	302	6	0	13	0	41	8	0	23	104	6	0	0	15	0	0	0	0	0
V24	1	0	352	103	24	0	0	0	63	0	0	0	0	0	0	0	0	0	0
V25	13	0	8	0	42	11	5	12	0	0	0	22	0	0	1	1	0	4	0
V26	31	0	40	16	5	1	60	0	0	6	0	0	10	4	0	1	0	0	0
V27	9	15	0	12	20	23	2	29	37	0	12	0	0	23	0	0	0	3	14
V28	0	5	41	113	0	0	70	0	44	3	0	0	35	3	3	11	0	0	0
V29	10	0	16	0	0	38	9	17	0	11	16	0	26	1	7	0	0	2	0
V30	8	61	7	37	0	9	1	10	0	15	0	18	3	0	0	0	0	0	0
V31	13	7	0	2	5	3	0	0	0	12	0	0	0	0	0	0	0	0	0
V32	31	40	17	42	0	9	0	22	0	11	14	0	0	0	0	8	10	0	8
V33	7	5	0	0	38	6	2	45	66	0	11	1	0	0	0	3	0	0	0
V34	0	56	11	73	0	0	4	10	2	1	2	11	0	0	0	0	0	0	0
V35	61	9	16	0	10	0	0	0	15	35	0	0	0	0	0	0	0	0	0
V36	21	7	89	0	5	0	43	14	72	7	0	0	0	0	0	0	0	0	0
V37	7	37	0	51	5	49	0	69	0	0	35	13	0	17	6	0	0	0	0
V38	0	153	138	87	39	69	31	26	60	2	0	0	1	10	0	25	20	0	0
V39	1	21	3	1	0	55	27	35	5	4	60	0	14	28	6	0	0	0	0
V40	0	44	0	0	0	128	8	108	8	10	81	64	5	0	9	0	3	0	0
V41	52	0	93	38	31	0	22	0	36	1	0	25	12	0	0	14	0	0	23
V42	33	0	8	0	10	1	2	0	0	8	0	17	2	0	0	0	4	7	0
V43	151	10	0	24	9	31	1	37	14	71	0	0	0	0	5	5	24	0	0
V44	18	0	3	8	20	9	7	41	41	10	0	0	0	0	0	8	0	0	0
V45	118	55	16	57	71	0	47	0	1	45	0	16	32	9	0	19	0	0	12
V46	127	0	0	26	32	61	4	28	0	11	0	18	34	0	9	8	0	0	0
V47	2	0	82	0	7	26	73	0	0	0	0	0	77	23	0	5	0	0	0
V48	0	0	5	0	11	10	0	5	1	0	23	0	0	0	2	0	0	0	0
V49	16	10	0	0	58	0	2	0	0	5	0	4	2	0	0	10	0	0	0
V50	0	47	45	0	0	15	50	4	89	0	30	34	10	13	2	0	0	0	16
V51	25	28	0	4	4	56	4	83	53	0	23	4	0	0	6	0	2	13	0
V52	36	38	1	0	9	37	0	18	0	2	41	1	11	0	0	11	0	0	0
V53	179	148	0	65	26	42	0	8	19	9	0	0	0	0	0	0	0	0	0
V54	68	2	13	0	34	43	35	57	0	67	0	69	0	0	3	6	0	15	7
V55	15	0	30	16	0	6	0	3	0	19	0	0	0	4	0	0	0	0	0
V56	138	85	6	0	0	8	14	13	14	17	0	0	0	0	0	4	0	10	0
V57	2	11	25	4	39	3	14	0	63	19	4	39	0	0	5	0	0	5	2
V58	36	54	41	19	10	23	1	0	0	14	0	0	0	0	0	0	0	0	0
V59	56	101	62	19	1	0	0	0	11	6	0	0	0	0	0	0	0	0	14
V60	184	0	107	6	117	0	7	0	0	47	0	0	0	0	0	7	0	0	0
V61	46	15	16	13	63	0	91	0	0	25	0	41	12	0	0	2	0	0	0
V62	0	49	12	18	22	63	29	38	5	2	0	21	0	12	0	2	0	0	0
V63	2	49	27	0	0	1	3	0	20	3	0	1	0	0	0	0	0	0	0
