NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	130.85	23.814	26.753	14.824	0.101	0.983	160000.0
2	128.42	23.392	26.454	14.65	0.096	0.985	50000.0
3	128.936	23.813	25.701	14.629	0.101	0.984	100000.0
4	128.913	23.952	25.941	14.67	0.102	0.984	90000.0
5	130.114	24.252	25.892	14.831	0.103	0.984	90000.0
6	128.452	23.758	26.082	14.927	0.098	0.983	90000.0
7	131.505	24.062	26.992	15.097	0.102	0.982	80000.0
8	128.844	23.457	25.957	14.299	0.098	0.985	70000.0
9	124.532	23.33	25.033	14.602	0.102	0.984	90000.0
10	130.507	23.771	26.514	14.688	0.102	0.982	90000.0
11	129.13	23.606	26.428	14.558	0.1	0.983	100000.0
12	130.778	23.801	26.505	14.775	0.101	0.983	100000.0
13	128.39	23.497	26.471	14.733	0.1	0.983	140000.0
14	131.242	24.032	26.824	14.936	0.1	0.984	80000.0
15	131.421	23.613	26.848	14.625	0.1	0.984	90000.0
16	131.708	24.026	27.399	15.092	0.1	0.983	140000.0
17	129.087	23.729	26.47	14.869	0.098	0.984	100000.0
18	129.871	23.667	26.19	14.618	0.099	0.984	80000.0
19	130.061	23.686	26.211	14.761	0.099	0.984	50000.0
20	131.681	23.827	26.931	14.763	0.1	0.984	60000.0
21	129.915	23.67	26.901	14.842	0.101	0.983	90000.0
22	127.97	23.412	26.217	14.558	0.1	0.984	70000.0
23	129.424	23.655	26.306	14.639	0.1	0.983	70000.0
24	127.078	23.457	25.918	14.778	0.101	0.984	130000.0
25	125.125	23.24	25.375	14.479	0.1	0.984	120000.0
