NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	36.272	14.623	8.375	8.668	0.091	0.994	30000.0
2	42.506	17.161	10.462	10.772	0.098	0.992	50000.0
3	41.124	16.936	9.847	10.367	0.098	0.993	30000.0
4	38.653	15.625	9.298	9.628	0.091	0.993	30000.0
5	36.101	14.326	8.74	8.889	0.088	0.994	70000.0
6	38.242	15.477	9.118	9.426	0.091	0.994	50000.0
7	35.227	14.007	8.192	8.452	0.085	0.995	40000.0
8	36.747	14.845	8.705	8.946	0.093	0.994	40000.0
9	39.891	16.3	9.569	10.158	0.097	0.992	60000.0
10	43.985	18.098	10.572	11.017	0.103	0.992	50000.0
