NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	47.259	17.684	12.432	11.31	0.096	0.991	70000.0
2	44.18	16.299	10.161	9.11	0.095	0.995	80000.0
3	39.358	14.258	9.02	8.209	0.092	0.995	40000.0
4	42.915	15.989	9.98	9.272	0.096	0.994	60000.0
5	43.878	16.623	10.771	10.087	0.097	0.992	60000.0
6	42.045	15.496	9.808	9.101	0.09	0.994	100000.0
7	40.415	14.8	9.208	8.429	0.09	0.995	70000.0
8	42.94	15.565	9.878	8.79	0.095	0.995	60000.0
9	46.337	17.492	11.582	10.637	0.096	0.992	60000.0
10	40.667	14.617	9.026	8.068	0.093	0.996	120000.0
