Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,rmse_Lambda_filter,rmse_Counts_filter,epsilon,Kused,a,alpha,overdispersion
20,NA,NA,NA,0.3333333333333333,0.15,0.0473831562712718,0.03173459671003804,0.03955887649065492,22.050638812148453,91.95438079696243,57.00250980455544,NA,1.621878505749234,1.9590437744579825,1.631999069475242,1.9694443452404127,0.001,20,0.1,0.01,0
20,NA,NA,NA,0.5,0.2,0.04076498546183502,0.01851563606848318,0.0296403107651591,22.175779682146967,65.30598456882075,43.74088212548386,NA,1.6878173827049756,2.0392502033306097,1.690064851512436,2.0447679605545677,0.001,20,0.1,0.01,0
20,NA,NA,NA,0.5,0.2,0.04647140043076134,0.012519321320305232,0.029495360875533286,28.576392354391206,73.51592911245287,51.046160733422035,NA,1.904365987004053,2.0617236953665152,1.9077602852945648,2.071398733200973,0.001,20,0.1,0.01,0
20,NA,NA,NA,0.3333333333333333,0.1,0.045627410258051844,0.018500780727633146,0.0320640954928425,27.180900921351583,81.29816397301596,54.23953244718377,NA,1.9987970569503897,2.2921665661850583,2.000182035749644,2.2983472689786026,0.001,20,0.1,0.01,0
20,NA,NA,NA,0.5,0.15,0.0454725610566773,0.028595696584344885,0.037034128820511096,25.773643480107655,101.22197899037667,63.49781123524216,NA,2.105047802768896,2.1818367614181353,2.1112568427996217,2.187873164163084,0.001,20,0.1,0.01,0
19,NA,NA,NA,0.16666666666666666,0.05263157894736842,0.05158245188513522,0.04067527055320018,0.046128861219167705,27.79988814320392,89.45298151787938,58.62643483054165,NA,2.0840263079023242,2.069739196426331,2.0928218479998737,2.0843630801493105,0.001,20,0.5,0.01,0
19,NA,NA,NA,0.16666666666666666,0.05263157894736842,0.0489978136885474,0.03907973403288757,0.04403877386071749,25.631306485924586,80.3757136520847,53.00351006900464,NA,2.472964369795464,2.5939080744141894,2.830406682060033,2.96501258513067,0.001,20,0.5,0.01,0
18,NA,NA,NA,0.16666666666666666,0.1111111111111111,0.04910697456627891,0.034736683196177585,0.04192182888122825,26.291458904799335,89.18598835273073,57.73872362876503,NA,1.9130279971172857,2.0458480973031783,1.921724507112747,2.059804754785483,0.001,20,0.5,0.01,0
19,NA,NA,NA,0,0,0.050540186020386395,0.050694182099220865,0.05061718405980363,26.518657261469173,93.21508491359478,59.866871087531976,NA,1.9999172826126368,1.8490856574088959,2.005361471656801,1.8565898715515736,0.001,20,0.5,0.01,0
19,NA,NA,NA,0.16666666666666666,0.05263157894736842,0.05001075970556401,0.040577954406573045,0.04529435705606853,29.514028243438446,99.97799384754727,64.74601104549285,NA,2.577615124080565,2.723366332655528,2.5939552203799905,2.743005593449325,0.001,20,0.5,0.01,0
15,NA,NA,NA,0.16666666666666666,0.06666666666666667,0.050708725578896344,0.0350438819848306,0.04287630378186347,35.504186347098646,70.25884295067327,52.881514648885954,NA,2.4284857164288765,2.7400781249113466,2.43331080887568,2.7466963516834366,0.001,20,1,0.01,0
15,NA,NA,NA,0.16666666666666666,0.06666666666666667,0.05445967601135661,0.03699340087542955,0.04572653844339308,34.96697526345278,84.60046053973674,59.78371790159476,NA,2.4515466554989955,2.6059825506859813,2.562199235218072,2.7234368965488156,0.001,20,1,0.01,0
18,NA,NA,NA,0,0,0.056701305673263806,0.04812310190278273,0.05241220378802327,35.59559757668115,100.5531358810437,68.07436672886243,NA,2.627531187127257,2.6645243939016123,2.6435246724001304,2.6829379359652,0.001,20,1,0.01,0
16,NA,NA,NA,0,0,0.04720971132946595,0.05705801248551881,0.052133861907492376,33.64900904168736,117.4891487643212,75.56907890300428,NA,7.120723278861663,7.102991795859511,7.13040946616146,7.11441518666255,0.001,20,1,0.01,0
16,NA,NA,NA,0,0,0.055747870978875666,0.04202919038249135,0.04888853068068351,36.06575647489189,85.389756658418,60.727756566654946,NA,2.612057077221444,2.6798383174970684,2.634129841020039,2.7026755769603428,0.001,20,1,0.01,0
12,NA,NA,NA,0.16666666666666666,0.08333333333333333,0.03980503944671066,0.03218005272348264,0.03599254608509665,35.72382068867215,102.78002850249406,69.2519245955831,NA,4.328520321855502,4.570424698710353,4.345942516954853,4.59297443533376,0.001,20,2,0.01,0
13,NA,NA,NA,0,0,0.04823811696117302,0.049109608169184346,0.04867386256517868,34.51335622840626,110.42932296481456,72.4713395966104,NA,2.758513742637178,3.0196637273697435,2.7718401423135197,3.0341596802614714,0.001,20,2,0.01,0
13,NA,NA,NA,0.16666666666666666,0.07692307692307693,0.0522595421372042,0.0437656802361007,0.048012611186652454,38.351239563815106,93.69983913418741,66.02553934900126,NA,4.184792227400087,4.281245822746767,4.186530743379388,4.284779418882838,0.001,20,2,0.01,0
15,NA,NA,NA,0.16666666666666666,0.06666666666666667,0.05959837579419183,0.03851200749311941,0.04905519164365562,34.69019861248892,80.19327442458909,57.441736518539,NA,3.3737858768064255,3.468207147599,3.3798140858136367,3.4746632247926637,0.001,20,2,0.01,0
14,NA,NA,NA,0.16666666666666666,0.07142857142857142,0.05059275039308944,0.044609583921304756,0.0476011671571971,30.73125416983874,84.13244745642936,57.43185081313405,NA,4.965755561829402,5.036642323063428,4.980169298152395,5.0567390841601885,0.001,20,2,0.01,0
