Kest,mean,lowCI.5.,highCI.95.,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights,mean_cos_sim,rmse_Lambda,rmse_Counts,epsilon,Kused,overdispersion
5,NA,NA,NA,0.8333333333333334,1,0.004558388977196686,0.0056433439608520805,0.005100866469024383,27.27392537857452,41.002295195631156,34.13811028710284,NA,1.5813305649658842,2.4007800469417266,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.004268139854653198,0.006199811858795176,0.0052339758567241865,31.715301676917342,52.244494607763656,41.9798981423405,NA,1.8983374168153002,2.613096775310414,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.005662631941925841,0.006771525807828421,0.006217078874877131,33.869822214449016,53.7544211366141,43.81212167553156,NA,1.8302297051360499,2.7265276012129696,0.001,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.007885467937602227,0.006535687080090695,0.007210577508846461,39.24479247589234,69.77437617049124,54.50958432319179,NA,2.5432484288174337,3.157731535979694,0.001,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.006613002715094901,0.006455539089671834,0.006534270902383368,48.68690200558563,71.50003528375896,60.0934686446723,NA,2.600809308980248,3.1448377880611793,0.001,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.008373578342897401,0.006133350495653982,0.007253464419275692,27.250136672203663,54.77186861676836,41.01100264448601,NA,2.3209526516544736,2.9028360545030587,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.004413628044541327,0.00753079995759391,0.005972214001067618,24.67326605680789,59.08220273649666,41.87773439665227,NA,2.196909178558199,2.858484950912801,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.006053925496909401,0.006781003303432577,0.006417464400170989,37.239146408951385,58.817167686362126,48.028157047656755,NA,2.5723865129824226,3.183990903303741,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.0046351487818853355,0.0068086063390905985,0.005721877560487967,33.49788739284991,53.60875409233673,43.55332074259332,NA,2.1197021599667516,2.989670163706026,0.001,5,0
5,NA,NA,NA,0.8333333333333334,1,0.0046751366188054165,0.005802640475398316,0.005238888547101866,27.636296096936054,44.40978031735417,36.02303820714511,NA,1.7574973371174725,2.455695967122895,0.001,5,0
5,NA,NA,NA,0.6666666666666666,0.8,0.006936499965153816,0.0060510738409952575,0.006493786903074537,42.387685281730484,59.78107030375226,51.08437779274137,NA,1.9279049887934072,2.6708233424596473,0.001,5,0
