MutationType	ID83A	ID83B
1:Del:C:0	7.90E-03	1.24E-02
1:Del:C:1	2.34E-03	3.89E-03
1:Del:C:2	1.26E-04	1.30E-04
1:Del:C:3	1.65E-04	2.38E-04
1:Del:C:4	3.14E-04	5.56E-04
1:Del:C:5	3.43E-04	4.33E-04
1:Del:T:0	2.22E-03	4.34E-03
1:Del:T:1	9.11E-04	1.70E-03
1:Del:T:2	2.08E-03	3.27E-03
1:Del:T:3	3.05E-03	4.84E-03
1:Del:T:4	2.82E-03	4.35E-03
1:Del:T:5	1.65E-02	2.29E-02
1:Ins:C:0	1.13E-04	4.98E-05
1:Ins:C:1	8.05E-05	6.77E-05
1:Ins:C:2	5.99E-05	8.50E-05
1:Ins:C:3	4.70E-05	4.09E-05
1:Ins:C:4	9.38E-05	7.73E-05
1:Ins:C:5	5.74E-04	7.76E-04
1:Ins:T:0	3.05E-04	5.35E-04
1:Ins:T:1	2.92E-04	4.30E-04
1:Ins:T:2	1.01E-04	8.65E-05
1:Ins:T:3	1.49E-04	1.57E-04
1:Ins:T:4	4.77E-04	1.22E-03
1:Ins:T:5	1.96E-02	3.19E-02
2:Del:R:0	3.44E-04	5.90E-04
2:Del:R:1	1.37E-04	1.56E-04
2:Del:R:2	5.48E-05	6.12E-05
2:Del:R:3	3.24E-05	6.61E-06
2:Del:R:4	3.12E-05	6.12E-05
2:Del:R:5	3.19E-05	4.93E-05
3:Del:R:0	2.23E-04	1.74E-04
3:Del:R:1	2.89E-04	4.64E-04
3:Del:R:2	3.40E-03	4.10E-04
3:Del:R:3	4.32E-05	4.75E-05
3:Del:R:4	4.50E-09	6.85E-09
3:Del:R:5	1.58E-03	5.93E-04
4:Del:R:0	2.23E-04	2.87E-03
4:Del:R:1	2.08E-04	3.19E-04
4:Del:R:2	7.46E-05	1.01E-04
4:Del:R:3	4.50E-09	6.85E-09
4:Del:R:4	4.50E-09	6.85E-09
4:Del:R:5	2.03E-05	6.72E-05
5:Del:R:0	3.50E-03	1.11E-03
5:Del:R:1	6.39E-05	7.82E-05
5:Del:R:2	3.40E-05	5.74E-05
5:Del:R:3	9.62E-06	2.48E-05
5:Del:R:4	4.50E-09	6.85E-09
5:Del:R:5	4.50E-09	6.85E-09
2:Ins:R:0	8.63E-05	1.37E-04
2:Ins:R:1	1.44E-04	1.61E-03
2:Ins:R:2	6.43E-05	6.42E-05
2:Ins:R:3	3.87E-05	1.02E-04
2:Ins:R:4	8.89E-05	1.22E-04
2:Ins:R:5	3.75E-04	6.35E-04
3:Ins:R:0	3.12E-04	8.67E-03
3:Ins:R:1	6.83E-05	8.65E-05
3:Ins:R:2	2.00E-05	1.80E-05
3:Ins:R:3	7.40E-09	2.67E-02
3:Ins:R:4	1.75E-05	7.46E-05
3:Ins:R:5	4.24E-05	5.63E-05
4:Ins:R:0	2.20E-05	2.65E-05
4:Ins:R:1	5.27E-05	1.12E-04
4:Ins:R:2	8.62E-06	5.10E-08
4:Ins:R:3	4.50E-09	6.85E-09
4:Ins:R:4	1.23E-05	2.84E-05
4:Ins:R:5	9.21E-05	1.72E-04
5:Ins:R:0	4.88E-05	2.30E-05
5:Ins:R:1	1.78E-04	2.07E-04
5:Ins:R:2	1.46E-05	5.64E-05
5:Ins:R:3	3.73E-05	3.74E-05
5:Ins:R:4	3.16E-05	2.65E-05
5:Ins:R:5	7.07E-06	2.22E-05
2:Del:M:1	1.64E-04	3.52E-04
3:Del:M:1	2.01E-04	2.60E-04
3:Del:M:2	1.68E-04	1.90E-04
4:Del:M:1	1.74E-04	1.89E-04
4:Del:M:2	1.03E-04	1.43E-04
4:Del:M:3	2.19E-03	4.56E-04
5:Del:M:1	3.75E-03	1.10E-03
5:Del:M:2	5.57E-03	9.38E-04
5:Del:M:3	6.88E-04	2.43E-04
5:Del:M:4	2.43E-04	5.92E-05
5:Del:M:5	1.91E-04	1.99E-04
