NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	41.602	14.741	9.76	8.775	0.074	0.994	70000.0
2	41.514	15.586	9.789	9.379	0.087	0.993	80000.0
3	43.142	15.804	10.172	9.427	0.08	0.993	70000.0
4	40.838	14.769	9.656	8.887	0.077	0.994	70000.0
5	42.11	15.035	9.92	8.914	0.078	0.994	60000.0
6	43.863	15.82	10.44	9.471	0.08	0.993	40000.0
7	43.972	16.27	10.873	10.016	0.076	0.992	30000.0
8	43.462	15.785	10.484	9.452	0.081	0.993	100000.0
9	41.641	14.936	9.788	8.857	0.079	0.993	80000.0
10	39.626	14.532	9.539	8.738	0.08	0.993	60000.0
