De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID2 (100.00%), 9.74,  1.84, 0.051, 1.00, 1.00
Signature 83-B, Signature ID1 (100.00%), 4.70,  0.97, 0.073, 1.00, 1.00
Signature 83-C, Signature ID9 (100.00%), 11.02,  6.88, 0.087, 1.00, 1.00
Signature 83-D, Signature 83-D, 0, 0, 0, 1, 1
Signature 83-E, Signature 83-E, 0, 0, 0, 1, 1
Signature 83-F, Signature ID8 (100.00%), 22.20,  10.99, 0.092, 0.99, 0.99
