Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	203	184	0	2	179
V2	9	323	16	3	22
V3	68	110	115	17	39
V4	105	3	49	33	100
V5	0	122	91	133	15
V6	54	21	15	12	3
V7	0	254	59	298	24
V8	15	5	10	0	129
V9	15	38	7	6	6
V10	0	0	30	258	1
V11	71	1	190	78	17
V12	31	30	41	6	34
V13	23	46	4	19	1
V14	0	4	0	388	96
V15	52	49	0	18	7
V16	28	50	27	83	153
V17	49	46	12	22	0
V18	40	42	15	63	0
V19	36	8	0	195	18
V20	46	67	69	5	272
V21	502	35	0	0	27
V22	170	41	20	0	70
V23	43	91	0	32	30
V24	0	190	145	0	44
V25	138	94	0	100	6
V26	9	2	62	5	14
V27	51	46	9	63	22
V28	17	98	0	0	40
V29	0	0	0	233	9
V30	136	35	141	67	78
V31	0	23	9	90	57
V32	35	56	32	54	73
V33	91	0	60	175	46
V34	61	66	64	118	41
V35	73	4	69	12	0
V36	107	55	14	60	50
V37	101	95	22	0	2
V38	31	0	6	20	204
V39	86	9	0	42	21
V40	42	4	44	54	107
V41	89	3	0	1	61
V42	0	21	68	37	4
V43	2	26	16	0	77
V44	4	7	9	55	51
V45	89	2	160	21	14
V46	153	2	0	185	142
V47	11	40	8	0	24
V48	93	56	20	65	52
V49	38	12	35	14	52
V50	0	31	0	269	18
V51	90	39	15	0	0
V52	0	99	36	47	5
V53	105	98	53	13	2
V54	168	130	0	51	62
V55	0	128	7	64	141
V56	16	20	25	1	25
V57	0	0	581	148	55
V58	38	100	0	78	84
V59	19	6	26	0	93
V60	109	123	202	56	4
V61	72	20	51	0	5
V62	0	4	287	0	152
V63	16	145	58	0	95
V64	19	5	43	4	0
V65	135	22	35	10	26
V66	0	11	109	8	26
V67	0	19	83	11	7
V68	1	293	0	0	99
V69	0	16	41	0	225
V70	0	118	1	0	6
V71	0	0	50	0	13
V72	22	6	114	16	107
V73	55	28	0	356	23
V74	41	176	73	42	40
V75	54	11	76	20	166
V76	0	93	38	9	0
V77	411	26	434	0	19
V78	15	452	69	82	24
V79	131	78	0	1	0
V80	33	1	27	0	43
V81	72	9	202	63	13
V82	0	22	9	13	142
V83	153	16	12	3	13
V84	0	33	4	6	0
V85	91	117	8	4	4
V86	22	0	3	118	137
V87	107	392	0	0	44
V88	6	26	140	78	0
V89	15	0	106	82	15
V90	54	78	19	56	36
V91	393	36	244	21	10
V92	107	82	48	0	88
V93	44	69	114	0	43
V94	220	270	56	13	0
V95	174	194	0	26	153
V96	182	44	0	63	42
V97	212	0	0	21	70
V98	78	68	45	46	235
V99	215	0	0	80	0
V100	136	1	172	144	20
