NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	62.375	22.895	15.397	13.672	0.132	0.987	20000.0
2	62.769	22.793	15.203	13.332	0.131	0.988	70000.0
3	66.438	24.041	16.505	14.724	0.14	0.985	50000.0
4	62.874	22.677	15.336	13.587	0.136	0.988	40000.0
5	62.876	22.899	15.747	13.965	0.132	0.987	40000.0
6	62.775	22.745	15.444	13.668	0.131	0.987	40000.0
7	62.515	22.865	15.144	13.453	0.131	0.988	30000.0
8	65.058	23.544	15.945	13.812	0.137	0.987	40000.0
9	63.341	23.274	15.894	14.314	0.132	0.985	70000.0
10	64.125	23.443	15.842	14.319	0.139	0.986	30000.0
