Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	206	0	0	13	0	8	0	2	0	14	0	0	0	0	0	0	1
V2	15	315	239	0	15	0	0	98	0	146	90	15	32	0	0	0	0
V3	58	19	9	41	18	31	1	0	11	5	0	25	7	0	0	0	9
V4	1	10	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0
V5	8	14	46	4	0	10	0	0	25	0	0	15	0	0	10	0	0
V6	3	19	78	24	10	0	0	62	2	0	66	19	15	0	0	0	1
V7	2	28	76	146	14	0	120	0	0	0	0	5	3	0	0	0	0
V8	133	3	0	38	21	16	0	31	11	46	66	7	0	31	19	22	0
V9	0	119	169	3	110	25	0	0	34	0	0	1	19	0	0	12	4
V10	12	0	25	4	109	58	0	16	33	11	23	27	13	0	0	0	0
V11	7	48	61	20	0	0	17	6	0	0	0	1	4	0	0	0	0
V12	32	0	1	0	0	10	0	15	0	6	0	0	0	2	0	0	2
V13	17	40	23	58	0	0	88	0	11	0	0	4	5	4	26	0	0
V14	42	1	0	4	2	73	8	0	0	0	13	22	0	0	3	0	0
V15	7	38	16	6	0	0	0	13	1	16	21	0	0	11	2	0	1
V16	16	17	0	0	245	0	0	0	23	0	0	0	0	12	1	3	4
V17	64	0	0	27	3	38	0	0	21	4	0	0	1	0	12	0	2
V18	0	0	0	18	0	113	0	0	40	0	13	15	0	0	3	0	0
V19	0	1	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0
V20	108	21	2	23	7	0	33	0	2	0	0	0	0	0	5	0	0
V21	105	39	0	0	34	67	0	0	18	9	0	34	0	0	0	0	5
V22	25	0	4	12	20	0	4	0	0	3	0	3	3	2	10	0	4
V23	23	102	98	131	8	0	93	0	0	0	0	0	0	0	2	0	0
V24	9	8	0	0	68	46	0	8	19	10	2	16	0	0	3	0	0
V25	12	64	45	11	3	0	15	0	0	0	0	5	3	0	0	0	0
V26	0	14	0	142	33	8	95	0	8	0	0	9	0	0	11	0	0
V27	0	109	151	0	8	7	0	0	0	0	0	38	0	0	0	0	2
V28	8	14	0	0	12	10	3	11	0	7	8	0	7	2	0	5	8
V29	33	0	0	0	59	5	0	10	16	0	0	7	2	3	5	15	2
V30	1	4	10	0	22	66	6	4	0	2	0	0	8	0	0	0	0
V31	96	3	0	0	72	0	0	0	2	0	0	0	0	17	0	9	2
V32	6	166	139	0	0	0	0	0	0	0	0	0	45	0	0	0	0
V33	6	16	4	0	15	0	4	0	18	7	0	15	9	0	0	0	0
V34	23	2	4	0	0	50	0	10	15	0	14	0	2	21	0	1	0
V35	1	0	0	0	20	0	0	2	3	0	29	5	4	0	0	0	2
V36	69	9	0	2	5	49	6	0	79	0	0	0	0	0	0	0	0
V37	60	38	53	44	14	0	0	0	0	0	0	0	0	19	26	0	0
V38	2	109	99	0	12	0	0	1	0	0	9	0	37	0	9	0	0
V39	76	16	0	23	9	0	59	0	6	3	3	14	4	0	0	0	0
V40	54	2	0	0	31	0	0	0	0	0	0	0	0	0	0	4	1
V41	0	37	18	84	101	0	7	0	0	0	0	0	0	0	6	0	6
V42	31	83	111	0	39	0	0	3	0	15	13	0	0	4	0	0	0
V43	24	30	0	10	1	0	0	8	0	18	5	0	0	1	0	0	0
V44	0	14	0	2	1	104	27	0	0	0	0	38	18	0	0	0	0
V45	36	11	36	0	8	34	1	0	0	0	0	5	2	1	0	6	2
V46	1	37	91	65	8	0	66	0	0	0	1	0	0	6	0	0	0
V47	33	106	163	15	10	0	0	0	0	0	0	15	10	0	0	0	0
V48	1	236	195	11	108	0	0	0	0	0	0	0	0	0	0	0	21
V49	175	59	34	0	0	0	4	106	34	51	59	23	7	20	0	8	2
V50	51	39	48	28	22	0	19	0	2	0	0	0	10	0	0	0	2
V51	24	15	8	7	11	31	5	17	0	0	3	16	26	0	1	10	2
