Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	10	29	10	102	12	0	0
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	69	93	169	42	0	82	54
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	56	86	85	197	45	20	32
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	155	564	131	194	28	62	89
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	65	177	130	34	18	31	31
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	90	373	297	38	547	30	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	68	271	191	4	17	23	0
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	55	88	109	106	17	17	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	56	173	17	78	38	11	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	57	106	0	227	175	11	0
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	8	47	12	53	3	8	2
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	101	457	87	90	13	47	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	134	291	167	78	39	30	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	36	151	168	38	11	7	34
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	190	186	91	51	15	58	13
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	130	229	264	98	23	22	30
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	156	130	0	107	5	16	39
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	0	2	0	16
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	71	306	29	112	0	36	38
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	224	6	0	305	555	52	40
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	80	184	48	159	10	18	3
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	120	272	63	130	14	46	64
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	174	218	89	106	15	50	2
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	20	214	163	50	19	20	0
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	107	98	74	97	15	10	4
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	174	405	240	0	1054	18	5
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	97	54	146	131	35	28	0
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	66	151	48	98	9	4	10
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	343	600	118	44	905	110	0
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	6600	0	850	0	0	301	0
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	23	90	0	321	105	22	38
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	60	233	0	394	774	67	6
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	27	348	115	182	53	17	0
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	19	95	127	32	36	23	45
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	0	13	62	8	5	1	5
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	182	327	238	39	37	17	0
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	120	416	126	281	70	80	29
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	116	196	13	138	20	36	8
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	34	175	116	57	9	35	0
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	38	227	39	108	16	17	21
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	72	263	132	105	32	33	0
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	78	215	38	80	32	51	36
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	66	178	18	111	5	18	5
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	86	178	112	59	11	29	4
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	0	122	139	128	17	3	11
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	393	242	52	106	25	45	59
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	30	68	102	34	10	9	5
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	57	246	35	120	18	18	9
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	215	301	0	128	16	44	9
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	41	231	51	56	22	63	42
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	68	273	144	59	29	24	11
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	29	46	0	228	75	1	0
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	320	648	368	0	31	44	55
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	91	163	105	74	10	38	14
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	82	179	3	116	6	38	9
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	245	97	161	80	13	26	12
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	209	381	74	99	12	62	13
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	307	434	6	423	42	117	105
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	17	91	119	71	12	12	0
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	115	254	72	180	50	69	4
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	48	132	17	77	16	18	0
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	9	46	100	79	28	30	6
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	58	147	41	78	17	19	52
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	26	220	38	132	3	55	6
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	138	374	139	94	22	52	3
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	8313	9280	0	59	1249	2813	320
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	0	223	0	0	0	5246	0
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	35	123	47	55	15	31	5
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	127	80	105	78	31	11	43
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	943	254	55	0	1192	43	11
