Samples	ID83A	ID83B	ID83C	ID83D
V1	0	0	244	0
V2	391	559	15	0
V3	58	37	94	45
V4	1	18	1	0
V5	48	68	16	0
V6	201	92	6	0
V7	157	109	27	101
V8	200	13	216	15
V9	0	287	0	209
V10	65	28	9	229
V11	35	114	15	0
V12	21	1	46	0
V13	122	76	45	33
V14	94	5	64	5
V15	61	55	16	0
V16	0	14	3	304
V17	56	2	105	9
V18	185	0	1	16
V19	6	1	0	0
V20	1	28	159	13
V21	49	52	149	61
V22	0	5	41	44
V23	114	222	57	64
V24	25	12	7	145
V25	16	119	21	2
V26	127	22	18	153
V27	30	285	0	0
V28	37	22	14	22
V29	0	3	40	114
V30	50	18	0	55
V31	0	4	104	93
V32	0	346	10	0
V33	25	26	10	33
V34	83	9	50	0
V35	33	1	0	32
V36	82	13	113	11
V37	12	101	114	27
V38	35	231	6	6
V39	49	22	116	26
V40	0	2	53	37
V41	0	54	0	205
V42	8	195	43	53
V43	32	32	33	0
V44	158	26	0	20
V45	19	52	55	16
V46	83	132	18	42
V47	14	287	51	0
V48	0	408	0	164
V49	238	100	244	0
V50	1	93	81	46
V51	73	34	40	29
V52	101	0	38	57
V53	82	63	45	35
V54	0	277	240	0
V55	45	18	59	0
V56	125	31	0	5
V57	20	8	23	135
V58	0	158	391	0
V59	0	55	169	132
V60	49	31	6	9
V61	297	7	134	32
V62	55	0	14	30
V63	346	17	34	133
V64	98	115	20	76
V65	25	97	0	27
V66	14	35	10	27
V67	313	4	68	31
V68	6	53	60	0
V69	0	73	11	91
V70	0	76	131	73
V71	127	21	11	85
V72	37	0	4	2
V73	0	163	0	208
V74	53	18	0	7
V75	103	119	1	0
V76	0	55	162	79
V77	0	48	6	162
V78	70	66	6	11
V79	28	97	5	0
V80	234	63	29	25
V81	83	22	139	11
V82	42	349	106	0
V83	0	5	8	30
V84	122	0	56	28
V85	54	3	4	0
V86	171	77	14	0
V87	213	21	0	7
V88	61	1	428	81
V89	0	16	184	4
V90	314	0	0	34
V91	37	171	89	109
V92	236	65	82	0
V93	555	9	108	3
V94	0	27	149	4
V95	320	8	19	34
V96	232	10	1	283
V97	97	24	141	27
V98	60	19	52	15
V99	169	30	38	44
V100	62	65	0	0
