Samples	ID83A	ID83B	ID83C	ID83D
V1	1.63E+00	3.63E+00	1.48E+00	2.42E+00
V2	7.86E-01	8.06E-01	1.36E+00	8.49E-01
V3	0.00E+00	1.78E+00	2.88E+00	2.53E+00
V4	6.89E+00	5.62E-01	7.28E+00	7.76E+00
V5	2.64E+00	6.32E-01	2.10E+00	0.00E+00
V6	1.29E+00	9.55E-01	1.07E+00	1.10E+00
V7	3.66E+00	4.45E+00	2.84E+00	3.13E+00
V8	8.14E-01	2.65E+00	2.81E+00	7.27E-01
V9	2.49E+00	1.09E+00	2.27E+00	1.40E+00
V10	5.26E+00	5.12E+00	2.77E+00	0.00E+00
V11	4.83E+00	5.07E+00	5.63E-01	2.47E+00
V12	1.17E+01	3.33E+00	7.57E+00	1.07E+01
V13	8.21E+00	3.20E+00	5.43E+00	5.33E+00
V14	2.96E+00	7.31E-01	1.31E+00	2.51E+00
V15	1.90E+01	1.31E+00	8.57E-01	1.84E+01
V16	6.78E+00	3.49E+00	6.23E-01	5.17E+00
V17	1.26E+01	5.11E+00	4.42E-01	8.88E+00
V18	1.00E+01	6.93E+00	1.35E+00	5.61E+00
V19	7.68E+00	1.10E+00	2.53E+00	8.57E+00
V20	8.06E+00	4.29E+00	2.46E+00	3.88E+00
V21	5.29E+00	2.03E+00	0.00E+00	5.05E+00
V22	1.57E+00	1.08E+00	2.31E+00	2.06E+00
V23	1.72E+01	3.08E+00	2.07E+00	1.61E+01
V24	1.50E+01	4.43E+00	3.52E+00	1.14E+01
V25	9.31E+00	1.63E+00	3.12E+00	1.04E+01
V26	9.89E+00	1.86E+00	8.84E-01	9.79E+00
V27	1.43E+00	1.14E+00	2.38E+00	2.00E+00
V28	3.50E+01	3.39E+00	2.11E-01	3.31E+01
V29	9.99E+00	4.46E+00	3.65E-01	6.10E+00
V30	0.00E+00	1.19E+00	3.19E+00	3.80E+00
V31	7.05E+00	4.97E+00	2.03E+00	3.46E+00
V32	2.84E+00	9.91E-01	7.27E-01	2.82E+00
V33	8.63E+00	3.59E-01	0.00E+00	8.70E+00
V34	5.97E+00	1.19E+00	1.83E+00	5.74E+00
V35	6.49E+00	1.88E+00	0.00E+00	6.38E+00
V36	1.60E+00	0.00E+00	1.74E+00	1.99E+00
V37	9.98E+00	3.63E+00	7.66E+00	4.66E+00
V38	2.44E+00	2.53E+00	1.09E+00	1.18E+00
V39	2.28E+00	4.53E-01	3.14E-01	2.18E+00
V40	2.65E+00	1.78E+00	1.17E+00	3.67E-01
V41	2.31E+00	2.47E+00	1.41E+00	0.00E+00
V42	1.68E+00	1.34E+00	8.06E-01	1.51E+00
V43	4.82E+00	5.47E-01	0.00E+00	4.53E+00
V44	3.19E+00	7.45E-01	3.08E+00	0.00E+00
V45	2.88E+00	2.50E+00	1.23E+00	1.14E+00
V46	2.80E+00	5.81E-01	1.48E+00	1.55E+00
V47	0.00E+00	2.67E-01	1.94E+00	1.96E+00
V48	1.52E+01	4.44E+00	5.43E-01	1.29E+01
V49	3.83E+00	3.14E+00	8.72E-01	5.65E+00
V50	2.01E+00	2.75E+00	1.96E+00	0.00E+00
V51	5.03E+00	2.35E+00	1.37E+00	3.99E+00
V52	2.34E+00	2.72E+00	1.48E+00	0.00E+00
V53	2.09E+00	4.96E-01	8.54E-01	1.96E+00
V54	5.31E+00	1.04E+00	7.52E-01	5.81E+00
V55	1.43E+01	0.00E+00	2.49E-01	1.41E+01
V56	4.90E+00	0.00E+00	1.51E+00	4.30E+00
V57	3.05E+00	3.58E+00	4.30E+00	1.46E+00
V58	8.49E-01	1.65E+00	3.59E-01	1.41E+00
V59	1.05E+01	2.55E+00	5.97E-01	1.13E+01
V60	2.00E+01	7.77E-01	2.17E+00	2.04E+01
V61	3.26E+00	2.60E+00	2.17E+00	1.00E+00
V62	2.97E+00	1.21E+00	7.06E-01	2.23E+00
V63	6.96E+00	7.27E-01	2.63E+00	5.26E+00
V64	8.90E+00	9.96E+00	1.53E-01	2.01E+00
V65	4.81E+00	2.25E+00	2.33E+00	3.90E+00
V66	7.15E+00	2.83E+00	5.33E-01	4.87E+00
V67	5.00E+00	3.34E+00	1.03E+00	2.78E+00
V68	4.40E+00	5.19E+00	4.00E-01	2.07E+00
V69	7.50E+00	1.65E+00	1.52E+00	6.04E+00
V70	4.23E-01	4.23E-01	0.00E+00	0.00E+00
V71	1.70E+00	9.19E-01	5.39E-01	1.47E+00
V72	4.76E+00	2.77E-01	1.60E+00	5.78E+00
V73	6.86E+00	3.33E+00	6.53E-01	5.87E+00
V74	1.87E+00	6.16E-01	7.27E-01	2.17E+00
V75	5.61E+00	1.63E+00	6.18E-01	5.00E+00
V76	6.53E+00	9.68E-01	3.47E+00	3.40E+00
V77	7.90E-01	2.06E+00	1.33E+00	1.18E+00
V78	1.67E+00	1.16E+00	1.27E+00	2.03E+00
V79	5.75E+00	1.96E+00	3.29E+00	2.38E+00
V80	3.55E+00	2.91E-01	1.75E+00	2.56E+00
V81	2.94E+00	2.41E+00	0.00E+00	2.04E+00
V82	6.48E+00	3.11E+00	4.35E+00	2.19E+00
V83	5.67E-01	1.18E+00	1.50E+00	6.23E-01
V84	5.10E+00	5.10E+00	0.00E+00	0.00E+00
V85	8.36E+00	9.67E-01	0.00E+00	8.61E+00
V86	1.27E+01	1.86E+00	2.89E+00	1.08E+01
V87	3.20E+00	3.13E+00	1.95E+00	1.22E+00
V88	1.63E+00	5.12E-01	1.36E+00	7.72E-01
V89	1.27E+00	3.35E-01	1.81E+00	2.10E+00
V90	4.84E+00	5.34E+00	1.74E+00	6.64E+00
V91	1.24E+01	8.17E+00	1.43E+00	8.53E+00
V92	7.61E-01	2.20E+00	1.62E+00	1.05E+00
V93	2.86E+01	3.58E+00	2.24E+00	2.61E+01
V94	3.94E+00	7.90E-01	3.32E+00	1.44E+00
V95	2.59E+01	2.22E+00	3.45E+00	2.53E+01
V96	2.95E+01	1.40E+01	1.20E+00	1.82E+01
V97	5.24E+00	5.59E-01	2.21E+00	5.73E+00
V98	3.80E+00	8.72E-01	3.78E+00	6.23E-01
V99	1.35E+00	8.27E-01	9.87E-01	0.00E+00
V100	2.07E+00	2.49E-01	7.61E-01	2.22E+00
