Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	203	2	6	43	0	1	15	0	2	83	6	0	23	20
V2	87	666	199	3	8	50	40	2	12	0	104	24	50	0
V3	45	14	22	0	0	44	0	0	39	12	0	2	3	0
V4	85	23	4	31	58	23	3	0	59	25	0	15	13	0
V5	20	35	48	2	1	2	12	0	4	2	15	1	27	0
V6	24	5	22	79	20	21	84	50	17	0	18	76	17	23
V7	4	5	2	35	0	0	44	0	0	0	25	3	0	0
V8	2	67	47	12	93	24	37	3	29	6	45	46	3	3
V9	5	2	1	124	0	2	0	0	0	5	0	1	0	0
V10	15	9	0	20	49	1	39	8	0	0	4	22	11	0
V11	84	39	30	7	75	5	0	64	3	17	0	0	1	0
V12	87	0	1	0	0	7	1	0	18	0	0	0	0	0
V13	7	55	9	6	154	32	5	157	29	0	46	21	0	0
V14	76	7	5	39	23	3	173	0	0	0	58	87	30	0
V15	102	32	30	3	72	26	7	10	51	0	27	0	2	2
V16	188	27	15	23	5	10	2	6	6	0	2	2	6	0
V17	0	79	256	0	6	5	7	3	0	3	0	20	0	0
V18	45	9	5	4	72	36	8	15	60	0	5	15	0	0
V19	10	0	2	63	17	0	0	14	0	53	0	2	1	38
V20	192	0	1	2	0	1	0	0	0	103	0	4	0	14
V21	92	59	30	88	18	7	9	32	2	0	0	2	1	0
V22	35	54	15	28	4	7	34	40	0	0	12	10	12	0
V23	602	204	132	7	0	32	0	2	41	214	0	17	42	0
V24	8	174	79	2	24	10	44	0	13	25	0	4	12	0
V25	4	36	67	154	32	51	9	20	63	0	0	6	0	18
V26	14	13	7	8	126	5	10	0	11	0	7	0	0	27
V27	131	11	2	0	6	25	11	12	10	0	19	23	31	32
V28	102	11	2	21	41	18	0	13	3	34	0	9	26	18
V29	30	9	28	0	33	1	103	23	4	40	28	18	22	19
V30	4	20	57	7	11	245	34	6	159	0	72	0	12	0
V31	14	17	51	225	9	7	0	27	0	0	1	0	2	15
V32	100	9	3	0	46	52	2	57	22	0	0	10	0	0
V33	25	38	38	62	27	85	14	51	131	19	0	0	6	0
V34	0	1	8	43	0	9	0	0	3	0	0	0	0	3
V35	4	38	86	233	0	59	66	7	25	0	12	31	5	0
V36	10	122	186	79	18	0	59	0	0	0	22	120	16	0
V37	66	36	12	1	18	17	6	4	12	19	0	1	0	0
V38	229	6	8	174	23	0	3	14	2	0	0	0	14	24
V39	65	4	0	9	11	150	16	3	38	0	10	6	18	2
V40	0	0	0	7	0	4	2	4	2	0	2	2	0	0
V41	21	1	9	20	1	10	0	0	3	0	0	15	19	0
V42	0	31	15	5	41	0	21	63	2	0	0	7	7	0
