Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V56	1.23E+00	4.07E-01	6.33E-01	2.49E+00	2.09E+00	2.98E+00	2.20E+00	2.05E+00	1.91E+00	1.42E+00	1.21E+00	6.11E-01
V57	1.58E+00	0.00E+00	5.36E+00	1.23E+00	1.78E+00	4.56E+00	4.53E+00	4.71E+00	3.07E+00	1.44E+00	3.71E+00	9.00E-01
V58	5.97E-01	1.41E+00	1.01E+00	2.79E+00	3.24E+00	4.52E-01	5.17E-01	1.00E+00	1.30E+00	1.67E+00	1.82E+00	3.00E-01
V59	6.82E+00	1.98E+01	8.50E+00	3.49E+00	7.04E+00	3.48E-01	0.00E+00	8.36E+00	7.78E+00	5.59E+00	5.31E+00	2.34E+01
V60	8.79E-01	1.52E+00	2.57E+00	1.85E+00	5.70E+00	0.00E+00	0.00E+00	3.14E+00	4.43E+00	5.16E+00	6.34E+00	2.10E+00
V61	4.15E+00	3.59E+00	0.00E+00	1.53E+00	2.49E+00	0.00E+00	0.00E+00	6.00E-01	3.48E+00	4.38E+00	2.79E+00	4.09E+00
V62	1.22E+00	3.79E+00	2.92E+01	2.24E+00	6.53E-01	4.20E+00	3.67E+00	3.07E+01	1.31E+00	8.85E-01	6.96E-01	5.16E+00
V63	6.90E-01	7.04E+00	4.67E-01	5.26E+00	2.16E+00	2.49E-01	6.57E-01	3.40E+00	1.97E+00	2.79E+00	1.27E+00	8.38E+00
V64	0.00E+00	7.95E-01	7.63E-01	1.34E+00	7.90E-01	0.00E+00	2.13E-01	6.05E-01	1.21E+00	1.63E+00	1.04E+00	6.40E-01
V65	0.00E+00	4.76E+00	1.35E+01	3.21E+00	2.63E+00	0.00E+00	0.00E+00	1.26E+01	0.00E+00	1.43E+00	7.52E-01	5.47E+00
V66	3.88E+00	3.15E+00	2.67E+00	1.08E+00	4.29E+00	4.27E-01	0.00E+00	2.15E+00	4.07E+00	1.11E+01	7.62E+00	3.77E+00
V67	1.84E+00	4.47E+00	6.44E+00	1.64E+00	2.02E+00	5.56E+00	4.33E+00	5.65E+00	2.35E+00	3.30E+00	4.45E+00	5.42E+00
V68	8.13E+00	2.89E+01	9.07E-01	7.28E+00	4.22E+00	1.60E+01	1.39E+01	5.10E+00	1.17E+01	9.44E+00	2.21E-01	3.59E+01
V69	4.88E+00	1.33E-01	1.80E+00	2.97E+00	2.73E+00	9.66E+00	7.35E+00	0.00E+00	6.50E+00	1.13E+00	1.33E-01	1.20E+00
V70	2.96E+00	3.25E+00	0.00E+00	2.75E+00	1.35E+00	3.71E+00	3.08E+00	1.50E+00	2.67E+00	9.21E-01	1.18E+00	4.24E+00
V71	5.58E-01	5.42E-01	8.54E-01	1.89E+00	1.38E+00	1.21E+00	2.33E+00	7.46E-01	1.58E+00	4.01E-01	1.35E+00	1.10E+00
V72	1.23E+01	4.94E-01	2.77E-01	9.83E-01	3.20E+00	0.00E+00	0.00E+00	3.68E+00	1.06E+01	2.15E+00	5.21E+00	9.77E+00
V73	2.20E+00	1.92E+00	0.00E+00	0.00E+00	4.52E-01	0.00E+00	4.00E-01	0.00E+00	1.11E+00	6.96E-01	4.07E-01	2.15E+00
V74	2.31E+00	1.13E+00	2.13E+00	1.12E+01	4.17E+00	1.18E+00	0.00E+00	9.56E+00	3.34E+00	1.69E+00	3.49E+00	9.00E-01
V75	3.73E+00	6.99E-01	1.25E+00	2.32E+00	1.08E+00	4.72E+00	1.41E+01	2.31E+00	1.37E+01	7.31E-01	1.07E+00	1.20E+00
V76	1.97E+00	3.48E-01	1.63E+01	0.00E+00	1.46E+00	1.38E+01	1.53E+01	1.51E+01	1.64E+00	0.00E+00	1.74E+00	0.00E+00
V77	4.73E-01	9.71E+00	5.04E-01	7.31E-01	1.07E+00	7.61E-01	1.91E+00	5.39E-01	2.37E+00	3.30E+00	2.38E+00	1.26E+01
V78	3.27E-01	4.48E+00	1.65E+00	8.88E-01	5.19E+00	1.14E+00	1.49E+00	2.00E-01	4.12E+00	4.01E+00	6.87E+00	4.71E+00
