MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	1.40E-04	1.58E-04	7.78E-03	1.10E-03	1.42E-02	1.45E-04	4.47E-03
1:Del:C:1	6.69E-05	2.67E-04	3.40E-03	8.14E-04	7.10E-03	9.18E-05	3.49E-03
1:Del:C:2	1.23E-04	3.26E-04	1.55E-03	3.25E-04	3.56E-03	1.45E-04	2.14E-03
1:Del:C:3	1.39E-04	1.33E-04	1.43E-03	2.63E-04	1.84E-03	2.17E-09	1.66E-03
1:Del:C:4	4.09E-04	1.27E-04	7.98E-04	2.59E-04	3.40E-03	1.91E-09	1.09E-03
1:Del:C:5	6.86E-04	1.46E-04	2.61E-04	3.46E-04	5.15E-03	9.12E-05	2.71E-03
1:Del:T:0	2.75E-04	3.36E-04	2.74E-03	1.13E-03	6.65E-03	1.04E-04	2.79E-03
1:Del:T:1	3.12E-04	4.10E-04	2.11E-03	6.90E-04	3.73E-03	1.02E-04	9.11E-04
1:Del:T:2	4.55E-04	2.65E-04	2.18E-03	6.87E-04	4.29E-03	8.13E-05	3.39E-03
1:Del:T:3	2.52E-03	6.78E-04	2.84E-03	1.01E-03	9.64E-03	7.80E-05	2.60E-03
1:Del:T:4	4.53E-03	3.91E-04	1.52E-03	1.37E-03	2.85E-02	1.96E-04	4.04E-03
1:Del:T:5	8.54E-03	4.60E-03	5.88E-03	3.70E-03	4.03E-02	3.91E-04	5.33E-07
1:Ins:C:0	1.93E-03	3.69E-35	2.51E-03	8.35E-04	5.72E-03	1.95E-03	4.05E-03
1:Ins:C:1	2.94E-04	1.93E-04	0.00E+00	2.96E-04	1.29E-03	9.91E-04	6.35E-04
1:Ins:C:2	1.51E-04	1.57E-04	1.83E-04	7.63E-05	4.08E-05	6.70E-04	6.94E-04
1:Ins:C:3	5.20E-05	1.03E-04	8.73E-05	1.18E-05	1.96E-04	2.70E-04	2.95E-04
1:Ins:C:4	3.23E-05	5.11E-05	6.64E-06	3.71E-05	0.00E+00	2.95E-04	2.25E-04
1:Ins:C:5	4.44E-05	6.07E-05	6.18E-05	0.00E+00	8.45E-05	7.19E-05	2.66E-04
1:Ins:T:0	2.33E-03	3.15E-03	7.50E-03	3.58E-03	1.76E-02	1.71E-03	1.41E-02
1:Ins:T:1	1.53E-03	1.94E-03	4.48E-03	1.04E-03	6.81E-03	1.41E-03	1.01E-02
1:Ins:T:2	4.76E-04	8.56E-04	1.85E-03	1.40E-46	3.45E-03	6.36E-04	3.94E-03
1:Ins:T:3	2.70E-04	4.62E-04	1.03E-03	3.10E-04	1.54E-03	5.27E-04	2.78E-03
1:Ins:T:4	2.79E-04	3.91E-04	4.46E-04	2.66E-04	1.30E-03	4.92E-04	6.57E-05
1:Ins:T:5	2.42E-04	4.15E-04	7.33E-04	2.48E-04	5.86E-04	2.33E-04	2.54E-03
2:Del:R:0	1.08E-04	2.48E-04	1.49E-03	7.32E-04	2.73E-03	2.74E-09	1.55E-03
2:Del:R:1	2.16E-04	2.45E-04	2.80E-03	6.54E-04	5.91E-03	1.39E-04	1.93E-03
2:Del:R:2	1.09E-04	1.19E-04	1.26E-03	1.28E-04	1.99E-03	3.46E-05	9.16E-04
2:Del:R:3	1.27E-04	3.47E-05	3.44E-04	9.10E-05	6.24E-04	2.20E-09	8.35E-04
2:Del:R:4	4.35E-05	7.10E-06	2.07E-04	3.13E-05	4.53E-05	1.96E-09	7.98E-04
2:Del:R:5	2.27E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.73E-09	5.89E-03
3:Del:R:0	3.58E-05	1.40E-04	1.28E-03	5.11E-04	8.22E-04	4.63E-05	2.64E-04
