MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	2.71E-07	5.44E-31	1.33E-03	2.93E-02	3.23E-06	4.62E-04	4.33E-02	8.78E-03	2.38E-02	9.82E-03	4.98E-02	3.41E-07	5.13E-02
1:Del:C:1	1.23E-03	5.46E-04	4.20E-46	9.68E-03	1.98E-04	2.79E-03	3.40E-02	1.77E-02	3.90E-02	3.97E-02	3.12E-02	1.58E-02	1.01E-02
1:Del:C:2	2.00E-04	2.21E-04	1.06E-08	1.49E-03	1.07E-08	7.61E-04	2.60E-03	7.02E-04	6.74E-04	2.74E-03	2.26E-04	0.00E+00	1.12E-03
1:Del:C:3	3.14E-04	4.80E-04	5.51E-04	2.42E-03	6.17E-04	1.68E-03	6.20E-03	1.41E-03	3.06E-03	6.95E-03	5.08E-03	6.19E-03	4.94E-03
1:Del:C:4	6.68E-05	5.26E-04	2.75E-04	2.76E-03	0.00E+00	0.00E+00	1.82E-03	9.89E-04	3.74E-03	5.06E-03	2.10E-03	7.37E-03	1.86E-03
1:Del:C:5	3.91E-04	1.09E-03	2.99E-03	1.32E-03	3.26E-04	6.49E-04	7.03E-03	3.07E-03	7.13E-04	4.63E-03	3.51E-03	6.52E-03	6.71E-03
1:Del:T:0	0.00E+00	1.40E-46	0.00E+00	1.83E-02	2.03E-03	5.21E-03	6.66E-03	7.54E-03	3.99E-02	2.20E-02	1.58E-02	3.31E-03	1.97E-02
1:Del:T:1	1.03E-04	8.64E-06	2.62E-04	5.65E-03	4.72E-04	3.18E-03	1.59E-02	2.59E-03	1.09E-02	8.93E-03	1.27E-02	2.23E-03	5.03E-03
1:Del:T:2	8.06E-04	5.18E-04	0.00E+00	1.11E-02	1.78E-03	1.40E-46	2.21E-02	0.00E+00	1.28E-02	1.88E-02	1.18E-02	6.97E-03	1.68E-02
1:Del:T:3	7.25E-04	1.24E-03	6.34E-04	1.50E-02	3.91E-03	2.87E-03	6.99E-46	1.87E-46	3.44E-02	8.09E-02	3.41E-02	1.40E-46	2.77E-02
1:Del:T:4	6.25E-04	4.00E-03	1.32E-04	1.10E-06	4.50E-03	7.20E-04	1.67E-02	1.40E-46	1.14E-03	1.45E-02	8.70E-02	2.83E-09	2.84E-03
1:Del:T:5	2.72E-08	6.36E-03	6.02E-08	1.32E-28	3.14E-02	3.03E-37	5.99E-03	8.29E-03	2.65E-02	8.26E-02	1.74E-07	4.60E-02	5.20E-02
1:Ins:C:0	9.86E-07	2.85E-08	2.38E-05	0.00E+00	1.83E-04	8.19E-04	1.24E-03	1.05E-03	4.63E-08	9.70E-07	8.67E-08	1.22E-04	3.67E-04
1:Ins:C:1	6.87E-05	1.38E-08	0.00E+00	0.00E+00	2.86E-05	5.65E-04	5.71E-04	6.85E-04	3.32E-07	4.25E-08	9.76E-08	2.60E-05	8.86E-04
1:Ins:C:2	4.05E-08	3.47E-05	3.56E-04	0.00E+00	0.00E+00	7.30E-04	7.23E-04	9.69E-04	4.78E-04	7.89E-04	3.51E-08	1.50E-07	3.37E-04
1:Ins:C:3	1.66E-04	7.81E-04	8.97E-08	2.12E-07	2.63E-02	9.22E-05	3.39E-07	8.29E-07	2.00E-06	8.98E-08	4.50E-04	6.43E-02	4.79E-06
1:Ins:C:4	9.23E-04	2.03E-07	3.95E-08	3.75E-07	4.82E-02	1.05E-06	1.90E-03	2.84E-06	1.91E-07	7.97E-08	2.36E-04	4.24E-02	2.44E-03
1:Ins:C:5	3.07E-03	7.97E-04	1.20E-08	1.50E-04	3.03E-08	8.25E-04	4.19E-04	0.00E+00	0.00E+00	2.20E-02	2.63E-05	4.56E-03	3.65E-02
1:Ins:T:0	5.26E-04	3.25E-04	1.39E-04	2.41E-03	3.28E-04	1.43E-03	3.15E-03	2.93E-03	2.61E-03	4.83E-03	1.96E-03	3.27E-03	6.30E-03
1:Ins:T:1	1.75E-04	3.90E-04	0.00E+00	7.86E-04	2.73E-04	1.08E-03	4.39E-03	1.98E-03	1.89E-03	3.10E-03	1.67E-03	1.66E-13	6.52E-03
1:Ins:T:2	3.72E-08	3.20E-05	4.87E-08	5.95E-04	6.32E-04	0.00E+00	4.38E-04	1.09E-03	9.77E-04	1.04E-04	3.79E-04	4.55E-04	6.79E-04
1:Ins:T:3	3.40E-04	2.26E-04	1.85E-04	4.05E-04	0.00E+00	8.65E-04	1.49E-03	1.36E-03	4.52E-04	3.66E-03	0.00E+00	2.75E-03	6.03E-03
1:Ins:T:4	1.90E-03	6.50E-04	0.00E+00	9.74E-04	5.94E-04	4.14E-04	8.15E-04	0.00E+00	1.65E-03	2.22E-03	8.28E-04	0.00E+00	1.44E-02
1:Ins:T:5	5.45E-03	2.55E-07	7.38E-08	5.96E-07	1.32E-03	1.23E-03	1.57E-02	1.31E-02	4.26E-03	9.17E-07	4.05E-03	2.56E-03	1.04E-01
2:Del:R:0	5.28E-04	0.00E+00	8.88E-04	2.78E-03	0.00E+00	9.88E-04	1.81E-03	2.82E-03	5.20E-03	1.27E-03	3.12E-03	2.47E-03	9.16E-04
2:Del:R:1	3.78E-04	5.52E-04	0.00E+00	2.30E-04	0.00E+00	3.11E-03	5.95E-03	4.84E-03	2.13E-03	2.90E-03	3.02E-04	4.39E-03	9.90E-03
2:Del:R:2	9.91E-06	5.98E-04	3.84E-08	0.00E+00	1.14E-04	2.62E-04	1.32E-03	4.01E-04	1.46E-03	1.40E-03	7.67E-04	2.34E-04	1.73E-03
2:Del:R:3	6.22E-08	1.54E-04	1.47E-04	0.00E+00	6.57E-05	6.50E-05	2.90E-06	0.00E+00	1.56E-04	2.20E-03	0.00E+00	8.80E-04	2.92E-03
2:Del:R:4	0.00E+00	9.49E-05	3.49E-05	7.44E-05	1.26E-09	1.30E-04	2.17E-05	2.82E-04	6.55E-04	1.67E-03	2.84E-08	8.43E-04	5.94E-04
2:Del:R:5	2.09E-08	9.31E-05	1.32E-04	5.74E-05	1.06E-08	1.41E-07	1.14E-08	1.12E-04	2.59E-08	4.16E-04	2.85E-04	2.91E-04	6.34E-08
3:Del:R:0	0.00E+00	3.81E-04	2.02E-04	1.02E-03	0.00E+00	2.70E-03	2.12E-03	2.22E-03	2.07E-03	1.85E-03	7.97E-04	1.43E-03	1.10E-02
3:Del:R:1	4.59E-04	1.39E-03	1.38E-02	2.88E-04	7.89E-04	4.83E-04	1.94E-02	8.00E-03	2.45E-08	1.49E-02	1.64E-03	7.92E-02	1.96E-02
3:Del:R:2	0.00E+00	1.69E-04	1.87E-04	2.14E-04	4.74E-04	2.94E-04	1.88E-03	6.76E-04	1.24E-04	2.36E-03	4.98E-04	2.66E-03	1.58E-03
3:Del:R:3	5.91E-09	1.92E-04	4.37E-08	8.41E-05	4.83E-09	2.32E-08	1.75E-04	6.62E-05	1.25E-04	2.81E-04	3.14E-04	3.22E-08	5.15E-05
3:Del:R:4	1.20E-08	2.11E-08	1.51E-08	2.75E-08	4.05E-08	3.99E-08	5.84E-08	1.45E-07	7.50E-08	1.31E-07	5.54E-08	1.08E-07	1.41E-07
3:Del:R:5	1.20E-08	2.11E-08	1.51E-08	2.75E-08	4.05E-08	3.99E-08	5.84E-08	1.45E-07	7.50E-08	1.31E-07	5.54E-08	1.08E-07	1.41E-07
4:Del:R:0	6.39E-05	0.00E+00	1.70E-04	0.00E+00	1.96E-04	1.23E-03	5.03E-03	2.00E-03	5.38E-04	1.45E-03	1.30E-03	1.39E-03	6.72E-03
4:Del:R:1	4.26E-04	4.75E-04	5.53E-04	3.55E-04	3.57E-05	4.13E-04	2.09E-03	2.49E-04	1.02E-03	3.61E-03	1.01E-03	1.02E-03	6.65E-03
4:Del:R:2	2.03E-08	6.05E-05	7.86E-05	2.10E-05	3.26E-05	1.06E-04	5.24E-05	2.04E-04	7.92E-04	8.32E-04	2.24E-08	7.08E-04	9.73E-04
4:Del:R:3	4.27E-08	6.55E-08	6.83E-08	2.93E-05	2.48E-08	5.06E-08	6.15E-05	6.98E-08	9.04E-08	1.04E-04	1.25E-04	1.12E-07	1.21E-07
4:Del:R:4	1.20E-08	2.11E-08	1.51E-08	2.75E-08	4.05E-08	3.99E-08	5.84E-08	1.45E-07	7.50E-08	1.31E-07	5.54E-08	1.08E-07	1.41E-07
4:Del:R:5	1.39E-07	3.47E-04	1.36E-02	4.06E-08	4.65E-04	4.15E-08	6.83E-02	6.70E-03	1.26E-02	3.77E-02	5.65E-08	3.65E-03	4.16E-07
5:Del:R:0	1.78E-07	6.61E-08	6.60E-04	2.41E-04	4.01E-08	3.43E-02	4.83E-02	2.21E-02	2.83E-08	1.42E-05	1.62E-07	9.11E-08	1.14E-06
5:Del:R:1	0.00E+00	2.32E-04	1.07E-04	1.44E-04	0.00E+00	4.14E-04	5.87E-04	2.45E-03	2.31E-03	3.35E-03	5.32E-04	3.06E-03	1.03E-03
5:Del:R:2	1.50E-08	3.17E-04	4.54E-08	0.00E+00	9.00E-08	1.78E-08	6.19E-08	2.59E-04	3.74E-04	9.18E-04	4.02E-05	0.00E+00	1.80E-04
5:Del:R:3	3.40E-05	3.49E-05	5.31E-04	9.61E-05	7.10E-08	1.20E-08	1.13E-03	0.00E+00	0.00E+00	2.24E-05	2.11E-04	6.03E-08	1.08E-04
5:Del:R:4	7.58E-06	2.57E-09	2.39E-08	2.50E-05	3.53E-04	2.94E-08	2.83E-04	2.84E-07	0.00E+00	1.77E-04	8.07E-05	4.61E-04	1.12E-03
5:Del:R:5	1.20E-08	2.11E-08	1.51E-08	2.75E-08	4.05E-08	3.99E-08	5.84E-08	1.45E-07	7.50E-08	1.31E-07	5.54E-08	1.08E-07	1.41E-07
