NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	62.397	23.29	16.258	14.796	0.141	0.983	20000.0
2	74.387	27.203	21.256	18.471	0.151	0.975	30000.0
3	63.671	23.687	16.557	14.395	0.142	0.987	30000.0
4	69.534	25.73	18.845	16.731	0.154	0.98	30000.0
5	68.866	25.344	18.708	16.235	0.149	0.982	40000.0
6	71.187	26.372	20.401	17.698	0.147	0.978	30000.0
7	67.511	25.128	18.012	15.971	0.147	0.982	30000.0
8	74.499	27.486	21.381	18.662	0.156	0.975	30000.0
9	76.399	27.679	22.339	18.541	0.148	0.978	20000.0
10	70.556	25.641	19.761	16.185	0.144	0.984	40000.0
