NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	34.427	14.634	8.248	8.656	0.083	0.995	40000.0
2	40.688	17.834	10.312	11.065	0.091	0.992	40000.0
3	38.258	16.66	9.599	10.453	0.088	0.992	60000.0
4	35.571	15.524	8.48	9.276	0.088	0.993	40000.0
5	35.127	15.062	8.651	8.996	0.086	0.994	30000.0
6	40.25	17.598	10.166	10.753	0.091	0.992	30000.0
7	39.88	17.358	9.933	10.44	0.09	0.993	30000.0
8	38.65	16.845	9.492	10.351	0.095	0.992	40000.0
9	36.439	15.326	8.807	9.02	0.086	0.994	60000.0
10	37.394	16.226	9.445	10.165	0.09	0.992	30000.0
