MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
5:Del:R:2	1.17E-05	2.66E-05	1.73E-04	1.49E-04	1.40E-04	6.16E-05	4.67E-04	7.37E-04	5.78E-04	1.13E-07	9.17E-04	3.39E-04
5:Del:R:3	5.29E-05	3.44E-08	1.29E-07	4.47E-04	5.97E-05	3.41E-04	2.38E-08	3.60E-07	2.18E-04	2.68E-08	1.01E-03	4.02E-08
5:Del:R:4	1.09E-04	8.40E-09	4.81E-04	0.00E+00	2.63E-04	3.05E-08	1.20E-04	0.00E+00	4.75E-04	4.35E-08	3.04E-05	6.02E-04
5:Del:R:5	2.88E-09	8.00E-08	3.43E-08	2.67E-08	3.98E-08	1.10E-07	4.01E-08	5.45E-08	7.52E-08	1.06E-07	2.48E-07	1.54E-07
2:Ins:R:0	1.23E-04	4.72E-04	0.00E+00	0.00E+00	9.73E-04	1.42E-03	2.36E-03	1.08E-03	1.25E-03	0.00E+00	1.51E-03	1.47E-03
2:Ins:R:1	1.07E-04	6.40E-04	2.27E-02	9.01E-04	2.64E-03	1.09E-03	4.09E-03	1.02E-04	4.26E-02	4.45E-04	3.83E-03	4.75E-03
2:Ins:R:2	7.82E-05	9.03E-05	1.16E-08	1.94E-04	2.20E-04	6.71E-04	2.76E-04	2.19E-04	1.16E-04	7.82E-08	4.06E-04	1.77E-04
2:Ins:R:3	7.14E-09	2.82E-04	8.81E-05	1.73E-07	8.20E-05	7.56E-04	6.14E-05	3.77E-04	1.96E-04	9.68E-05	2.56E-04	1.08E-03
2:Ins:R:4	1.41E-07	1.42E-03	4.63E-08	1.64E-04	1.23E-05	1.32E-04	0.00E+00	1.89E-04	6.05E-08	1.12E-03	5.20E-04	2.15E-05
2:Ins:R:5	5.54E-04	3.19E-03	1.85E-04	2.47E-03	0.00E+00	0.00E+00	1.92E-03	1.29E-03	5.34E-04	2.31E-02	9.41E-03	1.07E-03
3:Ins:R:0	2.39E-08	2.38E-04	2.47E-08	2.46E-09	6.59E-06	1.87E-03	1.46E-04	2.51E-04	2.24E-04	4.83E-07	9.97E-08	6.76E-04
3:Ins:R:1	1.18E-04	0.00E+00	7.03E-09	9.71E-05	1.62E-03	2.22E-03	1.23E-04	3.45E-04	2.53E-04	4.36E-09	8.56E-08	5.70E-04
3:Ins:R:2	3.81E-08	9.44E-08	2.40E-05	6.54E-08	4.48E-08	6.48E-08	7.04E-08	6.08E-08	4.67E-05	1.67E-04	3.42E-08	1.57E-07
3:Ins:R:3	4.33E-08	1.72E-04	1.45E-05	5.44E-08	5.19E-08	4.17E-08	6.14E-08	6.52E-08	4.38E-05	1.67E-04	3.11E-07	4.79E-07
3:Ins:R:4	1.44E-04	9.13E-04	2.29E-03	3.81E-06	0.00E+00	6.49E-08	2.57E-08	6.41E-04	2.30E-03	5.39E-05	1.30E-04	0.00E+00
3:Ins:R:5	1.55E-04	5.90E-05	9.95E-09	7.30E-04	0.00E+00	7.52E-05	5.51E-04	1.91E-03	7.14E-04	1.70E-03	2.04E-03	1.47E-04
4:Ins:R:0	3.00E-08	1.07E-07	3.16E-08	4.09E-08	7.60E-05	5.31E-06	1.51E-04	1.65E-04	2.79E-04	5.09E-08	5.23E-08	1.27E-04
4:Ins:R:1	2.25E-03	9.98E-08	5.61E-08	1.54E-03	1.22E-07	3.64E-07	3.51E-07	7.72E-08	4.02E-02	3.09E-02	3.78E-03	2.24E-02
4:Ins:R:2	2.59E-04	1.57E-04	1.63E-08	2.99E-04	0.00E+00	0.00E+00	0.00E+00	7.32E-09	5.84E-04	1.49E-07	2.34E-04	1.43E-04
4:Ins:R:3	2.72E-08	5.86E-05	4.75E-08	5.19E-08	1.71E-07	1.72E-06	1.46E-04	3.64E-04	1.33E-04	3.06E-04	1.73E-04	2.28E-04
4:Ins:R:4	2.61E-08	5.62E-05	5.65E-08	5.16E-08	3.83E-08	1.22E-07	8.53E-08	7.58E-08	5.43E-08	5.20E-05	2.03E-04	3.55E-04
4:Ins:R:5	1.84E-04	7.58E-05	2.60E-08	4.16E-04	4.81E-04	3.98E-04	7.62E-04	1.18E-04	1.78E-03	3.83E-04	1.49E-03	6.22E-03
5:Ins:R:0	5.10E-08	1.74E-04	7.90E-09	4.49E-08	1.88E-08	7.95E-05	2.54E-08	1.30E-07	4.24E-08	5.49E-04	8.45E-08	3.72E-08
5:Ins:R:1	3.34E-08	5.49E-04	2.23E-04	1.42E-06	7.14E-04	9.79E-04	3.68E-03	2.95E-03	1.87E-03	3.23E-03	4.15E-03	2.49E-03
5:Ins:R:2	4.41E-08	4.80E-07	4.73E-07	5.68E-08	4.89E-08	4.47E-08	2.15E-04	1.15E-07	2.79E-04	9.17E-05	1.66E-07	2.35E-07
5:Ins:R:3	2.51E-08	5.79E-05	6.86E-08	3.84E-05	1.88E-08	3.43E-04	1.24E-04	2.23E-04	1.82E-04	5.67E-08	4.10E-05	2.04E-08
5:Ins:R:4	4.20E-08	1.17E-04	5.33E-08	4.17E-08	4.51E-08	1.31E-06	6.69E-05	7.64E-08	7.57E-05	7.94E-08	5.69E-08	6.51E-08
