Samples	ID83A	ID83B
V1	3.27E+00	3.27E+00
V2	7.61E+01	7.61E+01
V3	1.97E+01	1.97E+01
V4	2.92E+00	2.92E+00
V5	2.34E+01	2.34E+01
V6	7.73E+00	7.73E+00
V7	4.92E+01	4.92E+01
V8	4.84E+00	4.84E+00
V9	6.50E+00	6.50E+00
V10	2.99E+01	2.99E+01
V11	2.51E+00	2.51E+00
V12	4.25E+01	4.25E+01
V13	1.42E+01	1.42E+01
V14	8.11E+00	8.11E+00
V15	5.07E+01	5.06E+01
V16	9.20E+00	9.20E+00
V17	5.17E+00	5.17E+00
V18	4.53E+00	4.53E+00
V19	1.02E+01	1.02E+01
V20	4.92E+00	4.92E+00
V21	1.03E+01	1.03E+01
V22	1.48E+01	1.48E+01
V23	8.22E+00	8.22E+00
V24	3.02E+01	3.02E+01
V25	5.78E+00	5.78E+00
V26	2.15E+00	2.15E+00
V27	3.00E+01	3.00E+01
V28	8.09E+01	8.09E+01
V29	1.52E+01	1.52E+01
V30	4.13E+00	4.13E+00
V31	4.99E-01	4.99E-01
V32	4.22E+00	4.22E+00
V33	1.61E+00	1.61E+00
V34	2.62E+01	2.62E+01
V35	5.95E+00	5.95E+00
V36	4.19E+00	4.19E+00
V37	1.48E+01	1.48E+01
V38	3.61E+00	3.60E+00
V39	1.04E+01	1.04E+01
V40	3.85E+00	3.85E+00
V41	2.61E+01	2.61E+01
V42	5.75E+00	5.75E+00
V43	4.15E+01	4.15E+01
V44	4.57E+00	4.57E+00
V45	2.72E+00	2.72E+00
V46	5.98E+00	5.98E+00
V47	1.65E+01	1.65E+01
V48	5.64E+00	5.64E+00
V49	5.24E+01	5.24E+01
V50	1.16E+01	1.16E+01
V51	1.17E+01	1.17E+01
V52	2.15E+01	2.15E+01
V53	5.48E+01	5.48E+01
V54	1.57E+01	1.57E+01
V55	5.25E+00	5.25E+00
V56	2.55E+01	2.55E+01
V57	9.86E+00	9.86E+00
V58	2.48E+01	2.48E+01
V59	1.58E+01	1.58E+01
V60	1.21E+01	1.21E+01
V61	2.12E+00	2.12E+00
V62	1.45E+01	1.45E+01
V63	4.24E+00	4.24E+00
V64	1.41E+01	1.41E+01
V65	6.73E+01	6.73E+01
V66	7.91E+00	7.91E+00
V67	2.96E+01	2.96E+01
V68	4.45E+00	4.45E+00
V69	1.17E+01	1.17E+01
V70	1.76E+01	1.76E+01
V71	1.74E+00	1.74E+00
V72	1.57E+00	1.57E+00
V73	6.82E+00	6.82E+00
V74	1.15E+01	1.15E+01
V75	2.62E+00	2.62E+00
V76	2.46E+00	2.44E+00
V77	3.78E+01	3.78E+01
V78	1.08E+01	1.08E+01
V79	2.22E+01	2.22E+01
V80	1.46E+01	1.46E+01
V81	1.46E+01	1.46E+01
V82	6.96E+00	6.96E+00
V83	1.51E+01	1.51E+01
V84	3.60E+00	3.60E+00
V85	1.54E+00	1.54E+00
V86	6.69E+00	6.69E+00
V87	1.03E+02	1.03E+02
V88	3.80E+00	3.85E+00
V89	2.79E+01	2.79E+01
V90	8.32E+00	8.32E+00
V91	3.78E+00	3.78E+00
V92	2.01E+01	2.01E+01
V93	5.02E+01	5.02E+01
V94	4.09E+00	4.09E+00
V95	2.00E-01	2.00E-01
V96	1.81E+01	1.81E+01
V97	1.08E+01	1.08E+01
V98	2.34E+01	2.34E+01
V99	8.20E+00	8.20E+00
V100	2.29E+00	2.29E+00
