De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature ID1 (100.00%), 7.00,  1.51, 0.107, 1.00, 1.00
Signature 83-C, Signature ID2 (100.00%), 8.21,  2.20, 0.078, 1.00, 1.00
Signature 83-D, Signature ID9 (100.00%), 12.01,  7.47, 0.103, 1.00, 1.00
Signature 83-E, Signature 83-E, 0, 0, 0, 1, 1
Signature 83-F, Signature ID8 (100.00%), 26.27,  12.33, 0.082, 0.99, 0.99
