MutationType	ID1	ID2	ID8	ID9	ID12	ID83F
3:Del:R:3	0.00037126	0.00040259	0.00025351	0.00030211	0.00592005	0.06478301
3:Del:R:4	0.00000000	0.00000000	0.00000268	0.00000000	0.06862214	0.00000079
3:Del:R:5	0.00000000	0.00000000	0.00009100	0.00000000	0.09748094	0.00000018
4:Del:R:0	0.00009970	0.00001210	0.00669131	0.00143277	0.00173452	0.00225923
4:Del:R:1	0.00090050	0.00211579	0.00162295	0.00459422	0.00230260	0.02700406
4:Del:R:2	0.00000323	0.00054329	0.00027262	0.00089602	0.00061168	0.00000000
4:Del:R:3	0.00000000	0.00000727	0.00002880	0.00002380	0.03925906	0.00000079
4:Del:R:4	0.00000000	0.00000000	0.00009730	0.00000000	0.05328787	0.00000079
4:Del:R:5	0.00002890	0.00021041	0.00000634	0.00001370	0.01864445	0.00000079
5:Del:R:0	0.00000835	0.00003850	0.23797886	0.00077205	0.00338288	0.00197495
5:Del:R:1	0.00019068	0.00297751	0.00057226	0.00047955	0.00279703	0.00000002
5:Del:R:2	0.00012636	0.00039753	0.00051684	0.00026497	0.00510384	0.00014431
5:Del:R:3	0.00001890	0.00015815	0.00000816	0.00000612	0.00220095	0.00000079
5:Del:R:4	0.00000311	0.00008470	0.00011290	0.00000725	0.00125619	0.00000008
5:Del:R:5	0.00003130	0.00002120	0.00004430	0.00002990	0.00618126	0.00000003
2:Ins:R:0	0.00040204	0.00033185	0.00191671	0.00116234	0.00744033	0.00030518
2:Ins:R:1	0.00000788	0.00027166	0.00166182	0.00210019	0.00106230	0.00021921
2:Ins:R:2	0.00022135	0.00103534	0.00030459	0.00076094	0.00055024	0.00052303
2:Ins:R:3	0.00051427	0.00038133	0.00017758	0.00035163	0.00016552	0.00005794
2:Ins:R:4	0.00291310	0.00197742	0.00001660	0.00003070	0.00101821	0.00000001
2:Ins:R:5	0.01812158	0.01363338	0.00176438	0.00000000	0.03800520	0.00066741
3:Ins:R:0	0.00000031	0.00005780	0.00066786	0.00025457	0.01515014	0.00000012
3:Ins:R:1	0.00025469	0.00122705	0.00067172	0.00082336	0.00086957	0.00015949
3:Ins:R:2	0.00004410	0.00021007	0.00013577	0.00011826	0.00018389	0.00000026
3:Ins:R:3	0.00016670	0.00000302	0.00003790	0.00000518	0.00008700	0.00026124
3:Ins:R:4	0.00008890	0.00014181	0.00012204	0.00001610	0.00034079	0.00000041
3:Ins:R:5	0.00124870	0.00186471	0.00003660	0.00000000	0.00284031	0.00000002
4:Ins:R:0	0.00000000	0.00001680	0.00077776	0.00016439	0.00570118	0.00000023
4:Ins:R:1	0.00074438	0.00120373	0.00110390	0.00071557	0.00190889	0.00086352
4:Ins:R:2	0.00007550	0.00001220	0.00007990	0.00004240	0.00021849	0.00000030
4:Ins:R:3	0.00015754	0.00013417	0.00000858	0.00002150	0.00017657	0.00000102
4:Ins:R:4	0.00031965	0.00024939	0.00020551	0.00000000	0.00063605	0.00000028
4:Ins:R:5	0.00100132	0.00219354	0.00088523	0.00000218	0.01167054	0.00133389
5:Ins:R:0	0.00000000	0.00000000	0.00031833	0.00016585	0.01379065	0.00000041
5:Ins:R:1	0.00144313	0.00013566	0.00976111	0.00125400	0.00383426	0.00300092
5:Ins:R:2	0.00025483	0.00000553	0.00010115	0.00010285	0.00213002	0.00000000
5:Ins:R:3	0.00023709	0.00009770	0.00007090	0.00008020	0.00266049	0.00000079
5:Ins:R:4	0.00026187	0.00000215	0.00000674	0.00005050	0.00159241	0.00016295
5:Ins:R:5	0.00011983	0.00011563	0.00019055	0.00000989	0.00613607	0.00000079
2:Del:M:1	0.00119782	0.00017555	0.00491367	0.00390097	0.00265350	0.00073855
3:Del:M:1	0.00008190	0.00000055	0.00929034	0.00301133	0.01032835	0.00249000
3:Del:M:2	0.00147959	0.00294406	0.00430269	0.00154330	0.00606116	0.00033327
4:Del:M:1	0.00008380	0.00014700	0.00580955	0.00192772	0.00377172	0.00553653
4:Del:M:2	0.00014548	0.00055061	0.00159159	0.00329745	0.00457315	0.00230221
4:Del:M:3	0.00016068	0.00069357	0.00109834	0.00254408	0.00052526	0.00099696
5:Del:M:1	0.00000082	0.00062496	0.28072426	0.00003540	0.00056338	0.00000044
5:Del:M:2	0.00000000	0.00011771	0.12361016	0.00022124	0.00000000	0.00026778
5:Del:M:3	0.00000000	0.00005670	0.04613041	0.00057091	0.00032357	0.00000012
5:Del:M:4	0.00003880	0.00046284	0.01636726	0.00044831	0.00027766	0.00295292
5:Del:M:5	0.00066512	0.00236732	0.01281488	0.00000000	0.00665797	0.00002002
