MutationType	ID83A	ID83B
1:Del:C:0	1.64E-03	4.57E-03
1:Del:C:1	7.38E-04	1.99E-03
1:Del:C:2	5.00E-04	1.35E-03
1:Del:C:3	1.96E-04	5.06E-04
1:Del:C:4	5.53E-04	2.20E-04
1:Del:C:5	1.34E-03	3.48E-04
1:Del:T:0	8.27E-04	1.98E-03
1:Del:T:1	5.96E-04	7.83E-04
1:Del:T:2	5.78E-04	1.59E-03
1:Del:T:3	7.96E-04	1.30E-03
1:Del:T:4	2.31E-03	5.38E-04
1:Del:T:5	3.18E-02	1.05E-02
1:Ins:C:0	5.01E-03	5.79E-03
1:Ins:C:1	8.50E-04	1.11E-03
1:Ins:C:2	3.20E-04	4.61E-04
1:Ins:C:3	8.91E-05	1.17E-04
1:Ins:C:4	4.16E-05	4.82E-05
1:Ins:C:5	5.67E-05	4.57E-05
1:Ins:T:0	2.81E-02	3.29E-02
1:Ins:T:1	1.22E-02	1.39E-02
1:Ins:T:2	3.72E-03	4.35E-03
1:Ins:T:3	2.21E-03	2.39E-03
1:Ins:T:4	1.18E-03	1.45E-03
1:Ins:T:5	1.53E-03	1.89E-03
2:Del:R:0	2.94E-04	6.39E-04
2:Del:R:1	4.72E-04	3.98E-04
2:Del:R:2	1.41E-04	1.95E-04
2:Del:R:3	1.56E-04	5.50E-05
2:Del:R:4	9.56E-05	2.18E-05
2:Del:R:5	8.56E-05	1.48E-04
3:Del:R:0	3.03E-04	7.61E-04
3:Del:R:1	5.37E-04	2.50E-04
3:Del:R:2	2.08E-04	1.64E-04
3:Del:R:3	7.37E-05	7.62E-05
3:Del:R:4	9.77E-05	2.02E-04
3:Del:R:5	2.02E-04	1.65E-04
4:Del:R:0	3.10E-04	7.81E-04
4:Del:R:1	4.71E-04	3.23E-04
4:Del:R:2	8.68E-05	1.13E-04
4:Del:R:3	6.03E-05	7.23E-05
4:Del:R:4	5.85E-05	6.38E-05
4:Del:R:5	3.87E-05	4.08E-05
5:Del:R:0	4.40E-03	8.07E-03
5:Del:R:1	2.62E-04	5.86E-04
5:Del:R:2	2.75E-05	6.83E-05
5:Del:R:3	1.66E-05	4.92E-05
5:Del:R:4	1.18E-05	1.57E-05
5:Del:R:5	1.50E-05	5.81E-05
2:Ins:R:0	1.25E-03	1.57E-03
2:Ins:R:1	1.21E-04	1.25E-04
2:Ins:R:2	2.37E-05	2.14E-05
2:Ins:R:3	9.84E-06	5.82E-06
2:Ins:R:4	1.43E-05	9.64E-06
2:Ins:R:5	1.17E-05	1.00E-05
3:Ins:R:0	3.25E-04	1.78E-04
3:Ins:R:1	1.37E-05	3.57E-05
3:Ins:R:2	3.98E-06	5.73E-06
3:Ins:R:3	2.70E-06	2.65E-06
3:Ins:R:4	1.54E-08	4.62E-09
3:Ins:R:5	1.54E-08	4.62E-09
4:Ins:R:0	4.14E-04	2.03E-04
4:Ins:R:1	2.51E-05	4.12E-05
4:Ins:R:2	3.34E-06	9.01E-07
4:Ins:R:3	1.19E-06	1.93E-06
4:Ins:R:4	3.97E-06	5.05E-06
4:Ins:R:5	1.54E-08	4.62E-09
5:Ins:R:0	7.50E-04	1.17E-03
5:Ins:R:1	5.73E-06	3.49E-05
5:Ins:R:2	3.35E-06	3.10E-08
5:Ins:R:3	1.54E-08	4.62E-09
5:Ins:R:4	1.54E-08	4.62E-09
5:Ins:R:5	1.54E-08	4.62E-09
2:Del:M:1	6.03E-04	2.60E-04
3:Del:M:1	3.71E-04	8.69E-04
3:Del:M:2	2.42E-04	4.56E-04
4:Del:M:1	3.00E-04	5.80E-04
4:Del:M:2	3.83E-04	9.01E-04
4:Del:M:3	2.04E-04	4.29E-04
5:Del:M:1	5.99E-03	9.62E-03
5:Del:M:2	9.49E-03	1.36E-02
5:Del:M:3	7.06E-03	1.06E-02
5:Del:M:4	3.74E-03	5.65E-03
5:Del:M:5	4.02E-03	5.76E-03
