Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	16	100	21	71	47
V2	60	16	0	78	1
V3	67	18	3	86	28
V4	35	1	12	0	0
V5	87	141	63	32	1
V6	87	22	1	195	71
V7	38	130	4	62	0
V8	4	23	83	2	10
V9	8	2	5	64	15
V10	0	28	1	39	128
V11	147	41	1	8	32
V12	0	1	35	54	27
V13	6	1	114	7	11
V14	12	128	91	0	4
V15	13	60	30	15	25
V16	52	76	53	12	6
V17	21	28	1	2	33
V18	20	6	33	51	5
V19	0	124	95	65	0
V20	0	24	49	147	1
V21	69	25	10	36	3
V22	124	29	0	10	93
V23	150	11	189	58	182
V24	12	21	142	0	5
V25	98	20	61	18	28
V26	0	7	436	137	5
V27	283	6	14	0	2
V28	0	169	0	424	134
V29	3	75	62	103	1
V30	46	76	98	45	7
V31	39	71	1	146	25
V32	53	35	10	17	3
V33	1	91	99	6	23
V34	206	3	26	6	0
V35	120	1	7	32	3
V36	12	112	365	17	0
V37	7	93	177	0	159
V38	0	54	0	42	12
V39	164	34	28	27	0
V40	72	56	281	0	43
V41	42	7	2	0	77
V42	0	1	13	160	52
V43	0	5	174	52	124
V44	43	140	1	2	8
V45	81	1	0	0	329
V46	13	3	42	28	86
V47	7	147	1	4	32
V48	123	36	50	0	37
V49	12	81	24	0	23
V50	38	5	1	45	31
V51	24	83	42	12	0
V52	73	9	4	9	92
V53	222	240	11	31	13
V54	60	29	12	10	16
V55	270	1	0	122	2
V56	143	98	210	75	5
V57	17	26	38	28	48
V58	0	44	113	118	121
V59	192	16	14	0	6
V60	35	137	23	7	7
V61	108	24	2	33	13
V62	63	330	5	2	28
V63	24	221	196	0	4
V64	7	50	19	160	74
V65	33	15	4	15	30
V66	15	35	13	0	12
V67	104	268	91	15	8
V68	153	10	1	83	20
V69	89	12	93	82	1
V70	0	251	16	85	0
V71	48	0	27	19	58
V72	35	44	88	18	33
V73	68	55	106	0	72
V74	18	0	9	14	43
V75	9	67	28	0	42
V76	0	32	9	240	33
V77	76	39	33	65	18
V78	102	12	3	0	85
V79	79	2	65	0	0
V80	0	3	13	69	1
V81	0	1	1	13	7
V82	168	2	46	145	108
V83	41	7	7	37	100
V84	152	136	32	5	8
V85	65	29	76	19	330
V86	143	21	6	0	218
V87	159	160	3	62	15
V88	36	2	157	26	21
V89	0	1	0	189	15
V90	21	141	4	0	101
V91	188	74	101	14	94
V92	117	16	101	64	180
V93	7	8	7	67	23
V94	18	2	0	100	14
V95	8	57	53	26	130
V96	56	61	220	89	6
V97	80	34	17	133	173
V98	232	4	33	57	51
V99	30	19	51	0	57
V100	63	10	61	3	29
