Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	6.69E+00	2.43E+00	1.90E+00	4.10E+00	5.10E+00
V2	9.96E+00	9.64E-01	0.00E+00	6.09E+00	6.79E+00
V3	7.45E+00	1.43E+00	7.67E-01	6.05E+00	8.62E+00
V4	1.57E+00	2.49E-01	1.32E+00	3.48E-01	0.00E+00
V5	4.49E+00	3.02E+00	3.25E+00	2.71E+00	1.55E+00
V6	2.50E+01	1.03E+00	7.00E-01	1.55E+01	1.56E+01
V7	1.24E+01	3.17E+00	7.31E-01	9.82E+00	3.83E+00
V8	2.86E+00	1.10E+00	2.18E+00	1.80E+00	1.09E+00
V9	1.98E+00	2.58E-01	9.92E-01	5.82E+00	6.95E+00
V10	0.00E+00	2.02E+00	3.59E-01	5.53E+00	6.90E+00
V11	3.21E+00	1.49E+00	3.71E-01	1.56E+00	2.55E+00
V12	6.01E-01	3.27E-01	2.20E+00	7.59E+00	6.41E+00
V13	1.57E+00	3.14E-01	1.82E+00	1.59E+00	1.56E+00
V14	1.14E+00	2.06E+00	2.30E+00	5.54E-01	6.53E-01
V15	4.69E+00	1.63E+00	1.49E+00	3.71E+00	1.67E+00
V16	2.25E+00	2.60E+00	2.51E+00	2.11E+00	6.90E-01
V17	1.27E+00	1.21E+00	2.60E-01	8.94E-01	1.61E+00
V18	1.45E+00	8.14E-01	2.15E+00	5.53E+00	3.96E+00
V19	0.00E+00	2.56E+00	5.73E+00	8.41E+00	3.60E+00
V20	1.80E+00	3.02E+00	1.03E+01	1.69E+01	1.38E+01
V21	2.68E+00	1.45E+00	1.72E+00	4.54E+00	2.84E+00
V22	2.83E+00	1.46E+00	0.00E+00	3.31E+00	4.49E+00
V23	1.63E+01	6.51E-01	3.82E+00	8.53E+00	8.08E+00
V24	1.65E+00	1.49E+00	2.21E+00	9.66E-01	5.78E-01
V25	5.00E+00	1.58E+00	3.04E+00	2.40E+00	2.80E+00
V26	0.00E+00	9.91E-01	1.55E+01	1.71E+01	2.27E+00
V27	1.61E+00	7.67E-01	1.89E+00	1.35E+00	5.43E-01
V28	6.82E+00	4.80E+00	0.00E+00	4.36E+01	4.98E+01
V29	3.08E+00	2.89E+00	4.37E+00	1.09E+01	7.52E+00
V30	2.24E+00	3.36E+00	3.79E+00	5.24E+00	3.60E+00
V31	1.48E+01	1.47E+00	1.80E-01	7.69E+00	1.18E+01
V32	8.00E+00	1.84E+00	1.36E+00	6.94E+00	7.16E-01
V33	4.23E-01	1.96E+00	2.27E+00	2.30E+00	1.35E+00
V34	6.83E+00	7.30E-01	2.31E+00	6.92E+00	1.33E-01
V35	2.32E+01	4.42E-01	6.71E-01	2.38E+01	6.99E-01
V36	2.96E+00	3.08E+00	5.27E+00	1.76E+00	0.00E+00
V37	1.18E+00	3.80E+00	4.87E+00	5.54E-01	3.07E+00
V38	9.68E-01	2.23E+00	0.00E+00	5.18E+00	6.78E+00
V39	2.39E+01	2.07E+00	9.60E-01	2.49E+01	2.49E-01
V40	2.31E+00	2.29E+00	2.79E+00	1.30E+00	2.00E+00
V41	1.54E+00	1.20E+00	4.77E-01	3.33E-01	2.46E+00
V42	8.24E+00	3.40E-01	1.56E+00	1.28E+01	1.78E+01
V43	1.63E-01	5.47E-01	3.96E+00	9.38E+00	7.91E+00
V44	3.64E+00	2.18E+00	6.00E-01	3.53E+00	1.27E+00
V45	1.87E+01	4.71E-01	4.90E-01	1.97E+01	3.67E+00
V46	2.65E+00	5.26E-01	2.22E+00	3.78E+00	5.42E+00
V47	1.28E+00	2.25E+00	2.49E-01	1.37E+00	1.59E+00
V48	2.51E+00	1.90E+00	2.03E+00	9.17E-01	1.92E+00
V49	1.59E+00	2.49E+00	1.33E+00	4.71E-01	1.70E+00
V50	1.57E+00	6.86E-01	5.33E-01	6.65E+00	7.51E+00
V51	2.07E+00	1.55E+00	1.84E+00	1.45E+00	5.00E-01
V52	1.63E+01	8.95E-01	6.01E-01	1.64E+01	1.55E+00
V53	3.25E+01	3.73E+00	1.90E+00	3.52E+01	2.12E+00
V54	8.91E+00	1.39E+00	6.33E-01	8.44E+00	1.44E+00
V55	2.89E+01	3.67E-01	3.48E-01	2.21E+01	8.39E+00
V56	1.42E+01	1.57E+00	6.18E+00	7.38E+00	2.23E+00
V57	1.32E+00	1.90E+00	2.27E+00	4.11E+00	4.15E+00
V58	2.13E-01	2.49E+00	6.63E+00	1.76E+01	1.34E+01
V59	3.39E+00	9.17E-01	2.02E+00	4.49E+00	9.12E-01
V60	4.21E+00	2.27E+00	2.12E+00	2.27E+00	9.09E-01
V61	5.97E+00	1.77E+00	5.73E-01	4.19E+00	2.54E+00
V62	9.16E+00	3.75E+00	1.07E+00	1.06E+01	1.89E+00
V63	1.56E+00	5.26E+00	3.88E+00	9.64E-01	7.12E-01
V64	8.44E+00	1.73E+00	9.71E-01	1.01E+01	1.56E+01
V65	1.85E+00	9.87E-01	8.84E-01	1.20E+00	2.94E+00
V66	1.64E+00	1.41E+00	1.22E+00	4.07E-01	7.60E-01
V67	4.77E+00	4.37E+00	2.07E+00	2.42E+00	1.70E+00
V68	1.40E+01	6.63E-01	5.21E-01	7.25E+00	9.40E+00
V69	6.88E+00	8.57E-01	6.10E+00	3.80E+00	4.50E+00
V70	1.00E-01	4.78E+00	1.33E+00	8.69E+00	7.70E+00
V71	1.59E+00	0.00E+00	1.62E+00	4.20E+00	4.40E+00
V72	2.23E+00	1.91E+00	2.69E+00	1.15E+00	2.57E+00
V73	8.47E+00	2.11E+00	2.10E+00	7.32E+00	3.06E+00
V74	1.61E+00	0.00E+00	1.00E+00	2.61E+00	2.64E+00
V75	1.68E+00	3.45E+00	2.81E+00	7.67E-01	1.45E+00
V76	0.00E+00	2.17E+00	1.60E+00	3.52E+01	3.31E+01
