Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	0	39	63	0	22	26	0	50	10	0	23	49	2	0	0
V2	0	12	4	2	90	57	0	22	0	19	31	20	33	0	0
V3	3	11	12	1	12	34	9	0	4	8	0	0	6	11	0
V4	1	166	49	24	16	10	0	82	61	1	53	0	26	0	0
V5	44	125	208	18	0	13	0	0	48	56	1	0	0	0	0
V6	3	44	18	31	1	16	33	0	14	8	0	0	0	0	0
V7	1	0	0	38	7	25	9	0	3	30	0	13	0	0	0
V8	49	13	29	96	0	19	48	0	3	2	0	0	0	0	0
V9	24	53	8	6	29	0	3	54	32	0	48	0	5	0	0
V10	3	14	9	15	1	0	0	0	13	63	0	20	0	0	0
V11	45	19	179	40	0	0	27	0	8	1	16	0	0	14	0
V12	66	38	13	6	44	0	0	25	17	0	14	21	7	0	22
V13	96	8	1	0	0	0	3	0	5	0	3	0	0	0	14
V14	0	8	15	6	0	5	21	0	0	9	0	1	0	0	0
V15	73	2	157	0	0	0	0	0	5	0	30	0	6	0	0
V16	48	112	1	4	41	11	0	27	45	0	7	0	4	0	0
V17	10	33	111	7	107	0	9	44	0	6	0	3	0	46	10
V18	19	4	8	110	4	50	49	0	0	18	0	55	0	0	0
V19	99	2	7	23	28	94	6	0	0	36	0	0	3	0	0
V20	14	4	48	65	28	2	46	14	0	0	6	0	4	0	0
V21	100	9	26	6	5	186	13	0	0	30	17	170	16	0	7
V22	37	5	39	13	0	31	10	3	3	18	5	28	0	0	0
V23	5	44	165	7	23	24	0	0	18	34	5	43	11	0	0
V24	29	0	4	38	32	67	15	0	4	39	0	10	0	0	0
V25	0	73	119	91	7	0	77	5	31	15	0	0	0	14	0
V26	31	35	0	88	131	4	12	69	18	0	52	0	29	0	0
V27	22	128	6	21	14	109	28	0	49	0	0	22	0	0	0
V28	24	4	0	32	50	0	43	4	0	0	7	0	19	0	0
V29	55	112	3	71	0	4	77	0	46	0	0	0	0	0	0
V30	38	0	90	13	18	5	15	4	2	2	25	0	16	40	5
V31	3	173	2	0	42	16	0	81	91	22	26	0	13	0	0
V32	5	45	136	7	0	0	0	0	6	0	7	0	0	47	0
V33	1	17	0	12	22	46	2	73	1	0	40	0	21	0	0
V34	17	141	35	72	13	26	0	0	77	28	10	0	0	0	0
V35	4	19	1	0	4	11	0	0	11	0	11	0	0	0	1
V36	5	6	29	32	20	6	26	8	2	2	9	0	14	0	0
V37	155	16	0	42	87	0	29	22	0	0	12	0	0	11	5
V38	67	7	45	0	26	94	0	34	4	38	5	29	2	29	5
V39	10	26	18	0	0	17	0	6	30	0	0	5	2	0	7
V40	7	19	22	47	18	9	10	3	15	6	12	0	9	0	1
V41	0	14	403	0	0	33	5	2	11	74	28	29	20	101	41
V42	0	27	70	24	25	0	18	16	12	0	15	0	0	0	0
V43	49	19	35	16	51	0	7	40	9	0	32	0	0	0	0
V44	44	3	66	136	9	0	104	0	0	90	0	52	2	0	0
V45	95	17	0	35	76	3	15	102	28	11	33	0	6	0	8
V46	78	4	7	8	8	0	7	0	0	0	8	6	0	23	33
V47	70	15	0	0	84	0	10	38	12	0	31	0	21	27	13
V48	20	75	8	22	14	65	10	7	16	0	0	31	0	0	0
V49	4	0	0	5	1	0	0	0	1	21	0	0	2	0	0
V50	354	7	0	172	0	0	128	0	7	0	0	0	0	0	6
V51	0	67	89	20	15	0	21	0	37	0	11	0	0	0	0
V52	1	190	36	20	6	0	13	0	68	15	0	0	3	0	0
V53	149	22	0	148	71	0	102	112	2	0	44	0	30	15	0
V54	66	51	1	0	0	0	0	28	33	28	11	0	10	0	0
V55	5	0	1	58	14	62	34	16	13	18	0	0	0	0	0
V56	10	3	3	10	44	0	22	4	7	6	9	0	0	0	0
V57	50	82	1	2	2	2	0	2	18	0	2	54	1	24	0
V58	4	205	35	54	4	8	60	0	72	0	0	0	0	0	0
V59	134	42	3	0	44	16	0	100	21	8	19	22	31	0	18
V60	54	4	9	21	0	8	9	0	0	0	0	0	2	6	0
V61	10	0	130	118	2	29	104	0	0	21	4	0	0	29	0
V62	3	28	0	6	29	0	3	0	8	0	2	0	16	0	0
V63	60	63	136	134	9	17	94	7	7	8	7	0	0	88	0
V64	1	11	4	55	6	38	76	0	0	0	0	10	0	0	0
V65	256	1	25	4	0	28	1	0	9	0	4	32	0	0	0
V66	25	76	63	34	0	6	10	0	15	37	8	8	4	1	0
V67	8	30	2	26	0	0	25	0	20	0	0	0	0	0	0
V68	94	2	0	5	46	0	5	19	6	0	15	7	9	0	0
V69	13	38	40	1	0	0	0	0	15	0	2	0	0	0	0
V70	0	33	0	61	101	0	8	58	5	0	51	0	32	0	0
V71	32	8	15	8	20	50	6	21	0	107	0	54	17	0	0
V72	188	15	1	129	0	0	136	0	0	0	0	0	0	0	0
V73	51	49	38	0	31	12	0	45	14	3	50	0	18	17	68
V74	46	19	1	17	0	14	11	0	6	0	2	8	2	0	0
V75	15	11	68	1	17	0	1	0	0	2	12	0	4	26	11
V76	176	19	46	0	141	13	0	27	16	0	37	21	5	2	111
V77	76	12	3	3	64	42	4	19	0	22	47	0	0	0	0
V78	22	2	0	2	28	0	0	14	10	15	8	3	8	0	0
V79	35	0	12	0	18	189	9	12	6	59	0	0	16	7	0
V80	2	41	28	4	78	0	0	66	10	19	43	0	4	0	0
V81	27	6	7	0	0	7	0	12	0	0	0	5	3	0	0
V82	16	106	1	1	0	5	0	0	17	12	0	0	0	0	0
V83	33	31	1	36	23	13	52	3	0	0	0	17	3	0	0
V84	48	0	71	96	6	0	55	0	3	0	0	0	1	0	12
V85	7	22	0	23	50	6	16	98	9	0	64	20	10	0	0
V86	0	85	9	14	0	9	0	0	21	0	0	0	0	0	0
V87	46	1	0	15	0	11	3	18	0	12	12	0	0	5	27
V88	49	18	0	16	18	190	0	8	12	0	0	0	20	1	0
V89	47	4	3	4	18	0	4	45	2	10	21	5	0	1	10
V90	1	105	68	0	0	48	0	3	32	58	3	0	7	0	7
V91	68	42	0	0	47	90	0	15	32	20	1	19	0	25	0
V92	21	3	59	0	5	4	0	2	0	59	0	47	0	0	0
V93	6	54	7	14	89	28	9	23	27	67	12	0	21	0	0
V94	19	17	20	4	8	5	2	5	0	14	4	0	0	18	25
V95	3	212	32	10	2	0	0	4	79	0	3	0	0	0	0
V96	45	21	1	59	19	0	46	21	7	0	6	0	8	0	0
V97	0	54	10	13	45	0	10	10	18	0	17	0	27	0	0
V98	2	103	74	7	0	3	0	0	40	26	10	11	0	0	0
V99	11	8	8	0	0	23	0	14	12	12	17	12	3	0	0
V100	1	19	60	3	36	24	14	61	0	43	33	37	18	0	0
