Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	52	16	2	149	69
V2	86	57	91	13	6
V3	14	32	85	99	25
V4	196	120	16	37	1
V5	43	3	0	198	28
V6	0	0	31	32	1
V7	31	95	104	0	19
V8	9	0	89	20	164
V9	0	0	175	36	16
V10	4	17	3	207	9
V11	133	77	11	57	14
V12	138	68	111	180	2
V13	52	25	15	8	118
V14	404	0	0	104	69
V15	0	91	95	0	20
V16	120	84	39	24	126
V17	195	35	16	96	48
V18	172	0	52	7	19
V19	150	25	36	9	35
V20	7	90	208	0	64
V21	103	79	12	149	4
V22	28	29	0	60	173
V23	167	14	5	6	7
V24	10	16	8	17	24
V25	15	7	120	14	41
V26	18	0	0	167	179
V27	2	130	12	3	1
V28	167	56	1	125	10
V29	247	48	4	1	20
V30	15	14	15	4	1
V31	0	412	221	26	17
V32	454	16	7	0	5
V33	33	42	7	29	89
V34	20	6	0	31	213
V35	67	25	372	18	39
V36	0	101	192	0	19
V37	0	327	10	4	4
V38	80	10	59	12	34
V39	135	48	138	44	44
V40	37	8	43	10	12
V41	41	78	111	13	72
V42	21	229	241	37	81
V43	96	32	5	133	65
V44	15	7	139	166	165
V45	106	87	117	0	10
V46	0	4	0	138	13
V47	352	0	5	2	85
V48	42	0	254	19	63
V49	55	69	17	234	29
V50	20	69	38	79	3
V51	266	0	21	0	3
V52	270	15	0	5	38
V53	0	0	654	11	40
V54	145	0	56	109	1
V55	62	0	35	9	315
V56	18	247	4	497	8
V57	7	245	9	0	15
V58	13	93	0	14	22
V59	8	0	0	537	16
V60	1	17	4	33	46
V61	21	93	69	10	15
V62	11	5	0	81	78
V63	85	10	34	6	235
V64	0	341	45	128	35
V65	1	38	0	37	4
V66	34	59	16	62	0
V67	103	0	10	2	3
V68	32	0	241	86	202
V69	24	129	13	48	14
V70	4	40	0	1	109
V71	138	2	15	0	118
V72	70	215	0	2	25
V73	40	81	53	22	5
V74	10	38	89	211	17
V75	13	28	4	3	12
V76	13	63	136	14	44
V77	156	4	130	23	14
V78	20	116	15	6	8
V79	68	60	127	0	93
V80	75	6	0	6	17
V81	2	1	0	3	2
V82	24	0	0	16	9
V83	22	59	17	49	13
V84	38	9	4	18	91
V85	0	0	127	0	2
V86	87	71	3	22	26
V87	0	0	0	67	445
V88	60	75	17	29	35
V89	17	114	30	16	95
V90	6	36	83	0	157
V91	132	77	103	6	24
V92	78	53	2	23	1
V93	50	41	3	26	0
V94	61	111	33	22	9
V95	3	28	79	3	49
V96	224	11	79	0	0
V97	3	159	33	9	86
V98	168	17	14	84	46
V99	74	73	2	50	21
V100	2	88	0	34	36
