De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature ID1 (100.00%), 4.78,  1.09, 0.058, 1.00, 1.00
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature ID5 (58.72%) & Signature ID9 (41.28%), 53.17,  36.62, 0.268, 0.93, 0.92
Signature 83-E, Signature ID2 (100.00%), 7.75,  1.56, 0.038, 1.00, 1.00
Signature 83-F, Signature ID8 (100.00%), 58.78,  51.55, 0.460, 0.86, 0.85
Signature 83-G, Signature 83-G, 0, 0, 0, 1, 1
Signature 83-H, Signature ID9 (100.00%), 108.75,  53.54, 0.769, 0.84, 0.85
