Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	16	11	18	9	24	5	17	0	0	0	0	8	1	2	3	12	7	0	4	0
V2	127	13	25	0	49	18	0	20	0	7	0	0	10	0	0	0	24	0	0	0
V3	0	111	30	17	7	25	1	2	0	1	16	3	0	11	0	3	0	0	3	0
V4	190	2	0	4	0	0	1	7	0	3	2	4	2	0	0	0	0	0	49	0
V5	362	13	20	4	4	16	0	66	3	18	10	20	12	0	0	26	1	0	0	0
V6	40	65	2	61	0	0	0	12	6	3	6	0	15	0	15	0	0	0	13	0
V7	0	186	5	0	2	3	2	40	71	3	28	0	22	0	0	0	3	25	3	0
V8	4	10	1	4	1	0	0	4	31	6	4	1	4	0	1	0	0	0	0	57
V9	3	0	49	74	39	14	7	39	64	0	6	15	3	0	12	0	10	4	0	0
V10	129	8	0	0	31	6	22	14	38	0	13	20	14	0	0	0	0	0	7	0
V11	0	365	10	26	0	1	6	0	5	6	17	0	0	0	3	27	0	18	4	48
V12	167	204	3	31	16	1	18	5	0	29	17	4	0	0	7	0	16	0	10	0
V13	61	1	161	0	97	80	37	4	0	5	0	0	13	13	0	0	0	0	4	0
V14	89	1	66	80	48	42	12	0	35	10	17	1	12	1	16	0	0	0	4	0
V15	51	134	198	8	95	40	7	3	0	7	12	0	4	0	0	36	0	0	10	0
V16	3	8	284	31	59	121	0	2	4	1	11	10	4	0	11	0	0	0	0	0
V17	134	12	38	3	23	35	65	10	0	32	26	15	0	4	1	0	34	0	0	0
V18	110	18	94	62	26	22	3	17	38	0	4	0	0	0	20	0	0	11	0	0
V19	2	0	9	0	1	9	3	4	7	0	4	1	11	0	1	0	0	0	1	0
V20	6	16	50	61	23	33	20	4	3	0	0	3	0	2	7	0	0	1	0	0
V21	230	24	0	21	1	0	9	0	0	0	0	0	0	5	2	14	6	0	3	0
V22	13	6	0	8	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0
V23	26	1	0	69	0	0	1	13	9	0	0	3	0	0	1	0	4	0	1	11
V24	28	0	3	5	0	1	0	12	11	12	5	9	21	0	2	0	7	0	2	8
V25	44	17	157	0	14	34	0	0	5	4	6	8	0	0	0	0	12	0	0	1
V26	0	86	23	17	7	26	2	2	0	0	0	0	2	0	0	0	0	0	0	8
V27	3	1	5	0	37	18	34	3	69	0	44	12	53	0	0	0	0	4	0	0
V28	223	12	15	3	7	14	3	8	0	3	0	4	3	0	1	0	21	0	0	0
V29	26	2	0	11	17	26	60	10	11	7	2	5	4	6	3	0	0	0	0	0
V30	26	10	0	5	1	0	0	26	0	12	12	10	4	0	0	0	0	0	8	0
V31	31	13	29	7	4	23	0	0	0	2	0	0	0	0	1	0	0	0	5	0
V32	5	19	4	77	2	3	9	29	134	26	10	12	2	0	10	0	6	11	0	0
